  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739928.522811                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                5e-05                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -1.2000e-13   -0.0000e+00
5.0000e-02   3.5500e-12   1.4085e+10
1.0000e-01   1.0890e-11   9.1827e+09
1.5000e-01   -3.5300e-12   -4.2493e+10
2.0000e-01   3.1000e-13   6.4516e+11
2.5000e-01   3.2300e-12   7.7399e+10
3.0000e-01   2.2500e-12   1.3333e+11
3.5000e-01   6.6000e-12   5.3030e+10
4.0000e-01   -4.7400e-12   -8.4388e+10
4.5000e-01   9.1000e-13   4.9451e+11
5.0000e-01   5.2100e-12   9.5969e+10
5.5000e-01   5.1600e-12   1.0659e+11
6.0000e-01   9.6600e-12   6.2112e+10
6.5000e-01   1.5500e-12   4.1935e+11
7.0000e-01   4.9400e-12   1.4170e+11
7.5000e-01   7.3400e-12   1.0218e+11
8.0000e-01   7.1800e-12   1.1142e+11
8.5000e-01   5.0411e-08   1.6862e+07
9.0000e-01   4.4243e-08   2.0342e+07
9.5000e-01   6.8275e-08   1.3914e+07
1.0000e+00   6.1882e-08   1.6160e+07
1.0500e+00   5.7098e-08   1.8389e+07
1.1000e+00   6.5189e-08   1.6874e+07
1.1500e+00   1.0194e-07   1.1281e+07
1.2000e+00   1.6286e-07   7.3683e+06
1.2500e+00   1.5982e-07   7.8213e+06
1.3000e+00   3.1886e-07   4.0770e+06
1.3500e+00   5.3222e-07   2.5365e+06
1.4000e+00   7.6957e-06   1.8192e+05
1.4500e+00   5.0004e-05   2.8998e+04
1.5000e+00   5.0008e-05   2.9995e+04
1.5000e+00   5.0008e-05   2.9995e+04
1.4500e+00   5.0004e-05   2.8998e+04
1.4000e+00   5.0006e-05   2.7997e+04
1.3500e+00   5.0004e-05   2.6998e+04
1.3000e+00   5.0006e-05   2.5997e+04
1.2500e+00   5.0008e-05   2.4996e+04
1.2000e+00   5.0006e-05   2.3997e+04
1.1500e+00   5.0006e-05   2.2997e+04
1.1000e+00   5.0008e-05   2.1996e+04
1.0500e+00   5.0008e-05   2.0997e+04
1.0000e+00   5.0006e-05   1.9998e+04
9.5000e-01   5.0006e-05   1.8998e+04
9.0000e-01   5.0006e-05   1.7998e+04
8.5000e-01   5.0006e-05   1.6998e+04
8.0000e-01   5.0008e-05   1.5997e+04
7.5000e-01   5.0008e-05   1.4998e+04
7.0000e-01   5.0004e-05   1.3999e+04
6.5000e-01   5.0008e-05   1.2998e+04
6.0000e-01   5.0004e-05   1.1999e+04
5.5000e-01   5.0008e-05   1.0998e+04
5.0000e-01   5.0006e-05   9.9988e+03
4.5000e-01   5.0008e-05   8.9986e+03
4.0000e-01   5.0004e-05   7.9994e+03
3.5000e-01   5.0008e-05   6.9989e+03
3.0000e-01   5.0004e-05   5.9995e+03
2.5000e-01   4.7010e-05   5.3180e+03
2.0000e-01   3.7972e-05   5.2670e+03
1.5000e-01   2.7908e-05   5.3748e+03
1.0000e-01   1.8296e-05   5.4657e+03
5.0000e-02   8.7230e-06   5.7320e+03
0.0000e+00   2.2635e-08   0.0000e+00
0.0000e+00   -9.3000e-12   -0.0000e+00
-5.0000e-02   -5.0000e-13   1.0000e+11
-1.0000e-01   -6.7000e-13   1.4925e+11
-1.5000e-01   1.0800e-12   -1.3889e+11
-2.0000e-01   1.2600e-12   -1.5873e+11
-2.5000e-01   -8.2000e-12   3.0488e+10
-3.0000e-01   -2.3700e-12   1.2658e+11
-3.5000e-01   -1.8900e-12   1.8519e+11
-4.0000e-01   -3.2100e-12   1.2461e+11
-4.5000e-01   -3.2000e-13   1.4062e+12
-5.0000e-01   -1.1540e-11   4.3328e+10
-5.5000e-01   -4.5700e-12   1.2035e+11
-6.0000e-01   -5.5000e-13   1.0909e+12
-6.5000e-01   -4.1000e-12   1.5854e+11
-7.0000e-01   -5.8800e-12   1.1905e+11
-7.5000e-01   -1.7000e-11   4.4118e+10
-8.0000e-01   -6.2500e-12   1.2800e+11
-8.5000e-01   -6.1900e-12   1.3732e+11
-9.0000e-01   -9.2000e-12   9.7826e+10
-9.5000e-01   -7.7900e-12   1.2195e+11
-1.0000e+00   -1.2660e-11   7.8989e+10
-1.0000e+00   -9.3700e-12   1.0672e+11
-9.5000e-01   -4.9700e-12   1.9115e+11
-9.0000e-01   -3.6000e-12   2.5000e+11
-8.5000e-01   -5.7500e-12   1.4783e+11
-8.0000e-01   3.6400e-12   -2.1978e+11
-7.5000e-01   1.3400e-12   -5.5970e+11
-7.0000e-01   8.0000e-14   -8.7500e+12
-6.5000e-01   5.0800e-12   -1.2795e+11
-6.0000e-01   -8.9000e-12   6.7416e+10
-5.5000e-01   2.8200e-12   -1.9504e+11
-5.0000e-01   3.8200e-12   -1.3089e+11
-4.5000e-01   4.7400e-12   -9.4937e+10
-4.0000e-01   2.8200e-12   -1.4184e+11
-3.5000e-01   -6.8300e-12   5.1245e+10
-3.0000e-01   5.6500e-12   -5.3097e+10
-2.5000e-01   2.8600e-12   -8.7413e+10
-2.0000e-01   1.0800e-12   -1.8519e+11
-1.5000e-01   1.6300e-12   -9.2025e+10
-1.0000e-01   1.0000e-13   -1.0000e+12
-5.0000e-02   1.0110e-11   -4.9456e+09
0.0000e+00   2.6700e-12   0.0000e+00
