  Measurement Number     Measurement type
                  80                DC IV

      Measurement ID             SeriesID
       739928.530591                   10

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.9000e-12   0.0000e+00
5.0000e-02   4.8000e-12   1.0417e+10
1.0000e-01   1.0030e-11   9.9701e+09
1.5000e-01   -3.5100e-12   -4.2735e+10
2.0000e-01   3.9800e-12   5.0251e+10
2.5000e-01   6.8100e-12   3.6711e+10
3.0000e-01   7.4400e-12   4.0323e+10
3.5000e-01   4.9300e-12   7.0994e+10
4.0000e-01   -2.5200e-12   -1.5873e+11
4.5000e-01   3.7500e-12   1.2000e+11
5.0000e-01   6.5000e-12   7.6923e+10
5.5000e-01   5.3900e-12   1.0204e+11
6.0000e-01   6.2800e-12   9.5541e+10
6.5000e-01   1.3000e-12   5.0000e+11
7.0000e-01   1.0720e-11   6.5299e+10
7.5000e-01   1.0075e-10   7.4442e+09
8.0000e-01   1.1064e-10   7.2307e+09
8.5000e-01   1.0532e-10   8.0706e+09
9.0000e-01   1.1076e-10   8.1257e+09
9.5000e-01   1.4094e-10   6.7405e+09
1.0000e+00   4.2495e-08   2.3532e+07
1.0500e+00   6.7778e-08   1.5492e+07
1.1000e+00   6.2508e-08   1.7598e+07
1.1500e+00   6.6280e-08   1.7351e+07
1.2000e+00   8.6951e-08   1.3801e+07
1.2500e+00   3.5492e-07   3.5219e+06
1.3000e+00   5.3322e-07   2.4380e+06
1.3500e+00   6.6852e-07   2.0194e+06
1.4000e+00   9.9998e-06   1.4000e+05
1.4500e+00   9.9998e-06   1.4500e+05
1.5000e+00   9.9998e-06   1.5000e+05
1.5500e+00   9.9997e-06   1.5500e+05
1.6000e+00   9.9999e-06   1.6000e+05
1.6500e+00   9.9998e-06   1.6500e+05
1.7000e+00   9.9998e-06   1.7000e+05
1.7500e+00   9.9998e-06   1.7500e+05
1.8000e+00   9.9997e-06   1.8001e+05
1.8500e+00   9.9999e-06   1.8500e+05
1.9000e+00   9.9998e-06   1.9000e+05
1.9500e+00   9.9998e-06   1.9500e+05
2.0000e+00   9.9998e-06   2.0000e+05
2.0000e+00   9.9999e-06   2.0000e+05
1.9500e+00   9.9999e-06   1.9500e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.8500e+00   9.9998e-06   1.8500e+05
1.8000e+00   9.9998e-06   1.8000e+05
1.7500e+00   9.9998e-06   1.7500e+05
1.7000e+00   9.9998e-06   1.7000e+05
1.6500e+00   1.0000e-05   1.6500e+05
