  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739928.531656                   28

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   9.1000e-13   0.0000e+00
5.0000e-02   1.1000e-12   4.5455e+10
1.0000e-01   7.5000e-13   1.3333e+11
1.5000e-01   8.2900e-12   1.8094e+10
2.0000e-01   -7.4000e-13   -2.7027e+11
2.5000e-01   5.2000e-13   4.8077e+11
3.0000e-01   3.4000e-12   8.8235e+10
3.5000e-01   1.6500e-12   2.1212e+11
4.0000e-01   7.4800e-12   5.3476e+10
4.5000e-01   -1.8000e-13   -2.5000e+12
5.0000e-01   5.8700e-12   8.5179e+10
5.5000e-01   9.7600e-12   5.6352e+10
6.0000e-01   5.7100e-12   1.0508e+11
6.5000e-01   1.3810e-11   4.7067e+10
7.0000e-01   3.3633e-08   2.0813e+07
7.5000e-01   4.8456e-08   1.5478e+07
8.0000e-01   3.2575e-08   2.4559e+07
8.5000e-01   8.1589e-08   1.0418e+07
9.0000e-01   2.8288e-07   3.1816e+06
9.5000e-01   3.2666e-07   2.9082e+06
1.0000e+00   2.9560e-07   3.3829e+06
1.0500e+00   4.2774e-07   2.4548e+06
1.1000e+00   8.9032e-07   1.2355e+06
1.1500e+00   8.5870e-07   1.3392e+06
1.2000e+00   1.8402e-06   6.5210e+05
1.2500e+00   1.5760e-06   7.9315e+05
1.3000e+00   3.9062e-06   3.3280e+05
1.3500e+00   3.8769e-06   3.4822e+05
1.4000e+00   3.7811e-06   3.7026e+05
1.4500e+00   6.3646e-06   2.2782e+05
1.5000e+00   9.9982e-06   1.5003e+05
1.5500e+00   1.0002e-05   1.5497e+05
1.6000e+00   9.9996e-06   1.6001e+05
1.6500e+00   9.9998e-06   1.6500e+05
1.7000e+00   1.0001e-05   1.6999e+05
1.7500e+00   9.9995e-06   1.7501e+05
1.8000e+00   9.9997e-06   1.8001e+05
1.8500e+00   9.9999e-06   1.8500e+05
1.9000e+00   9.9990e-06   1.9002e+05
1.9500e+00   1.0001e-05   1.9499e+05
2.0000e+00   1.0002e-05   1.9997e+05
2.0000e+00   1.0002e-05   1.9996e+05
1.9500e+00   9.9996e-06   1.9501e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.8500e+00   9.9998e-06   1.8500e+05
1.8000e+00   9.9995e-06   1.8001e+05
1.7500e+00   9.9993e-06   1.7501e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.6500e+00   9.9990e-06   1.6502e+05
