  Measurement Number     Measurement type
                 103        DC IV I sweep

      Measurement ID             SeriesID
       739912.766046                    0

         MeasureMode                Bias1                Bias2
                   1                1e-06                    0

                Step  Positive compliance  Negative compliance
               1e-08                    1                   -1

  RealMeasuredPoints
                 202

        Bias        Current     Resistance
8.8936e-01   1.0000e-06   8.8936e+05
9.0044e-01   9.9000e-07   9.0954e+05
8.3360e-01   9.8000e-07   8.5061e+05
8.2932e-01   9.7000e-07   8.5497e+05
7.8048e-01   9.6000e-07   8.1300e+05
8.3276e-01   9.5000e-07   8.7659e+05
7.9336e-01   9.4000e-07   8.4400e+05
7.6956e-01   9.3000e-07   8.2748e+05
7.8932e-01   9.2000e-07   8.5796e+05
7.9180e-01   9.1000e-07   8.7011e+05
7.4448e-01   9.0000e-07   8.2720e+05
7.3332e-01   8.9000e-07   8.2396e+05
7.1980e-01   8.8000e-07   8.1795e+05
7.5004e-01   8.7000e-07   8.6211e+05
7.3196e-01   8.6000e-07   8.5112e+05
7.1300e-01   8.5000e-07   8.3882e+05
7.2876e-01   8.4000e-07   8.6757e+05
8.0700e-01   8.3000e-07   9.7229e+05
9.2664e-01   8.2000e-07   1.1300e+06
8.3180e-01   8.1000e-07   1.0269e+06
6.4784e-01   8.0000e-07   8.0980e+05
7.4504e-01   7.9000e-07   9.4309e+05
7.2904e-01   7.8000e-07   9.3467e+05
7.3868e-01   7.7000e-07   9.5932e+05
7.8240e-01   7.6000e-07   1.0295e+06
8.4024e-01   7.5000e-07   1.1203e+06
7.3984e-01   7.4000e-07   9.9978e+05
7.0440e-01   7.3000e-07   9.6493e+05
6.6356e-01   7.2000e-07   9.2161e+05
6.2092e-01   7.1000e-07   8.7454e+05
6.2572e-01   7.0000e-07   8.9389e+05
5.6068e-01   6.9000e-07   8.1258e+05
5.2196e-01   6.8000e-07   7.6759e+05
5.5604e-01   6.7000e-07   8.2991e+05
5.5244e-01   6.6000e-07   8.3703e+05
5.3036e-01   6.5000e-07   8.1594e+05
5.3184e-01   6.4000e-07   8.3100e+05
5.4912e-01   6.3000e-07   8.7162e+05
5.2464e-01   6.2000e-07   8.4619e+05
5.2868e-01   6.1000e-07   8.6669e+05
5.3740e-01   6.0000e-07   8.9567e+05
5.3724e-01   5.9000e-07   9.1058e+05
5.4712e-01   5.8000e-07   9.4331e+05
5.2408e-01   5.7000e-07   9.1944e+05
5.3244e-01   5.6000e-07   9.5079e+05
5.1092e-01   5.5000e-07   9.2895e+05
5.3184e-01   5.4000e-07   9.8489e+05
5.1584e-01   5.3000e-07   9.7328e+05
5.2136e-01   5.2000e-07   1.0026e+06
5.6568e-01   5.1000e-07   1.1092e+06
5.5148e-01   5.0000e-07   1.1030e+06
4.8804e-01   4.9000e-07   9.9600e+05
4.7599e-01   4.8000e-07   9.9165e+05
5.1620e-01   4.7000e-07   1.0983e+06
4.9931e-01   4.6000e-07   1.0855e+06
4.9765e-01   4.5000e-07   1.1059e+06
4.9810e-01   4.4000e-07   1.1320e+06
4.9366e-01   4.3000e-07   1.1480e+06
4.8858e-01   4.2000e-07   1.1633e+06
4.7126e-01   4.1000e-07   1.1494e+06
4.5150e-01   4.0000e-07   1.1288e+06
