  Measurement Number     Measurement type
                 106        DC IV I sweep

      Measurement ID             SeriesID
       739912.766287                   96

         MeasureMode                Bias1                Bias2
                   1                1e-06                    0

                Step  Positive compliance  Negative compliance
               1e-08                    1                   -1

  RealMeasuredPoints
                 202

        Bias        Current     Resistance
1.0000e+00   1.0000e-06   1.0000e+06
8.0076e-01   9.9000e-07   8.0885e+05
7.4848e-01   9.8000e-07   7.6376e+05
7.6288e-01   9.7000e-07   7.8647e+05
7.0464e-01   9.6000e-07   7.3400e+05
6.9780e-01   9.5000e-07   7.3453e+05
6.8776e-01   9.4000e-07   7.3166e+05
6.6180e-01   9.3000e-07   7.1161e+05
6.5068e-01   9.2000e-07   7.0726e+05
6.1672e-01   9.1000e-07   6.7771e+05
6.3728e-01   9.0000e-07   7.0809e+05
6.2672e-01   8.9000e-07   7.0418e+05
6.0848e-01   8.8000e-07   6.9145e+05
6.0872e-01   8.7000e-07   6.9968e+05
5.9784e-01   8.6000e-07   6.9516e+05
5.9032e-01   8.5000e-07   6.9449e+05
6.2180e-01   8.4000e-07   7.4024e+05
6.3152e-01   8.3000e-07   7.6087e+05
5.8372e-01   8.2000e-07   7.1185e+05
6.3100e-01   8.1000e-07   7.7901e+05
6.4708e-01   8.0000e-07   8.0885e+05
6.0240e-01   7.9000e-07   7.6253e+05
5.9132e-01   7.8000e-07   7.5810e+05
5.6224e-01   7.7000e-07   7.3018e+05
5.6680e-01   7.6000e-07   7.4579e+05
5.6064e-01   7.5000e-07   7.4752e+05
5.7232e-01   7.4000e-07   7.7341e+05
5.7004e-01   7.3000e-07   7.8088e+05
5.6200e-01   7.2000e-07   7.8056e+05
5.7764e-01   7.1000e-07   8.1358e+05
5.5088e-01   7.0000e-07   7.8697e+05
5.4132e-01   6.9000e-07   7.8452e+05
5.4200e-01   6.8000e-07   7.9706e+05
5.2728e-01   6.7000e-07   7.8699e+05
5.3012e-01   6.6000e-07   8.0321e+05
5.1524e-01   6.5000e-07   7.9268e+05
5.1300e-01   6.4000e-07   8.0156e+05
5.0808e-01   6.3000e-07   8.0648e+05
5.1293e-01   6.2000e-07   8.2731e+05
4.8260e-01   6.1000e-07   7.9115e+05
4.9127e-01   6.0000e-07   8.1878e+05
4.7754e-01   5.9000e-07   8.0939e+05
4.6015e-01   5.8000e-07   7.9336e+05
4.6308e-01   5.7000e-07   8.1242e+05
4.6198e-01   5.6000e-07   8.2496e+05
4.3987e-01   5.5000e-07   7.9976e+05
4.4046e-01   5.4000e-07   8.1567e+05
4.3394e-01   5.3000e-07   8.1875e+05
4.2643e-01   5.2000e-07   8.2006e+05
4.2617e-01   5.1000e-07   8.3563e+05
4.5075e-01   5.0000e-07   9.0150e+05
4.1930e-01   4.9000e-07   8.5571e+05
4.1461e-01   4.8000e-07   8.6377e+05
3.9121e-01   4.7000e-07   8.3236e+05
3.4614e-01   4.6000e-07   7.5248e+05
3.4091e-01   4.5000e-07   7.5758e+05
3.3971e-01   4.4000e-07   7.7207e+05
3.2004e-01   4.3000e-07   7.4428e+05
3.2187e-01   4.2000e-07   7.6636e+05
3.5511e-01   4.1000e-07   8.6612e+05
3.4825e-01   4.0000e-07   8.7063e+05
