  Measurement Number     Measurement type
                  30        DC IV I sweep

      Measurement ID             SeriesID
       739912.757955                    0

         MeasureMode                Bias1                Bias2
                   1                1e-06                    0

                Step  Positive compliance  Negative compliance
               1e-09                    2                   -2

  RealMeasuredPoints
                2002

        Bias        Current     Resistance
7.6000e-04   1.0000e-06   7.6000e+02
7.8380e-02   9.9900e-07   7.8458e+04
6.6060e-02   9.9800e-07   6.6192e+04
6.5960e-02   9.9700e-07   6.6158e+04
3.3810e-02   9.9600e-07   3.3946e+04
3.8720e-02   9.9500e-07   3.8915e+04
4.0050e-02   9.9400e-07   4.0292e+04
4.1940e-02   9.9300e-07   4.2236e+04
4.1180e-02   9.9200e-07   4.1512e+04
4.1770e-02   9.9100e-07   4.2149e+04
3.4750e-02   9.9000e-07   3.5101e+04
3.9930e-02   9.8900e-07   4.0374e+04
4.0510e-02   9.8800e-07   4.1002e+04
3.7520e-02   9.8700e-07   3.8014e+04
3.6940e-02   9.8600e-07   3.7465e+04
3.7440e-02   9.8500e-07   3.8010e+04
3.9640e-02   9.8400e-07   4.0285e+04
3.8760e-02   9.8300e-07   3.9430e+04
3.8870e-02   9.8200e-07   3.9582e+04
3.7600e-02   9.8100e-07   3.8328e+04
3.8880e-02   9.8000e-07   3.9673e+04
3.9140e-02   9.7900e-07   3.9980e+04
3.8040e-02   9.7800e-07   3.8896e+04
4.2520e-02   9.7700e-07   4.3521e+04
3.7620e-02   9.7600e-07   3.8545e+04
3.8200e-02   9.7500e-07   3.9179e+04
4.0580e-02   9.7400e-07   4.1663e+04
3.9950e-02   9.7300e-07   4.1059e+04
3.9400e-02   9.7200e-07   4.0535e+04
3.8920e-02   9.7100e-07   4.0082e+04
3.9530e-02   9.7000e-07   4.0753e+04
3.8710e-02   9.6900e-07   3.9948e+04
4.9300e-02   9.6800e-07   5.0930e+04
5.1150e-02   9.6700e-07   5.2896e+04
5.1530e-02   9.6600e-07   5.3344e+04
5.1250e-02   9.6500e-07   5.3109e+04
5.0330e-02   9.6400e-07   5.2210e+04
5.0950e-02   9.6300e-07   5.2908e+04
4.7730e-02   9.6200e-07   4.9615e+04
4.9120e-02   9.6100e-07   5.1113e+04
4.9930e-02   9.6000e-07   5.2010e+04
5.2220e-02   9.5900e-07   5.4453e+04
2.1800e-02   9.5800e-07   2.2756e+04
2.1040e-02   9.5700e-07   2.1985e+04
6.2830e-02   9.5600e-07   6.5722e+04
6.1680e-02   9.5500e-07   6.4586e+04
5.9540e-02   9.5400e-07   6.2411e+04
6.2920e-02   9.5300e-07   6.6023e+04
6.3490e-02   9.5200e-07   6.6691e+04
6.1090e-02   9.5100e-07   6.4238e+04
6.1260e-02   9.5000e-07   6.4484e+04
6.0770e-02   9.4900e-07   6.4036e+04
5.9480e-02   9.4800e-07   6.2743e+04
5.9330e-02   9.4700e-07   6.2650e+04
5.6750e-02   9.4600e-07   5.9989e+04
6.0370e-02   9.4500e-07   6.3884e+04
5.7720e-02   9.4400e-07   6.1144e+04
5.6540e-02   9.4300e-07   5.9958e+04
5.8470e-02   9.4200e-07   6.2070e+04
6.0220e-02   9.4100e-07   6.3996e+04
5.9980e-02   9.4000e-07   6.3809e+04
