  Measurement Number     Measurement type
                  47                DC IV

      Measurement ID             SeriesID
       739912.762006                    0

         MeasureMode                Bias1                Bias2
                   2                    1                 -0.5

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  64

        Bias        Current     Resistance
0.0000e+00   -1.2130e-11   -0.0000e+00
5.0000e-02   3.2800e-12   1.5244e+10
1.0000e-01   2.5100e-12   3.9841e+10
1.5000e-01   -8.4700e-12   -1.7710e+10
2.0000e-01   -8.4200e-12   -2.3753e+10
2.5000e-01   -7.2500e-12   -3.4483e+10
3.0000e-01   1.5710e-11   1.9096e+10
3.5000e-01   8.1700e-12   4.2840e+10
4.0000e-01   1.4700e-12   2.7211e+11
4.5000e-01   -8.3400e-12   -5.3957e+10
5.0000e-01   -3.2600e-12   -1.5337e+11
5.5000e-01   1.7590e-11   3.1268e+10
6.0000e-01   1.3090e-11   4.5837e+10
6.5000e-01   6.7800e-12   9.5870e+10
7.0000e-01   1.9740e-11   3.5461e+10
7.5000e-01   1.8660e-11   4.0193e+10
8.0000e-01   1.0000e-06   8.0000e+05
8.5000e-01   1.0000e-06   8.4998e+05
9.0000e-01   1.0000e-06   8.9998e+05
9.5000e-01   1.0000e-06   9.4998e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   1.0000e-06   9.9998e+05
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.0000e-01   1.0000e-06   6.9999e+05
6.5000e-01   1.0000e-06   6.5000e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   1.0000e-06   5.4999e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.4999e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   1.0000e-06   3.5000e+05
3.0000e-01   1.0000e-06   2.9999e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   1.0000e-06   2.0000e+05
1.5000e-01   1.0000e-06   1.5000e+05
1.0000e-01   1.0000e-06   9.9996e+04
5.0000e-02   1.0000e-06   5.0000e+04
0.0000e+00   1.2400e-12   0.0000e+00
0.0000e+00   -5.9600e-12   -0.0000e+00
-5.0000e-02   -3.5200e-12   1.4205e+10
-1.0000e-01   1.4600e-12   -6.8493e+10
-1.5000e-01   -6.7600e-12   2.2189e+10
-2.0000e-01   -3.1600e-12   6.3291e+10
-2.5000e-01   4.3800e-12   -5.7078e+10
-3.0000e-01   -7.3900e-12   4.0595e+10
-3.5000e-01   -7.6800e-12   4.5573e+10
-4.0000e-01   1.7600e-12   -2.2727e+11
-4.5000e-01   -1.4490e-11   3.1056e+10
-5.0000e-01   -6.6900e-12   7.4738e+10
-5.0000e-01   -2.4330e-11   2.0551e+10
-4.5000e-01   4.4700e-12   -1.0067e+11
-4.0000e-01   -2.9000e-13   1.3793e+12
-3.5000e-01   2.8000e-13   -1.2500e+12
-3.0000e-01   1.3760e-11   -2.1802e+10
-2.5000e-01   4.5300e-12   -5.5188e+10
-2.0000e-01   -4.8000e-13   4.1667e+11
-1.5000e-01   9.2900e-12   -1.6146e+10
-1.0000e-01   5.2000e-12   -1.9231e+10
-5.0000e-02   1.0010e-11   -4.9950e+09
0.0000e+00   1.2830e-11   0.0000e+00
