  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739912.774968                   13

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.2610e-11   -0.0000e+00
5.0000e-02   -6.7400e-12   -7.4184e+09
1.0000e-01   -8.1000e-12   -1.2346e+10
1.5000e-01   2.8500e-12   5.2632e+10
2.0000e-01   1.5800e-12   1.2658e+11
2.5000e-01   -4.5300e-12   -5.5188e+10
3.0000e-01   5.7900e-12   5.1813e+10
3.5000e-01   1.9420e-11   1.8023e+10
4.0000e-01   9.7300e-12   4.1110e+10
4.5000e-01   1.1060e-11   4.0687e+10
5.0000e-01   -4.9500e-12   -1.0101e+11
5.5000e-01   4.6000e-12   1.1957e+11
6.0000e-01   1.7740e-11   3.3822e+10
6.5000e-01   1.3270e-11   4.8983e+10
7.0000e-01   4.4600e-12   1.5695e+11
7.5000e-01   6.2800e-12   1.1943e+11
8.0000e-01   6.6200e-12   1.2085e+11
8.5000e-01   1.6130e-11   5.2697e+10
9.0000e-01   8.2900e-12   1.0856e+11
9.5000e-01   6.9000e-13   1.3768e+12
1.0000e+00   9.5000e-12   1.0526e+11
1.0500e+00   3.6400e-12   2.8846e+11
1.1000e+00   2.0600e-11   5.3398e+10
1.1500e+00   1.2670e-11   9.0766e+10
1.2000e+00   2.6100e-12   4.5977e+11
1.2500e+00   2.0660e-11   6.0503e+10
1.3000e+00   4.8700e-12   2.6694e+11
1.3500e+00   1.0950e-11   1.2329e+11
1.4000e+00   3.1140e-11   4.4958e+10
1.4500e+00   3.3460e-11   4.3335e+10
1.5000e+00   2.7020e-11   5.5514e+10
1.5500e+00   1.0000e-06   1.5499e+06
1.6000e+00   1.0006e-06   1.5990e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   9.9998e-07   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6499e+06
