  Measurement Number     Measurement type
                 101                DC IV

      Measurement ID             SeriesID
       739912.791584                   55

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   2.9500e-12   0.0000e+00
5.0000e-02   1.1570e-11   4.3215e+09
1.0000e-01   4.2000e-13   2.3810e+11
1.5000e-01   2.7200e-12   5.5147e+10
2.0000e-01   2.0270e-11   9.8668e+09
2.5000e-01   -2.3700e-12   -1.0549e+11
3.0000e-01   1.3000e-11   2.3077e+10
3.5000e-01   1.5410e-11   2.2713e+10
4.0000e-01   1.7130e-11   2.3351e+10
4.5000e-01   2.4300e-11   1.8519e+10
5.0000e-01   1.1830e-11   4.2265e+10
5.5000e-01   2.7960e-11   1.9671e+10
6.0000e-01   1.0000e-06   5.9998e+05
6.5000e-01   1.0000e-06   6.5000e+05
7.0000e-01   1.0000e-06   7.0000e+05
7.5000e-01   1.0000e-06   7.4999e+05
8.0000e-01   1.0000e-06   7.9998e+05
8.5000e-01   1.0000e-06   8.4998e+05
9.0000e-01   1.0000e-06   9.0000e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   9.9998e-07   1.0000e+06
1.0000e+00   1.0000e-06   1.0000e+06
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.0000e-01   1.0000e-06   6.9999e+05
6.5000e-01   1.0000e-06   6.5000e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   9.9998e-07   5.5001e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.5000e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   9.0024e-07   3.8879e+05
3.0000e-01   8.4326e-07   3.5576e+05
2.5000e-01   6.9572e-07   3.5934e+05
2.0000e-01   4.7912e-07   4.1743e+05
1.5000e-01   2.8734e-07   5.2203e+05
1.0000e-01   9.2641e-08   1.0794e+06
5.0000e-02   7.7000e-13   6.4935e+10
0.0000e+00   -9.6800e-12   -0.0000e+00
0.0000e+00   6.0000e-14   0.0000e+00
-5.0000e-02   2.0000e-12   -2.5000e+10
-1.0000e-01   -1.0490e-11   9.5329e+09
-1.5000e-01   -2.9800e-12   5.0336e+10
-2.0000e-01   3.0000e-12   -6.6667e+10
-2.5000e-01   -1.1760e-11   2.1259e+10
-3.0000e-01   -3.0000e-14   1.0000e+13
-3.5000e-01   -1.8300e-12   1.9126e+11
-4.0000e-01   -2.0240e-11   1.9763e+10
-4.5000e-01   -1.9220e-11   2.3413e+10
-5.0000e-01   -1.5330e-11   3.2616e+10
-5.5000e-01   -3.8700e-12   1.4212e+11
-6.0000e-01   -1.2410e-11   4.8348e+10
-6.5000e-01   -2.1890e-11   2.9694e+10
-7.0000e-01   -3.1830e-11   2.1992e+10
-7.5000e-01   -2.8100e-11   2.6690e+10
-8.0000e-01   -1.7490e-11   4.5740e+10
-8.5000e-01   -1.9260e-11   4.4133e+10
-9.0000e-01   -3.6890e-11   2.4397e+10
-9.5000e-01   -2.4580e-11   3.8649e+10
-1.0000e+00   -3.4920e-11   2.8637e+10
-1.0000e+00   -2.0400e-11   4.9020e+10
-9.5000e-01   -1.3060e-11   7.2741e+10
-9.0000e-01   -8.6700e-12   1.0381e+11
-8.5000e-01   -1.9650e-11   4.3257e+10
-8.0000e-01   -1.3750e-11   5.8182e+10
-7.5000e-01   -1.4700e-11   5.1020e+10
-7.0000e-01   -6.0800e-12   1.1513e+11
-6.5000e-01   1.1300e-12   -5.7522e+11
-6.0000e-01   -3.7800e-12   1.5873e+11
-5.5000e-01   -1.3320e-11   4.1291e+10
-5.0000e-01   -6.3100e-12   7.9239e+10
-4.5000e-01   -1.2800e-11   3.5156e+10
-4.0000e-01   7.2800e-12   -5.4945e+10
-3.5000e-01   1.3600e-12   -2.5735e+11
-3.0000e-01   -1.0540e-11   2.8463e+10
-2.5000e-01   -9.0600e-12   2.7594e+10
-2.0000e-01   -9.2800e-12   2.1552e+10
-1.5000e-01   3.6100e-12   -4.1551e+10
-1.0000e-01   5.0200e-12   -1.9920e+10
-5.0000e-02   -1.0680e-11   4.6816e+09
0.0000e+00   -5.7000e-12   -0.0000e+00
