  Measurement Number     Measurement type
                  89                DC IV

      Measurement ID             SeriesID
       739912.790866                   55

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -2.4700e-12   -0.0000e+00
5.0000e-02   8.9400e-12   5.5928e+09
1.0000e-01   5.6600e-12   1.7668e+10
1.5000e-01   1.5980e-11   9.3867e+09
2.0000e-01   3.9100e-12   5.1151e+10
2.5000e-01   9.0000e-12   2.7778e+10
3.0000e-01   2.2400e-11   1.3393e+10
3.5000e-01   9.2200e-12   3.7961e+10
4.0000e-01   2.5390e-11   1.5754e+10
4.5000e-01   1.4730e-11   3.0550e+10
5.0000e-01   2.1820e-11   2.2915e+10
5.5000e-01   3.8240e-11   1.4383e+10
6.0000e-01   3.7100e-11   1.6173e+10
6.5000e-01   4.3970e-11   1.4783e+10
7.0000e-01   1.0000e-06   7.0000e+05
7.5000e-01   1.0000e-06   7.4999e+05
8.0000e-01   1.0000e-06   7.9997e+05
8.5000e-01   1.0000e-06   8.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   1.0000e-06   9.4998e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.0000e-01   1.0000e-06   7.0000e+05
6.5000e-01   1.0000e-06   6.4999e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   1.0000e-06   4.9999e+05
4.5000e-01   9.7886e-07   4.5972e+05
4.0000e-01   7.1852e-07   5.5670e+05
3.5000e-01   6.5504e-07   5.3432e+05
3.0000e-01   5.3740e-07   5.5824e+05
2.5000e-01   4.1458e-07   6.0302e+05
2.0000e-01   2.6788e-07   7.4660e+05
1.5000e-01   1.4128e-07   1.0617e+06
1.0000e-01   1.0740e-11   9.3110e+09
5.0000e-02   -5.6900e-12   -8.7873e+09
0.0000e+00   1.4800e-12   0.0000e+00
0.0000e+00   5.1600e-12   0.0000e+00
-5.0000e-02   -1.2090e-11   4.1356e+09
-1.0000e-01   7.9200e-12   -1.2626e+10
-1.5000e-01   -1.5700e-12   9.5541e+10
-2.0000e-01   -8.8700e-12   2.2548e+10
-2.5000e-01   4.7900e-12   -5.2192e+10
-3.0000e-01   -1.8200e-11   1.6484e+10
-3.5000e-01   -6.4800e-12   5.4012e+10
-4.0000e-01   -1.7280e-11   2.3148e+10
-4.5000e-01   -1.6070e-11   2.8002e+10
-5.0000e-01   1.8300e-12   -2.7322e+11
-5.5000e-01   -8.6800e-12   6.3364e+10
-6.0000e-01   -2.2050e-11   2.7211e+10
-6.5000e-01   -2.0370e-11   3.1910e+10
-7.0000e-01   -2.6410e-11   2.6505e+10
-7.5000e-01   -1.1370e-11   6.5963e+10
-8.0000e-01   -1.3570e-11   5.8954e+10
-8.5000e-01   -2.5610e-11   3.3190e+10
-9.0000e-01   -3.2250e-11   2.7907e+10
-9.5000e-01   -3.0610e-11   3.1036e+10
-1.0000e+00   -2.3080e-11   4.3328e+10
-1.0000e+00   -4.3410e-11   2.3036e+10
-9.5000e-01   -2.9010e-11   3.2747e+10
-9.0000e-01   -1.9050e-11   4.7244e+10
-8.5000e-01   -2.2700e-12   3.7445e+11
-8.0000e-01   -1.1090e-11   7.2137e+10
-7.5000e-01   -1.2110e-11   6.1932e+10
-7.0000e-01   -1.3150e-11   5.3232e+10
-6.5000e-01   -8.5400e-12   7.6112e+10
-6.0000e-01   1.6900e-12   -3.5503e+11
-5.5000e-01   1.3900e-12   -3.9568e+11
-5.0000e-01   -6.7800e-12   7.3746e+10
-4.5000e-01   3.3100e-12   -1.3595e+11
-4.0000e-01   7.9500e-12   -5.0314e+10
-3.5000e-01   2.4000e-12   -1.4583e+11
-3.0000e-01   8.2100e-12   -3.6541e+10
-2.5000e-01   -3.6800e-12   6.7935e+10
-2.0000e-01   -3.2000e-13   6.2500e+11
-1.5000e-01   -2.5700e-12   5.8366e+10
-1.0000e-01   -7.0700e-12   1.4144e+10
-5.0000e-02   4.9000e-12   -1.0204e+10
0.0000e+00   7.8100e-12   0.0000e+00
