  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739912.734545                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -6.4500e-12   -0.0000e+00
5.0000e-02   -6.3100e-12   -7.9239e+09
1.0000e-01   -7.9000e-12   -1.2658e+10
1.5000e-01   -6.6900e-12   -2.2422e+10
2.0000e-01   1.0480e-11   1.9084e+10
2.5000e-01   7.3300e-12   3.4106e+10
3.0000e-01   5.9600e-12   5.0336e+10
3.5000e-01   1.3550e-11   2.5830e+10
4.0000e-01   8.6400e-12   4.6296e+10
4.5000e-01   -5.9900e-12   -7.5125e+10
5.0000e-01   -3.7700e-12   -1.3263e+11
5.5000e-01   -6.4600e-12   -8.5139e+10
6.0000e-01   4.4800e-12   1.3393e+11
6.5000e-01   -8.7100e-12   -7.4627e+10
7.0000e-01   -6.0400e-12   -1.1589e+11
7.5000e-01   5.8900e-12   1.2733e+11
8.0000e-01   8.6400e-12   9.2593e+10
8.5000e-01   2.2900e-12   3.7118e+11
9.0000e-01   1.2100e-12   7.4380e+11
9.5000e-01   2.4700e-12   3.8462e+11
1.0000e+00   -7.4500e-12   -1.3423e+11
1.0500e+00   7.4600e-12   1.4075e+11
1.1000e+00   1.0050e-11   1.0945e+11
1.1500e+00   8.9340e-11   1.2872e+10
1.2000e+00   1.3230e-10   9.0703e+09
1.2500e+00   1.7121e-10   7.3010e+09
1.3000e+00   1.6737e-10   7.7672e+09
1.3500e+00   1.1752e-09   1.1487e+09
1.4000e+00   2.6699e-09   5.2436e+08
1.4500e+00   1.3537e-09   1.0711e+09
1.5000e+00   1.0998e-09   1.3639e+09
1.5500e+00   4.0062e-09   3.8690e+08
1.6000e+00   4.6491e-09   3.4415e+08
1.6500e+00   1.5955e-08   1.0342e+08
1.7000e+00   2.0828e-08   8.1620e+07
1.7500e+00   1.1492e-08   1.5228e+08
1.8000e+00   2.1848e-08   8.2388e+07
1.8500e+00   3.8252e-08   4.8363e+07
1.9000e+00   5.9602e-08   3.1878e+07
1.9500e+00   2.3294e-07   8.3713e+06
2.0000e+00   2.5652e-07   7.7967e+06
2.0000e+00   3.0922e-07   6.4679e+06
1.9500e+00   6.9622e-07   2.8008e+06
1.9000e+00   6.9482e-07   2.7345e+06
1.8500e+00   5.1884e-07   3.5656e+06
1.8000e+00   4.9320e-07   3.6496e+06
1.7500e+00   3.7914e-07   4.6157e+06
1.7000e+00   4.2488e-07   4.0011e+06
