  Measurement Number     Measurement type
                 101                DC IV

      Measurement ID             SeriesID
       739912.813551                   98

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.0940e-11   0.0000e+00
5.0000e-02   1.0820e-11   4.6211e+09
1.0000e-01   -4.4800e-12   -2.2321e+10
1.5000e-01   -2.0300e-12   -7.3892e+10
2.0000e-01   1.0530e-11   1.8993e+10
2.5000e-01   1.0220e-11   2.4462e+10
3.0000e-01   1.0070e-11   2.9791e+10
3.5000e-01   6.1000e-13   5.7377e+11
4.0000e-01   -5.4000e-13   -7.4074e+11
4.5000e-01   2.0100e-11   2.2388e+10
5.0000e-01   1.2340e-11   4.0519e+10
5.5000e-01   9.1500e-12   6.0109e+10
6.0000e-01   -4.8300e-12   -1.2422e+11
6.5000e-01   3.1100e-12   2.0900e+11
7.0000e-01   1.2280e-11   5.7003e+10
7.5000e-01   1.6970e-11   4.4196e+10
8.0000e-01   1.5690e-11   5.0988e+10
8.5000e-01   9.4000e-13   9.0426e+11
9.0000e-01   5.2800e-12   1.7045e+11
9.5000e-01   1.9160e-11   4.9582e+10
1.0000e+00   3.7800e-12   2.6455e+11
1.0500e+00   1.3670e-11   7.6811e+10
1.1000e+00   2.2600e-12   4.8673e+11
1.1500e+00   2.7200e-12   4.2279e+11
1.2000e+00   1.4988e-10   8.0064e+09
1.2500e+00   1.0001e-06   1.2499e+06
1.3000e+00   9.9992e-07   1.3001e+06
1.3500e+00   1.0000e-06   1.3499e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4499e+06
1.5000e+00   1.0000e-06   1.4999e+06
1.5500e+00   9.9998e-07   1.5500e+06
1.6000e+00   9.9998e-07   1.6000e+06
1.6500e+00   9.9996e-07   1.6501e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   9.9998e-07   1.7500e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   9.9998e-07   1.9000e+06
1.9500e+00   9.9996e-07   1.9501e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   9.9998e-07   1.8000e+06
1.7500e+00   9.9998e-07   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6499e+06
