  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739912.721413                   82

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -7.5000e-12   -0.0000e+00
5.0000e-02   3.0000e-12   1.6667e+10
1.0000e-01   1.1490e-11   8.7032e+09
1.5000e-01   -5.7200e-12   -2.6224e+10
2.0000e-01   -6.7600e-12   -2.9586e+10
2.5000e-01   -1.0390e-11   -2.4062e+10
3.0000e-01   3.5000e-12   8.5714e+10
3.5000e-01   7.9000e-12   4.4304e+10
4.0000e-01   -6.4300e-12   -6.2208e+10
4.5000e-01   -1.0110e-11   -4.4510e+10
5.0000e-01   2.9400e-12   1.7007e+11
5.5000e-01   -1.6000e-13   -3.4375e+12
6.0000e-01   1.5710e-11   3.8192e+10
6.5000e-01   1.7270e-11   3.7638e+10
7.0000e-01   1.7620e-11   3.9728e+10
7.5000e-01   1.4230e-11   5.2706e+10
8.0000e-01   7.0500e-12   1.1348e+11
8.5000e-01   7.7900e-12   1.0911e+11
9.0000e-01   1.0000e-06   8.9998e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   9.9998e+05
1.0000e+00   1.0000e-06   9.9996e+05
9.5000e-01   1.0000e-06   9.4996e+05
9.0000e-01   1.0000e-06   8.9998e+05
8.5000e-01   1.0000e-06   8.4998e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.4999e+05
7.0000e-01   1.0000e-06   6.9999e+05
6.5000e-01   1.0000e-06   6.4999e+05
6.0000e-01   1.0000e-06   5.9999e+05
5.5000e-01   1.0000e-06   5.4999e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.4999e+05
4.0000e-01   1.0000e-06   3.9999e+05
3.5000e-01   1.0000e-06   3.4999e+05
3.0000e-01   1.0000e-06   2.9999e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   1.0000e-06   2.0000e+05
1.5000e-01   9.3296e-07   1.6078e+05
1.0000e-01   6.0970e-07   1.6402e+05
5.0000e-02   3.0906e-07   1.6178e+05
0.0000e+00   -2.8000e-13   -0.0000e+00
0.0000e+00   1.3610e-11   0.0000e+00
-5.0000e-02   7.6700e-12   -6.5189e+09
-1.0000e-01   6.9200e-12   -1.4451e+10
-1.5000e-01   -1.0170e-11   1.4749e+10
-2.0000e-01   -1.5990e-11   1.2508e+10
-2.5000e-01   -1.1810e-11   2.1169e+10
-3.0000e-01   -7.2100e-12   4.1609e+10
-3.5000e-01   -1.2530e-11   2.7933e+10
-4.0000e-01   -1.3520e-11   2.9586e+10
-4.5000e-01   -2.9700e-12   1.5152e+11
-5.0000e-01   1.5700e-12   -3.1847e+11
-5.5000e-01   -1.3100e-12   4.1985e+11
-6.0000e-01   4.8800e-12   -1.2295e+11
-6.5000e-01   -8.8000e-13   7.3864e+11
-7.0000e-01   -6.9900e-12   1.0014e+11
-7.5000e-01   -5.3200e-12   1.4098e+11
-8.0000e-01   -1.0000e-06   8.0000e+05
-8.5000e-01   -1.0000e-06   8.5000e+05
-9.0000e-01   -1.0000e-06   9.0000e+05
-9.5000e-01   -1.0000e-06   9.5000e+05
-1.0000e+00   -9.9998e-07   1.0000e+06
-1.0000e+00   -9.9998e-07   1.0000e+06
-9.5000e-01   -9.9998e-07   9.5002e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-8.5000e-01   -1.0000e-06   8.5000e+05
-8.0000e-01   -1.0000e-06   8.0000e+05
-7.5000e-01   -1.0000e-06   7.5000e+05
-7.0000e-01   -9.9998e-07   7.0001e+05
-6.5000e-01   -1.0000e-06   6.5000e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -1.0000e-06   5.5000e+05
-5.0000e-01   -9.9998e-07   5.0001e+05
-4.5000e-01   -1.0000e-06   4.5000e+05
-4.0000e-01   -1.0000e-06   4.0000e+05
-3.5000e-01   -9.9998e-07   3.5001e+05
-3.0000e-01   -1.0000e-06   3.0000e+05
-2.5000e-01   -9.9998e-07   2.5001e+05
-2.0000e-01   -8.2590e-07   2.4216e+05
-1.5000e-01   -6.3394e-07   2.3662e+05
-1.0000e-01   -4.0002e-07   2.4999e+05
-5.0000e-02   -1.8950e-07   2.6385e+05
0.0000e+00   1.2686e-09   0.0000e+00
