  Measurement Number     Measurement type
                  76                DC IV

      Measurement ID             SeriesID
       739912.728073                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.2000e-13   -0.0000e+00
5.0000e-02   -1.0960e-11   -4.5620e+09
1.0000e-01   -6.2700e-12   -1.5949e+10
1.5000e-01   -6.0600e-12   -2.4752e+10
2.0000e-01   8.7300e-12   2.2910e+10
2.5000e-01   6.4500e-12   3.8760e+10
3.0000e-01   -8.6700e-12   -3.4602e+10
3.5000e-01   -6.1200e-12   -5.7190e+10
4.0000e-01   -8.5800e-12   -4.6620e+10
4.5000e-01   -1.6000e-12   -2.8125e+11
5.0000e-01   5.9600e-12   8.3893e+10
5.5000e-01   5.8500e-12   9.4017e+10
6.0000e-01   3.2300e-12   1.8576e+11
6.5000e-01   -5.2500e-12   -1.2381e+11
7.0000e-01   4.4100e-12   1.5873e+11
7.5000e-01   4.8000e-12   1.5625e+11
8.0000e-01   -6.1300e-12   -1.3051e+11
8.5000e-01   -4.0000e-12   -2.1250e+11
9.0000e-01   -4.2100e-12   -2.1378e+11
9.5000e-01   1.0690e-11   8.8868e+10
1.0000e+00   6.5600e-12   1.5244e+11
1.0500e+00   1.4410e-11   7.2866e+10
1.1000e+00   9.4300e-12   1.1665e+11
1.1500e+00   -2.9200e-12   -3.9384e+11
1.2000e+00   8.5700e-12   1.4002e+11
1.2500e+00   1.1130e-11   1.1231e+11
1.3000e+00   1.5740e-11   8.2592e+10
1.3500e+00   1.7340e-11   7.7855e+10
1.4000e+00   9.5800e-12   1.4614e+11
1.4500e+00   3.6900e-12   3.9295e+11
1.5000e+00   4.7500e-12   3.1579e+11
1.5500e+00   2.3738e-10   6.5296e+09
1.6000e+00   4.0250e-10   3.9752e+09
1.6500e+00   9.2260e-10   1.7884e+09
1.7000e+00   1.6513e-09   1.0295e+09
1.7500e+00   3.2864e-09   5.3250e+08
1.8000e+00   2.2784e-09   7.9003e+08
1.8500e+00   5.8284e-09   3.1741e+08
1.9000e+00   5.6030e-09   3.3910e+08
1.9500e+00   6.5241e-09   2.9889e+08
2.0000e+00   2.0878e-08   9.5796e+07
2.0000e+00   2.4127e-08   8.2895e+07
1.9500e+00   2.3688e-08   8.2320e+07
1.9000e+00   2.3435e-08   8.1076e+07
1.8500e+00   3.6844e-07   5.0212e+06
1.8000e+00   3.3934e-07   5.3044e+06
1.7500e+00   6.1248e-07   2.8572e+06
1.7000e+00   4.1584e-07   4.0881e+06
