  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739912.733165                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   -2.7800e-12   -0.0000e+00
5.0000e-02   -5.6000e-13   -8.9286e+10
1.0000e-01   -4.1800e-12   -2.3923e+10
1.5000e-01   4.1900e-12   3.5800e+10
2.0000e-01   3.0000e-14   6.6667e+12
2.5000e-01   -4.3800e-12   -5.7078e+10
3.0000e-01   7.7700e-12   3.8610e+10
3.5000e-01   8.8800e-12   3.9414e+10
4.0000e-01   8.4400e-12   4.7393e+10
4.5000e-01   -6.4600e-12   -6.9659e+10
5.0000e-01   1.2000e-12   4.1667e+11
5.5000e-01   7.8300e-12   7.0243e+10
6.0000e-01   4.4700e-12   1.3423e+11
6.5000e-01   9.5500e-12   6.8063e+10
7.0000e-01   -3.1700e-12   -2.2082e+11
7.5000e-01   1.7600e-12   4.2614e+11
8.0000e-01   1.4700e-12   5.4422e+11
8.5000e-01   -3.7700e-12   -2.2546e+11
9.0000e-01   1.1300e-12   7.9646e+11
9.5000e-01   -2.1500e-12   -4.4186e+11
1.0000e+00   9.6500e-12   1.0363e+11
1.0500e+00   3.4300e-12   3.0612e+11
1.1000e+00   -4.7400e-12   -2.3207e+11
1.1500e+00   5.3300e-12   2.1576e+11
1.2000e+00   3.9800e-12   3.0151e+11
1.2500e+00   9.2700e-12   1.3484e+11
1.3000e+00   2.4500e-12   5.3061e+11
1.3500e+00   4.3000e-12   3.1395e+11
1.4000e+00   1.5000e-11   9.3333e+10
1.4500e+00   -3.2000e-13   -4.5313e+12
1.5000e+00   7.1400e-12   2.1008e+11
1.5500e+00   1.6200e-12   9.5679e+11
1.6000e+00   2.7200e-12   5.8824e+11
1.6500e+00   8.4300e-12   1.9573e+11
1.7000e+00   7.5000e-12   2.2667e+11
1.7500e+00   7.9500e-12   2.2013e+11
1.8000e+00   1.9600e-12   9.1837e+11
1.8500e+00   -2.3400e-12   -7.9060e+11
1.9000e+00   4.7800e-12   3.9749e+11
1.9500e+00   4.2700e-12   4.5667e+11
2.0000e+00   8.4000e-12   2.3810e+11
2.0500e+00   3.0000e-14   6.8333e+13
2.1000e+00   5.9200e-12   3.5473e+11
2.1500e+00   1.3290e-11   1.6178e+11
2.2000e+00   1.0650e-11   2.0657e+11
2.2500e+00   8.2000e-12   2.7439e+11
2.3000e+00   3.7600e-12   6.1170e+11
2.3500e+00   8.3500e-12   2.8144e+11
2.4000e+00   1.6490e-11   1.4554e+11
2.4500e+00   1.0200e-11   2.4020e+11
2.5000e+00   4.3200e-12   5.7870e+11
2.5500e+00   9.0500e-12   2.8177e+11
2.6000e+00   1.5760e-11   1.6497e+11
2.6500e+00   1.2610e-11   2.1015e+11
2.7000e+00   6.2700e-12   4.3062e+11
2.7500e+00   1.2000e-11   2.2917e+11
2.8000e+00   1.7750e-11   1.5775e+11
2.8500e+00   2.6660e-11   1.0690e+11
2.9000e+00   2.7140e-11   1.0685e+11
2.9500e+00   2.4210e-11   1.2185e+11
3.0000e+00   3.3400e-11   8.9820e+10
3.0000e+00   4.9570e-11   6.0520e+10
2.9500e+00   3.8670e-11   7.6287e+10
2.9000e+00   2.0200e-11   1.4356e+11
2.8500e+00   2.2190e-11   1.2844e+11
2.8000e+00   1.9110e-11   1.4652e+11
2.7500e+00   2.0780e-11   1.3234e+11
2.7000e+00   1.1800e-11   2.2881e+11
2.6500e+00   1.3410e-11   1.9761e+11
2.6000e+00   2.1870e-11   1.1888e+11
2.5500e+00   1.4880e-11   1.7137e+11
2.5000e+00   1.0480e-11   2.3855e+11
2.4500e+00   -6.1000e-13   -4.0164e+12
2.4000e+00   4.7800e-12   5.0209e+11
2.3500e+00   9.9700e-12   2.3571e+11
2.3000e+00   2.8400e-12   8.0986e+11
2.2500e+00   8.8600e-12   2.5395e+11
2.2000e+00   -4.2000e-13   -5.2381e+12
2.1500e+00   1.5200e-12   1.4145e+12
2.1000e+00   7.1300e-12   2.9453e+11
2.0500e+00   3.9900e-12   5.1378e+11
2.0000e+00   2.8800e-12   6.9444e+11
1.9500e+00   -5.8900e-12   -3.3107e+11
1.9000e+00   -1.6800e-12   -1.1310e+12
1.8500e+00   1.6000e-13   1.1562e+13
1.8000e+00   -4.7000e-12   -3.8298e+11
1.7500e+00   -8.0000e-14   -2.1875e+13
1.7000e+00   -4.8100e-12   -3.5343e+11
1.6500e+00   -1.7100e-12   -9.6491e+11
1.6000e+00   -4.0200e-12   -3.9801e+11
1.5500e+00   -7.9800e-12   -1.9424e+11
1.5000e+00   -2.2300e-12   -6.7265e+11
1.4500e+00   1.7900e-12   8.1006e+11
1.4000e+00   5.2100e-12   2.6871e+11
1.3500e+00   1.7400e-12   7.7586e+11
1.3000e+00   -4.8900e-12   -2.6585e+11
1.2500e+00   -5.2200e-12   -2.3946e+11
1.2000e+00   -6.9100e-12   -1.7366e+11
1.1500e+00   2.4500e-12   4.6939e+11
1.1000e+00   -1.3300e-12   -8.2707e+11
1.0500e+00   -1.0150e-11   -1.0345e+11
1.0000e+00   -6.4900e-12   -1.5408e+11
9.5000e-01   -2.8200e-12   -3.3688e+11
9.0000e-01   5.8700e-12   1.5332e+11
8.5000e-01   -2.6400e-12   -3.2197e+11
8.0000e-01   -1.0430e-11   -7.6702e+10
7.5000e-01   -5.6500e-12   -1.3274e+11
7.0000e-01   -1.1800e-12   -5.9322e+11
6.5000e-01   5.1200e-12   1.2695e+11
6.0000e-01   5.4000e-13   1.1111e+12
5.5000e-01   -8.0400e-12   -6.8408e+10
5.0000e-01   -6.9800e-12   -7.1633e+10
4.5000e-01   2.6000e-13   1.7308e+12
4.0000e-01   4.4700e-12   8.9485e+10
3.5000e-01   -1.7800e-12   -1.9663e+11
3.0000e-01   8.0000e-14   3.7500e+12
2.5000e-01   2.8100e-12   8.8968e+10
2.0000e-01   5.2000e-13   3.8462e+11
1.5000e-01   5.3100e-12   2.8249e+10
1.0000e-01   -5.7300e-12   -1.7452e+10
5.0000e-02   -4.2800e-12   -1.1682e+10
0.0000e+00   5.9300e-12   0.0000e+00
0.0000e+00   -3.2100e-12   -0.0000e+00
-5.0000e-02   5.1400e-12   -9.7276e+09
-1.0000e-01   -1.2100e-12   8.2645e+10
-1.5000e-01   -3.6900e-12   4.0650e+10
-2.0000e-01   -8.7300e-12   2.2910e+10
-2.5000e-01   3.5300e-12   -7.0822e+10
-3.0000e-01   -2.9100e-12   1.0309e+11
-3.5000e-01   -2.2200e-12   1.5766e+11
-4.0000e-01   1.1150e-11   -3.5874e+10
-4.5000e-01   2.0200e-12   -2.2277e+11
-5.0000e-01   7.9000e-13   -6.3291e+11
-5.5000e-01   -4.5000e-12   1.2222e+11
-6.0000e-01   -7.3200e-12   8.1967e+10
-6.5000e-01   -2.6000e-12   2.5000e+11
-7.0000e-01   1.9500e-12   -3.5897e+11
-7.5000e-01   1.6500e-12   -4.5455e+11
-8.0000e-01   -6.3200e-12   1.2658e+11
-8.5000e-01   -2.1700e-12   3.9171e+11
-9.0000e-01   -5.7700e-12   1.5598e+11
-9.5000e-01   -1.8100e-12   5.2486e+11
-1.0000e+00   6.0700e-12   -1.6474e+11
-1.0000e+00   -3.6000e-12   2.7778e+11
-9.5000e-01   -6.3300e-12   1.5008e+11
-9.0000e-01   -3.3400e-12   2.6946e+11
-8.5000e-01   1.0140e-11   -8.3826e+10
-8.0000e-01   -8.9000e-13   8.9888e+11
-7.5000e-01   -3.2200e-12   2.3292e+11
-7.0000e-01   -1.5000e-12   4.6667e+11
-6.5000e-01   1.6900e-12   -3.8462e+11
-6.0000e-01   3.8000e-12   -1.5789e+11
-5.5000e-01   -2.1900e-12   2.5114e+11
-5.0000e-01   -8.1900e-12   6.1050e+10
-4.5000e-01   -4.0000e-14   1.1250e+13
-4.0000e-01   -1.5500e-12   2.5806e+11
-3.5000e-01   8.2500e-12   -4.2424e+10
-3.0000e-01   -2.8000e-12   1.0714e+11
-2.5000e-01   -8.7300e-12   2.8637e+10
-2.0000e-01   -5.1900e-12   3.8536e+10
-1.5000e-01   -4.8500e-12   3.0928e+10
-1.0000e-01   4.5900e-12   -2.1786e+10
-5.0000e-02   -9.5000e-13   5.2632e+10
0.0000e+00   -8.6000e-12   -0.0000e+00
