  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739912.820097                   49

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.3640e-11   0.0000e+00
5.0000e-02   4.5100e-12   1.1086e+10
1.0000e-01   -3.4700e-12   -2.8818e+10
1.5000e-01   7.5600e-12   1.9841e+10
2.0000e-01   -1.0280e-11   -1.9455e+10
2.5000e-01   1.3430e-11   1.8615e+10
3.0000e-01   1.2980e-11   2.3112e+10
3.5000e-01   -4.4500e-12   -7.8652e+10
4.0000e-01   2.0830e-11   1.9203e+10
4.5000e-01   1.5260e-11   2.9489e+10
5.0000e-01   1.0210e-11   4.8972e+10
5.5000e-01   -4.1600e-12   -1.3221e+11
6.0000e-01   -4.9100e-12   -1.2220e+11
6.5000e-01   1.5070e-11   4.3132e+10
7.0000e-01   1.7980e-11   3.8932e+10
7.5000e-01   -4.2500e-12   -1.7647e+11
8.0000e-01   2.3970e-11   3.3375e+10
8.5000e-01   2.1550e-11   3.9443e+10
9.0000e-01   2.8830e-11   3.1217e+10
9.5000e-01   2.8010e-11   3.3916e+10
1.0000e+00   1.7800e-11   5.6180e+10
1.0500e+00   2.0930e-11   5.0167e+10
1.1000e+00   2.7990e-11   3.9300e+10
1.1500e+00   3.2420e-11   3.5472e+10
1.2000e+00   3.8286e-07   3.1343e+06
1.2500e+00   3.6118e-07   3.4609e+06
1.3000e+00   3.6182e-07   3.5929e+06
1.3500e+00   8.4858e-07   1.5909e+06
1.4000e+00   9.9992e-07   1.4001e+06
1.4500e+00   9.9986e-07   1.4502e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   9.9994e-07   1.5501e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   9.9998e-07   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
