  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739912.819270                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   5.2800e-12   0.0000e+00
5.0000e-02   8.4100e-12   5.9453e+09
1.0000e-01   -6.1000e-13   -1.6393e+11
1.5000e-01   1.6990e-11   8.8287e+09
2.0000e-01   7.2300e-12   2.7663e+10
2.5000e-01   -2.5200e-12   -9.9206e+10
3.0000e-01   -9.5200e-12   -3.1513e+10
3.5000e-01   -1.1600e-12   -3.0172e+11
4.0000e-01   1.8010e-11   2.2210e+10
4.5000e-01   3.0700e-12   1.4658e+11
5.0000e-01   5.2200e-12   9.5785e+10
5.5000e-01   6.8500e-12   8.0292e+10
6.0000e-01   2.6100e-12   2.2989e+11
6.5000e-01   1.5580e-11   4.1720e+10
7.0000e-01   5.2000e-12   1.3462e+11
7.5000e-01   1.8600e-12   4.0323e+11
8.0000e-01   1.0960e-11   7.2993e+10
8.5000e-01   3.0300e-12   2.8053e+11
9.0000e-01   1.6740e-11   5.3763e+10
9.5000e-01   1.9180e-11   4.9531e+10
1.0000e+00   1.5320e-11   6.5274e+10
1.0500e+00   1.1580e-11   9.0674e+10
1.1000e+00   2.1987e-10   5.0030e+09
1.1500e+00   1.1195e-09   1.0272e+09
1.2000e+00   1.9575e-08   6.1301e+07
1.2500e+00   2.4612e-08   5.0788e+07
1.3000e+00   2.8576e-08   4.5493e+07
1.3500e+00   1.0359e-08   1.3032e+08
1.4000e+00   1.0719e-08   1.3060e+08
1.4500e+00   1.8427e-08   7.8688e+07
1.5000e+00   4.9684e-10   3.0191e+09
1.5500e+00   4.6736e-09   3.3165e+08
1.6000e+00   7.7494e-09   2.0647e+08
1.6500e+00   1.1975e-08   1.3779e+08
1.7000e+00   2.9467e-08   5.7691e+07
1.7500e+00   2.7677e-08   6.3229e+07
1.8000e+00   2.7271e-08   6.6004e+07
1.8500e+00   2.7375e-08   6.7581e+07
1.9000e+00   2.1670e-08   8.7677e+07
1.9500e+00   2.8536e-09   6.8335e+08
2.0000e+00   2.8000e-09   7.1429e+08
2.0000e+00   1.5406e-09   1.2982e+09
1.9500e+00   1.1806e-09   1.6517e+09
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
