  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739912.833314                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   -1.7900e-12   -0.0000e+00
5.0000e-02   4.2000e-13   1.1905e+11
1.0000e-01   1.4340e-11   6.9735e+09
1.5000e-01   9.9400e-12   1.5091e+10
2.0000e-01   9.6200e-12   2.0790e+10
2.5000e-01   9.1000e-13   2.7473e+11
3.0000e-01   1.0700e-12   2.8037e+11
3.5000e-01   1.1670e-11   2.9991e+10
4.0000e-01   1.1550e-11   3.4632e+10
4.5000e-01   6.1900e-12   7.2698e+10
5.0000e-01   -1.9100e-12   -2.6178e+11
5.5000e-01   2.3100e-12   2.3810e+11
6.0000e-01   8.1400e-12   7.3710e+10
6.5000e-01   5.3500e-12   1.2150e+11
7.0000e-01   1.6500e-12   4.2424e+11
7.5000e-01   3.3000e-13   2.2727e+12
8.0000e-01   7.0800e-12   1.1299e+11
8.5000e-01   1.0100e-11   8.4158e+10
9.0000e-01   -1.3400e-12   -6.7164e+11
9.5000e-01   1.0800e-12   8.7963e+11
1.0000e+00   5.7700e-12   1.7331e+11
1.0500e+00   1.2740e-11   8.2418e+10
1.1000e+00   8.0800e-12   1.3614e+11
1.1500e+00   3.0000e-14   3.8333e+13
1.2000e+00   7.6000e-13   1.5789e+12
1.2500e+00   1.9700e-12   6.3452e+11
1.3000e+00   2.0470e-11   6.3508e+10
1.3500e+00   1.6400e-11   8.2317e+10
1.4000e+00   2.8400e-12   4.9296e+11
1.4500e+00   6.6500e-12   2.1805e+11
1.5000e+00   6.8100e-12   2.2026e+11
1.5500e+00   2.5450e-11   6.0904e+10
1.6000e+00   2.4210e-11   6.6088e+10
1.6500e+00   2.0640e-11   7.9942e+10
1.7000e+00   2.5940e-11   6.5536e+10
1.7500e+00   2.6040e-11   6.7204e+10
1.8000e+00   4.3730e-11   4.1162e+10
1.8500e+00   4.2540e-11   4.3488e+10
1.9000e+00   4.7330e-11   4.0144e+10
1.9500e+00   5.6100e-11   3.4759e+10
2.0000e+00   6.0300e-11   3.3167e+10
2.0500e+00   7.9000e-11   2.5949e+10
2.1000e+00   7.2100e-11   2.9126e+10
2.1500e+00   8.7330e-11   2.4619e+10
2.2000e+00   1.0788e-10   2.0393e+10
2.2500e+00   1.2233e-10   1.8393e+10
2.3000e+00   1.5419e-10   1.4917e+10
2.3500e+00   2.3915e-10   9.8265e+09
2.4000e+00   4.9611e-10   4.8376e+09
2.4500e+00   1.1151e-09   2.1971e+09
2.5000e+00   1.7981e-09   1.3904e+09
2.5500e+00   4.8189e-09   5.2917e+08
2.6000e+00   4.1915e-09   6.2030e+08
2.6500e+00   6.7172e-09   3.9451e+08
2.7000e+00   9.1370e-09   2.9550e+08
2.7500e+00   9.6545e-09   2.8484e+08
2.8000e+00   1.3424e-08   2.0858e+08
2.8500e+00   1.6567e-08   1.7202e+08
2.9000e+00   1.9486e-08   1.4883e+08
2.9500e+00   2.2856e-08   1.2907e+08
3.0000e+00   3.3245e-08   9.0238e+07
3.0000e+00   5.1517e-08   5.8233e+07
2.9500e+00   5.2124e-08   5.6596e+07
2.9000e+00   3.0909e-08   9.3823e+07
2.8500e+00   3.7927e-08   7.5145e+07
2.8000e+00   2.6037e-08   1.0754e+08
2.7500e+00   3.6652e-08   7.5030e+07
2.7000e+00   1.0194e-07   2.6486e+07
2.6500e+00   1.1132e-07   2.3805e+07
2.6000e+00   1.2370e-07   2.1019e+07
2.5500e+00   1.0170e-07   2.5074e+07
2.5000e+00   1.1790e-07   2.1204e+07
2.4500e+00   5.6275e-08   4.3536e+07
2.4000e+00   4.0427e-08   5.9366e+07
2.3500e+00   6.9154e-08   3.3982e+07
2.3000e+00   5.3505e-08   4.2987e+07
2.2500e+00   3.9351e-08   5.7178e+07
2.2000e+00   2.9740e-08   7.3973e+07
2.1500e+00   4.6296e-08   4.6440e+07
2.1000e+00   3.4113e-08   6.1560e+07
2.0500e+00   2.5426e-08   8.0626e+07
2.0000e+00   2.4911e-08   8.0286e+07
1.9500e+00   1.7117e-08   1.1392e+08
1.9000e+00   2.1350e-08   8.8991e+07
1.8500e+00   1.9948e-08   9.2742e+07
1.8000e+00   1.3651e-08   1.3186e+08
1.7500e+00   1.2948e-08   1.3516e+08
1.7000e+00   1.1632e-08   1.4615e+08
1.6500e+00   1.1752e-08   1.4040e+08
1.6000e+00   1.3651e-08   1.1721e+08
1.5500e+00   8.6126e-09   1.7997e+08
1.5000e+00   7.7266e-09   1.9413e+08
1.4500e+00   5.5650e-09   2.6056e+08
1.4000e+00   6.1827e-09   2.2644e+08
1.3500e+00   5.2972e-09   2.5485e+08
1.3000e+00   2.7980e-09   4.6462e+08
1.2500e+00   3.1011e-09   4.0308e+08
1.2000e+00   5.1881e-09   2.3130e+08
1.1500e+00   1.2058e-09   9.5372e+08
1.1000e+00   1.2638e-08   8.7036e+07
1.0500e+00   5.9299e-10   1.7707e+09
1.0000e+00   1.5940e-11   6.2735e+10
9.5000e-01   3.1460e-11   3.0197e+10
9.0000e-01   -9.3800e-12   -9.5949e+10
8.5000e-01   -1.4430e-11   -5.8905e+10
8.0000e-01   -1.2700e-11   -6.2992e+10
7.5000e-01   3.4000e-13   2.2059e+12
7.0000e-01   -6.2100e-12   -1.1272e+11
6.5000e-01   -1.7020e-11   -3.8190e+10
6.0000e-01   -5.4400e-12   -1.1029e+11
5.5000e-01   -1.2180e-11   -4.5156e+10
5.0000e-01   -5.3400e-12   -9.3633e+10
4.5000e-01   -7.3000e-13   -6.1644e+11
4.0000e-01   2.4100e-12   1.6598e+11
3.5000e-01   2.8900e-12   1.2111e+11
3.0000e-01   -7.7900e-12   -3.8511e+10
2.5000e-01   -1.3400e-11   -1.8657e+10
2.0000e-01   -1.4070e-11   -1.4215e+10
1.5000e-01   -1.6500e-11   -9.0909e+09
1.0000e-01   -4.6900e-12   -2.1322e+10
5.0000e-02   -7.3000e-13   -6.8493e+10
0.0000e+00   -1.6210e-11   -0.0000e+00
0.0000e+00   -1.7270e-11   -0.0000e+00
-5.0000e-02   -1.2490e-11   4.0032e+09
-1.0000e-01   -1.4060e-11   7.1124e+09
-1.5000e-01   -5.3000e-13   2.8302e+11
-2.0000e-01   -4.6400e-12   4.3103e+10
-2.5000e-01   -1.5180e-11   1.6469e+10
-3.0000e-01   -8.5800e-12   3.4965e+10
-3.5000e-01   -1.6610e-11   2.1072e+10
-4.0000e-01   -4.6200e-12   8.6580e+10
-4.5000e-01   -9.3900e-12   4.7923e+10
-5.0000e-01   -2.0790e-11   2.4050e+10
-5.5000e-01   -1.7660e-11   3.1144e+10
-6.0000e-01   -1.7240e-11   3.4803e+10
-6.5000e-01   -3.7300e-12   1.7426e+11
-7.0000e-01   -7.8300e-12   8.9400e+10
-7.5000e-01   -2.3060e-11   3.2524e+10
-8.0000e-01   -1.9460e-11   4.1110e+10
-8.5000e-01   -1.7990e-11   4.7248e+10
-9.0000e-01   -9.4800e-12   9.4937e+10
-9.5000e-01   -1.2520e-11   7.5879e+10
-1.0000e+00   -2.6790e-11   3.7327e+10
-1.0000e+00   -2.3510e-11   4.2535e+10
-9.5000e-01   -3.2600e-12   2.9141e+11
-9.0000e-01   -1.9000e-12   4.7368e+11
-8.5000e-01   -1.8560e-11   4.5797e+10
-8.0000e-01   -9.9600e-12   8.0321e+10
-7.5000e-01   -8.5600e-12   8.7617e+10
-7.0000e-01   3.4300e-12   -2.0408e+11
-6.5000e-01   -2.0000e-14   3.2500e+13
-6.0000e-01   -1.0590e-11   5.6657e+10
-5.5000e-01   -2.2000e-13   2.5000e+12
-5.0000e-01   -7.1600e-12   6.9832e+10
-4.5000e-01   4.1800e-12   -1.0766e+11
-4.0000e-01   1.8100e-12   -2.2099e+11
-3.5000e-01   -7.9100e-12   4.4248e+10
-3.0000e-01   -4.1000e-13   7.3171e+11
-2.5000e-01   -3.1800e-12   7.8616e+10
-2.0000e-01   7.2000e-12   -2.7778e+10
-1.5000e-01   6.4800e-12   -2.3148e+10
-1.0000e-01   -7.2500e-12   1.3793e+10
-5.0000e-02   -5.5500e-12   9.0090e+09
0.0000e+00   -1.5200e-12   -0.0000e+00
