  Measurement Number     Measurement type
                  19                DC IV

      Measurement ID             SeriesID
       739912.829801                   92

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.5200e-11   0.0000e+00
5.0000e-02   1.3340e-11   3.7481e+09
1.0000e-01   -4.6700e-12   -2.1413e+10
1.5000e-01   3.7700e-12   3.9788e+10
2.0000e-01   1.4270e-11   1.4015e+10
2.5000e-01   -6.9700e-12   -3.5868e+10
3.0000e-01   7.3500e-12   4.0816e+10
3.5000e-01   5.3500e-12   6.5421e+10
4.0000e-01   -7.7000e-13   -5.1948e+11
4.5000e-01   -4.5300e-12   -9.9338e+10
5.0000e-01   0.0000e+00   Inf
5.5000e-01   9.6200e-12   5.7173e+10
6.0000e-01   1.0540e-11   5.6926e+10
6.5000e-01   9.2500e-12   7.0270e+10
7.0000e-01   4.3181e-10   1.6211e+09
7.5000e-01   7.5466e-10   9.9383e+08
8.0000e-01   8.3360e-10   9.5969e+08
8.5000e-01   1.6942e-09   5.0171e+08
9.0000e-01   3.2813e-09   2.7428e+08
9.5000e-01   3.3533e-09   2.8330e+08
1.0000e+00   4.7161e-09   2.1204e+08
1.0500e+00   2.8837e-09   3.6412e+08
1.1000e+00   5.9718e-09   1.8420e+08
1.1500e+00   3.4747e-09   3.3096e+08
1.2000e+00   3.1371e-09   3.8252e+08
1.2500e+00   5.7483e-09   2.1746e+08
1.3000e+00   8.4111e-09   1.5456e+08
1.3500e+00   9.1974e-09   1.4678e+08
1.4000e+00   9.3738e-09   1.4935e+08
1.4500e+00   1.0776e-08   1.3456e+08
1.5000e+00   1.1141e-08   1.3464e+08
1.5500e+00   2.5417e-08   6.0982e+07
1.6000e+00   3.1529e-08   5.0748e+07
1.6500e+00   3.0404e-08   5.4270e+07
1.7000e+00   2.5102e-08   6.7724e+07
1.7500e+00   5.3528e-08   3.2693e+07
1.8000e+00   3.8543e-08   4.6701e+07
1.8500e+00   5.2649e-08   3.5139e+07
1.9000e+00   7.1203e-08   2.6684e+07
1.9500e+00   6.5170e-08   2.9922e+07
2.0000e+00   8.6833e-08   2.3033e+07
2.0000e+00   2.7596e-07   7.2474e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
