  Measurement Number     Measurement type
                  22                DC IV

      Measurement ID             SeriesID
       739912.823059                   15

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   9.2800e-12   0.0000e+00
5.0000e-02   9.6600e-12   5.1760e+09
1.0000e-01   -1.9200e-12   -5.2083e+10
1.5000e-01   -7.9200e-12   -1.8939e+10
2.0000e-01   -8.0600e-12   -2.4814e+10
2.5000e-01   -1.8700e-12   -1.3369e+11
3.0000e-01   9.3100e-12   3.2223e+10
3.5000e-01   5.6100e-12   6.2389e+10
4.0000e-01   -9.4000e-12   -4.2553e+10
4.5000e-01   -6.6200e-12   -6.7976e+10
5.0000e-01   -1.6500e-12   -3.0303e+11
5.5000e-01   7.7300e-12   7.1151e+10
6.0000e-01   7.3600e-12   8.1522e+10
6.5000e-01   -9.5400e-12   -6.8134e+10
7.0000e-01   -9.3000e-13   -7.5269e+11
7.5000e-01   -1.4200e-12   -5.2817e+11
8.0000e-01   1.3940e-11   5.7389e+10
8.5000e-01   1.2010e-11   7.0774e+10
9.0000e-01   -1.2200e-12   -7.3770e+11
9.5000e-01   2.9500e-12   3.2203e+11
1.0000e+00   8.0710e-10   1.2390e+09
1.0500e+00   3.5615e-10   2.9482e+09
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   9.9998e-07   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0000e-06   1.3000e+06
1.3500e+00   1.0000e-06   1.3499e+06
1.4000e+00   9.9998e-07   1.4000e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   9.9998e-07   1.5000e+06
1.5500e+00   1.0000e-06   1.5500e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.9000e+00   9.9998e-07   1.9000e+06
1.9500e+00   9.9998e-07   1.9500e+06
2.0000e+00   1.0001e-06   1.9999e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.6999e+06
