  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739912.821700                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -7.2100e-12   -0.0000e+00
5.0000e-02   4.7700e-12   1.0482e+10
1.0000e-01   5.9400e-12   1.6835e+10
1.5000e-01   -3.7100e-12   -4.0431e+10
2.0000e-01   -4.4600e-12   -4.4843e+10
2.5000e-01   -4.7900e-12   -5.2192e+10
3.0000e-01   4.2600e-12   7.0423e+10
3.5000e-01   8.0600e-12   4.3424e+10
4.0000e-01   1.7570e-11   2.2766e+10
4.5000e-01   8.7700e-12   5.1311e+10
5.0000e-01   -1.8500e-12   -2.7027e+11
5.5000e-01   1.1280e-11   4.8759e+10
6.0000e-01   1.7780e-11   3.3746e+10
6.5000e-01   2.7900e-12   2.3297e+11
7.0000e-01   5.7100e-12   1.2259e+11
7.5000e-01   5.0300e-12   1.4911e+11
8.0000e-01   1.3050e-11   6.1303e+10
8.5000e-01   1.6170e-11   5.2566e+10
9.0000e-01   7.3600e-12   1.2228e+11
9.5000e-01   2.1810e-11   4.3558e+10
1.0000e+00   2.3390e-11   4.2753e+10
1.0500e+00   9.6900e-12   1.0836e+11
1.1000e+00   5.3800e-09   2.0446e+08
1.1500e+00   9.9986e-07   1.1502e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   9.9998e-07   1.3000e+06
1.3500e+00   9.9994e-07   1.3501e+06
1.4000e+00   9.9998e-07   1.4000e+06
1.4500e+00   1.0001e-06   1.4499e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   1.0001e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   9.9998e-07   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
