  Measurement Number     Measurement type
                 126                DC IV

      Measurement ID             SeriesID
       739913.620521                   10

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.3210e-11   0.0000e+00
5.0000e-02   -4.8200e-12   -1.0373e+10
1.0000e-01   2.0300e-12   4.9261e+10
1.5000e-01   9.7500e-12   1.5385e+10
2.0000e-01   6.7500e-12   2.9630e+10
2.5000e-01   1.3520e-11   1.8491e+10
3.0000e-01   -5.2900e-12   -5.6711e+10
3.5000e-01   1.2110e-11   2.8902e+10
4.0000e-01   1.6910e-11   2.3655e+10
4.5000e-01   1.1690e-11   3.8494e+10
5.0000e-01   1.7310e-11   2.8885e+10
5.5000e-01   1.8830e-11   2.9209e+10
6.0000e-01   3.6960e-11   1.6234e+10
6.5000e-01   2.4150e-11   2.6915e+10
7.0000e-01   2.6890e-11   2.6032e+10
7.5000e-01   1.1384e-07   6.5882e+06
8.0000e-01   1.3116e-07   6.0994e+06
8.5000e-01   1.4734e-07   5.7690e+06
9.0000e-01   3.3102e-07   2.7189e+06
9.5000e-01   2.2726e-07   4.1802e+06
1.0000e+00   1.9604e-07   5.1010e+06
1.0000e+00   2.3288e-07   4.2941e+06
9.5000e-01   1.4878e-06   6.3853e+05
9.0000e-01   2.3587e-06   3.8157e+05
8.5000e-01   1.8592e-06   4.5719e+05
8.0000e-01   3.8796e-07   2.0621e+06
7.5000e-01   3.3376e-07   2.2471e+06
7.0000e-01   2.9282e-07   2.3905e+06
6.5000e-01   2.4252e-07   2.6802e+06
6.0000e-01   1.9158e-07   3.1319e+06
5.5000e-01   1.6918e-07   3.2510e+06
5.0000e-01   1.2744e-07   3.9234e+06
4.5000e-01   1.0804e-07   4.1650e+06
4.0000e-01   1.0922e-07   3.6624e+06
3.5000e-01   9.0725e-08   3.8578e+06
3.0000e-01   7.7620e-08   3.8650e+06
2.5000e-01   5.6777e-08   4.4032e+06
2.0000e-01   3.4214e-08   5.8455e+06
1.5000e-01   1.6017e-08   9.3652e+06
1.0000e-01   1.0600e-11   9.4340e+09
5.0000e-02   5.9100e-12   8.4602e+09
0.0000e+00   -9.2000e-13   -0.0000e+00
0.0000e+00   -6.6000e-13   -0.0000e+00
-5.0000e-02   3.0200e-12   -1.6556e+10
-1.0000e-01   -1.5500e-11   6.4516e+09
-1.5000e-01   3.3600e-12   -4.4643e+10
-2.0000e-01   1.4700e-12   -1.3605e+11
-2.5000e-01   -4.4600e-12   5.6054e+10
-3.0000e-01   -2.7000e-12   1.1111e+11
-3.5000e-01   -1.2460e-11   2.8090e+10
-4.0000e-01   2.3500e-12   -1.7021e+11
-4.5000e-01   -1.0130e-11   4.4423e+10
-5.0000e-01   -1.3900e-11   3.5971e+10
-5.5000e-01   -6.7700e-12   8.1241e+10
-6.0000e-01   -9.0500e-12   6.6298e+10
-6.5000e-01   -7.1900e-12   9.0403e+10
-7.0000e-01   -2.5940e-11   2.6985e+10
-7.5000e-01   -1.2980e-11   5.7781e+10
-8.0000e-01   -1.6310e-11   4.9050e+10
-8.5000e-01   -1.8250e-11   4.6575e+10
-9.0000e-01   -1.5230e-11   5.9094e+10
-9.5000e-01   -3.4150e-11   2.7818e+10
-1.0000e+00   -2.0150e-11   4.9628e+10
-1.0000e+00   -2.1360e-11   4.6816e+10
-9.5000e-01   -9.2500e-12   1.0270e+11
-9.0000e-01   -2.2510e-11   3.9982e+10
-8.5000e-01   -9.7500e-12   8.7179e+10
-8.0000e-01   -9.1400e-12   8.7527e+10
-7.5000e-01   -1.3850e-11   5.4152e+10
-7.0000e-01   -3.4300e-12   2.0408e+11
-6.5000e-01   -2.0050e-11   3.2419e+10
-6.0000e-01   6.7100e-12   -8.9419e+10
-5.5000e-01   -3.4200e-12   1.6082e+11
-5.0000e-01   -5.4100e-12   9.2421e+10
-4.5000e-01   -2.4000e-13   1.8750e+12
-4.0000e-01   -4.9400e-12   8.0972e+10
-3.5000e-01   1.0810e-11   -3.2377e+10
-3.0000e-01   -5.5600e-12   5.3957e+10
-2.5000e-01   -3.9200e-12   6.3776e+10
-2.0000e-01   3.4600e-12   -5.7803e+10
-1.5000e-01   4.2700e-12   -3.5129e+10
-1.0000e-01   8.3500e-12   -1.1976e+10
-5.0000e-02   -7.9600e-12   6.2814e+09
0.0000e+00   9.8500e-12   0.0000e+00
