  Measurement Number     Measurement type
                  15               OnLine

      Measurement ID                     
       739913.629849                     

          Force Mode                Value         MeasureRange
             Current                    0         1.000000e-05

    Supply Complince     Integrating time     Refresh interval
        1.000000e-05                    0                    0

        Time      Voltage      Current  Temperature
1.2426e+00   4.0000e-03   -5.0000e-14             NA
1.4281e+00   4.2500e-03   -5.0000e-14             NA
1.5661e+00   4.5000e-03   -5.0000e-14             NA
1.7048e+00   4.7500e-03   -5.0000e-14             NA
1.8533e+00   4.7500e-03   -5.0000e-14             NA
2.0133e+00   4.7500e-03   -5.0000e-14             NA
2.1652e+00   5.0000e-03   -5.0000e-14             NA
2.3139e+00   5.0000e-03   -5.0000e-14             NA
2.4697e+00   5.2500e-03   -5.0000e-14             NA
2.6145e+00   5.2500e-03   -5.0000e-14             NA
2.7755e+00   5.5000e-03   -5.0000e-14             NA
3.0539e+00   5.5000e-03   -5.0000e-14             NA
3.0933e+00   5.5000e-03   -5.0000e-14             NA
3.3934e+00   6.0000e-03   -5.0000e-14             NA
3.4899e+00   6.2500e-03   -5.0000e-14             NA
3.6874e+00   6.2500e-03   -5.0000e-14             NA
3.7213e+00   6.0000e-03   -5.0000e-14             NA
4.0061e+00   6.2500e-03   -5.0000e-14             NA
4.0902e+00   6.5000e-03   -5.0000e-14             NA
4.3104e+00   6.5000e-03   -1.0000e-13             NA
4.3910e+00   6.5000e-03   -5.0000e-14             NA
4.6184e+00   6.5000e-03   -5.0000e-14             NA
4.7882e+00   7.0000e-03   -5.0000e-14             NA
4.9591e+00   6.7500e-03   -5.0000e-14             NA
5.1280e+00   7.0000e-03   -5.0000e-14             NA
5.1887e+00   7.0000e-03   -5.0000e-14             NA
5.4517e+00   7.2500e-03   -5.0000e-14             NA
5.6425e+00   7.2500e-03   -5.0000e-14             NA
5.6905e+00   7.2500e-03   -5.0000e-14             NA
5.9747e+00   7.2500e-03   -5.0000e-14             NA
6.1552e+00   7.5000e-03   -5.0000e-14             NA
6.3391e+00   7.5000e-03   -5.0000e-14             NA
6.5119e+00   7.7500e-03   -5.0000e-14             NA
6.6824e+00   8.0000e-03   -5.0000e-14             NA
6.8660e+00   8.0000e-03   -5.0000e-14             NA
