  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739913.626676                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -2.3800e-12   -0.0000e+00
5.0000e-02   4.3700e-12   1.1442e+10
1.0000e-01   6.2000e-13   1.6129e+11
1.5000e-01   1.2910e-11   1.1619e+10
2.0000e-01   -2.8400e-12   -7.0423e+10
2.5000e-01   1.4800e-12   1.6892e+11
3.0000e-01   8.7900e-12   3.4130e+10
3.5000e-01   6.7200e-12   5.2083e+10
4.0000e-01   1.9050e-11   2.0997e+10
4.5000e-01   7.3000e-13   6.1644e+11
5.0000e-01   1.9820e-11   2.5227e+10
5.5000e-01   2.3230e-11   2.3676e+10
6.0000e-01   1.4040e-11   4.2735e+10
6.5000e-01   2.7860e-11   2.3331e+10
7.0000e-01   8.6198e-08   8.1208e+06
7.5000e-01   8.3712e-08   8.9593e+06
8.0000e-01   1.2152e-07   6.5833e+06
8.5000e-01   1.3508e-07   6.2926e+06
9.0000e-01   1.4804e-07   6.0794e+06
9.5000e-01   1.7208e-07   5.5207e+06
1.0000e+00   7.2960e-07   1.3706e+06
1.0500e+00   5.0598e-07   2.0752e+06
1.1000e+00   9.2172e-07   1.1934e+06
1.1500e+00   1.4267e-06   8.0606e+05
1.2000e+00   2.0424e-06   5.8754e+05
1.2500e+00   2.1322e-06   5.8625e+05
1.3000e+00   2.9405e-06   4.4210e+05
1.3500e+00   6.1313e-06   2.2018e+05
1.4000e+00   9.9969e-06   1.4004e+05
1.4500e+00   9.9962e-06   1.4506e+05
1.5000e+00   1.0001e-05   1.4999e+05
1.5500e+00   1.0004e-05   1.5494e+05
1.6000e+00   9.9972e-06   1.6004e+05
1.6500e+00   1.0001e-05   1.6499e+05
1.7000e+00   1.0004e-05   1.6993e+05
1.7500e+00   1.0003e-05   1.7494e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.8500e+00   1.0001e-05   1.8499e+05
1.9000e+00   1.0001e-05   1.8999e+05
1.9500e+00   1.0001e-05   1.9499e+05
2.0000e+00   1.0001e-05   1.9998e+05
2.0000e+00   9.9999e-06   2.0000e+05
1.9500e+00   9.9995e-06   1.9501e+05
1.9000e+00   9.9984e-06   1.9003e+05
1.8500e+00   1.0001e-05   1.8498e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.7500e+00   1.0001e-05   1.7499e+05
1.7000e+00   1.0001e-05   1.6999e+05
1.6500e+00   1.0000e-05   1.6499e+05
