  Measurement Number     Measurement type
                  22                DC IV

      Measurement ID             SeriesID
       739913.654949                   98

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.4000e-13   0.0000e+00
5.0000e-02   -5.4800e-12   -9.1241e+09
1.0000e-01   1.3320e-11   7.5075e+09
1.5000e-01   -6.7000e-13   -2.2388e+11
2.0000e-01   1.6700e-12   1.1976e+11
2.5000e-01   3.3200e-12   7.5301e+10
3.0000e-01   7.7000e-13   3.8961e+11
3.5000e-01   1.2420e-11   2.8180e+10
4.0000e-01   -4.0100e-12   -9.9751e+10
4.5000e-01   2.9900e-12   1.5050e+11
5.0000e-01   4.9300e-12   1.0142e+11
5.5000e-01   3.8700e-12   1.4212e+11
6.0000e-01   1.0500e-11   5.7143e+10
6.5000e-01   -5.7300e-12   -1.1344e+11
7.0000e-01   9.5332e-08   7.3428e+06
7.5000e-01   1.7566e-07   4.2696e+06
8.0000e-01   3.6996e-07   2.1624e+06
8.5000e-01   5.2688e-07   1.6133e+06
9.0000e-01   5.1836e-07   1.7362e+06
9.5000e-01   1.0000e-06   9.4998e+05
1.0000e+00   1.0000e-06   9.9998e+05
1.0500e+00   1.0000e-06   1.0500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0000e-06   1.3000e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   1.0000e-06   1.5500e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   9.9998e-07   1.8000e+06
1.8500e+00   9.9998e-07   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   9.9998e-07   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   9.9998e-07   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   9.9998e-07   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   9.9996e-07   1.6501e+06
