  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739913.649752                   16

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -4.1000e-13   -0.0000e+00
5.0000e-02   2.4800e-12   2.0161e+10
1.0000e-01   -3.5200e-12   -2.8409e+10
1.5000e-01   1.7280e-11   8.6806e+09
2.0000e-01   -2.3000e-12   -8.6957e+10
2.5000e-01   2.0000e-12   1.2500e+11
3.0000e-01   6.2400e-12   4.8077e+10
3.5000e-01   2.4500e-12   1.4286e+11
4.0000e-01   1.5570e-11   2.5690e+10
4.5000e-01   -7.0600e-12   -6.3739e+10
5.0000e-01   6.2500e-12   8.0000e+10
5.5000e-01   6.6300e-12   8.2956e+10
6.0000e-01   3.2000e-12   1.8750e+11
6.5000e-01   6.5500e-12   9.9237e+10
7.0000e-01   -2.0100e-12   -3.4826e+11
7.5000e-01   1.8420e-11   4.0717e+10
8.0000e-01   3.7200e-12   2.1505e+11
8.5000e-01   4.6900e-12   1.8124e+11
9.0000e-01   6.4700e-12   1.3910e+11
9.5000e-01   4.7000e-13   2.0213e+12
1.0000e+00   1.6500e-11   6.0606e+10
1.0500e+00   2.0630e-07   5.0897e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   9.9998e-07   1.2500e+06
1.3000e+00   1.0000e-06   1.3000e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4499e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.5500e+00   1.0001e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   9.9998e-07   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   9.9996e-07   2.0001e+06
2.0000e+00   1.0001e-06   1.9997e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0001e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   9.9996e-07   1.8001e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   9.9998e-07   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
