  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739913.639083                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.4580e-11   0.0000e+00
5.0000e-02   -2.0600e-12   -2.4272e+10
1.0000e-01   5.0000e-14   2.0000e+12
1.5000e-01   6.2000e-13   2.4194e+11
2.0000e-01   3.0000e-14   6.6667e+12
2.5000e-01   6.3400e-12   3.9432e+10
3.0000e-01   -7.1800e-12   -4.1783e+10
3.5000e-01   9.2900e-12   3.7675e+10
4.0000e-01   8.2500e-12   4.8485e+10
4.5000e-01   4.7400e-12   9.4937e+10
5.0000e-01   6.2200e-12   8.0386e+10
5.5000e-01   -1.9400e-12   -2.8351e+11
6.0000e-01   1.2800e-11   4.6875e+10
6.5000e-01   1.3000e-12   5.0000e+11
7.0000e-01   2.6900e-12   2.6022e+11
7.5000e-01   7.8200e-12   9.5908e+10
8.0000e-01   5.0360e-11   1.5886e+10
8.5000e-01   8.4760e-11   1.0028e+10
9.0000e-01   -1.7500e-12   -5.1429e+11
9.5000e-01   1.0397e-10   9.1373e+09
1.0000e+00   1.0000e-06   9.9998e+05
1.0500e+00   1.0000e-06   1.0500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0000e-06   1.3000e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   6.8000e-10   2.2794e+09
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   9.9998e-07   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
