  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739913.638471                   28

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   7.1000e-13   0.0000e+00
5.0000e-02   -1.7500e-12   -2.8571e+10
1.0000e-01   1.4570e-11   6.8634e+09
1.5000e-01   -6.9300e-12   -2.1645e+10
2.0000e-01   2.9000e-13   6.8966e+11
2.5000e-01   4.3600e-12   5.7339e+10
3.0000e-01   4.7200e-12   6.3559e+10
3.5000e-01   7.0300e-12   4.9787e+10
4.0000e-01   -9.0700e-12   -4.4101e+10
4.5000e-01   8.2100e-12   5.4811e+10
5.0000e-01   2.5200e-12   1.9841e+11
5.5000e-01   1.6300e-12   3.3742e+11
6.0000e-01   6.2100e-12   9.6618e+10
6.5000e-01   2.1000e-12   3.0952e+11
7.0000e-01   2.2320e-11   3.1362e+10
7.5000e-01   1.4600e-12   5.1370e+11
8.0000e-01   3.5500e-12   2.2535e+11
8.5000e-01   6.9500e-12   1.2230e+11
9.0000e-01   7.7400e-12   1.1628e+11
9.5000e-01   1.1030e-11   8.6129e+10
1.0000e+00   -4.5200e-12   -2.2124e+11
1.0500e+00   1.3823e-10   7.5960e+09
1.1000e+00   1.1280e-11   9.7518e+10
1.1500e+00   3.4030e-11   3.3794e+10
1.2000e+00   3.0530e-11   3.9306e+10
1.2500e+00   3.5200e-10   3.5511e+09
1.3000e+00   1.6811e-10   7.7330e+09
1.3500e+00   1.3820e-10   9.7685e+09
1.4000e+00   6.1440e-08   2.2786e+07
1.4500e+00   1.7801e-08   8.1454e+07
1.5000e+00   1.0912e-08   1.3746e+08
1.5500e+00   3.4284e-08   4.5211e+07
1.6000e+00   3.3294e-08   4.8057e+07
1.6500e+00   3.7609e-08   4.3873e+07
1.7000e+00   2.0662e-08   8.2276e+07
1.7500e+00   2.1224e-08   8.2455e+07
1.8000e+00   2.0736e-08   8.6806e+07
1.8500e+00   1.3708e-08   1.3496e+08
1.9000e+00   4.2220e-07   4.5002e+06
1.9500e+00   4.0792e-07   4.7803e+06
2.0000e+00   5.6316e-07   3.5514e+06
2.0000e+00   6.7976e-07   2.9422e+06
1.9500e+00   5.4808e-07   3.5579e+06
1.9000e+00   4.7292e-07   4.0176e+06
1.8500e+00   4.7314e-07   3.9100e+06
1.8000e+00   5.8870e-07   3.0576e+06
1.7500e+00   5.3548e-07   3.2681e+06
1.7000e+00   6.1520e-07   2.7633e+06
1.6500e+00   4.2000e-07   3.9286e+06
