  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739913.644003                   55

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -2.6600e-12   -0.0000e+00
5.0000e-02   6.4000e-13   7.8125e+10
1.0000e-01   1.4800e-12   6.7568e+10
1.5000e-01   -3.8800e-12   -3.8660e+10
2.0000e-01   1.1200e-11   1.7857e+10
2.5000e-01   -2.3200e-12   -1.0776e+11
3.0000e-01   2.4800e-12   1.2097e+11
3.5000e-01   5.7200e-12   6.1189e+10
4.0000e-01   -7.5000e-12   -5.3333e+10
4.5000e-01   8.8100e-12   5.1078e+10
5.0000e-01   9.4000e-13   5.3191e+11
5.5000e-01   2.2500e-12   2.4444e+11
6.0000e-01   7.3300e-12   8.1855e+10
6.5000e-01   -5.5300e-12   -1.1754e+11
7.0000e-01   6.9100e-12   1.0130e+11
7.5000e-01   1.7000e-13   4.4118e+12
8.0000e-01   7.0000e-14   1.1429e+13
8.5000e-01   6.2500e-12   1.3600e+11
9.0000e-01   -8.8900e-12   -1.0124e+11
9.5000e-01   5.6300e-12   1.6874e+11
1.0000e+00   -3.9000e-13   -2.5641e+12
1.0500e+00   1.0000e-06   1.0500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0000e-06   1.3000e+06
1.3500e+00   1.0001e-06   1.3499e+06
1.4000e+00   1.0001e-06   1.3998e+06
1.4500e+00   1.0001e-06   1.4499e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   1.0000e-06   1.5500e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6500e+06
