  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739913.605156                   82

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   2.8698e-10   0.0000e+00
5.0000e-02   9.0945e-08   5.4978e+05
1.0000e-01   2.0492e-07   4.8800e+05
1.5000e-01   3.0924e-07   4.8506e+05
2.0000e-01   3.7408e-07   5.3464e+05
2.5000e-01   5.2384e-07   4.7724e+05
3.0000e-01   6.9256e-07   4.3318e+05
3.5000e-01   4.9500e-07   7.0707e+05
4.0000e-01   4.4564e-07   8.9759e+05
4.5000e-01   -7.9300e-12   -5.6747e+10
5.0000e-01   2.3900e-12   2.0921e+11
5.5000e-01   5.7700e-12   9.5321e+10
6.0000e-01   -1.2200e-12   -4.9180e+11
6.5000e-01   1.4930e-11   4.3537e+10
7.0000e-01   -2.4700e-12   -2.8340e+11
7.5000e-01   1.6500e-12   4.5455e+11
8.0000e-01   2.4300e-12   3.2922e+11
8.5000e-01   1.0000e-06   8.4998e+05
9.0000e-01   1.0000e-06   9.0000e+05
9.5000e-01   9.9976e-07   9.5023e+05
1.0000e+00   1.0001e-06   9.9986e+05
1.0000e+00   1.0001e-06   9.9986e+05
9.5000e-01   1.0001e-06   9.4994e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9984e-07   8.0013e+05
7.5000e-01   9.9994e-07   7.5005e+05
7.0000e-01   1.0000e-06   6.9999e+05
6.5000e-01   1.0002e-06   6.4988e+05
6.0000e-01   1.0000e-06   5.9999e+05
5.5000e-01   1.0000e-06   5.4999e+05
5.0000e-01   1.0000e-06   4.9999e+05
4.5000e-01   1.0000e-06   4.5000e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   1.0000e-06   3.5000e+05
3.0000e-01   1.0000e-06   2.9999e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   1.0001e-06   1.9998e+05
1.5000e-01   5.9570e-07   2.5180e+05
1.0000e-01   9.4136e-09   1.0623e+07
5.0000e-02   -1.6260e-11   -3.0750e+09
0.0000e+00   -1.4100e-12   -0.0000e+00
0.0000e+00   5.0000e-13   0.0000e+00
-5.0000e-02   4.8700e-12   -1.0267e+10
-1.0000e-01   -1.0930e-11   9.1491e+09
-1.5000e-01   4.6300e-12   -3.2397e+10
-2.0000e-01   -1.6900e-12   1.1834e+11
-2.5000e-01   -5.3900e-12   4.6382e+10
-3.0000e-01   -1.2400e-12   2.4194e+11
-3.5000e-01   -8.3400e-12   4.1966e+10
-4.0000e-01   8.8900e-12   -4.4994e+10
-4.5000e-01   -4.9600e-12   9.0726e+10
-5.0000e-01   -2.4500e-12   2.0408e+11
-5.5000e-01   -4.9910e-07   1.1020e+06
-6.0000e-01   -5.8860e-07   1.0194e+06
-6.5000e-01   -6.3432e-07   1.0247e+06
-7.0000e-01   -7.3724e-07   9.4949e+05
-7.5000e-01   -7.8188e-07   9.5923e+05
-8.0000e-01   -9.9998e-07   8.0002e+05
-8.5000e-01   -9.9996e-07   8.5003e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-9.5000e-01   -1.0000e-06   9.5000e+05
-1.0000e+00   -9.9998e-07   1.0000e+06
-1.0000e+00   -9.9998e-07   1.0000e+06
-9.5000e-01   -9.9998e-07   9.5002e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-8.5000e-01   -9.9994e-07   8.5005e+05
-8.0000e-01   -9.9998e-07   8.0002e+05
-7.5000e-01   -9.9998e-07   7.5002e+05
-7.0000e-01   -9.9998e-07   7.0001e+05
-6.5000e-01   -9.9998e-07   6.5001e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -9.9998e-07   5.5001e+05
-5.0000e-01   -9.9998e-07   5.0001e+05
-4.5000e-01   -9.9402e-07   4.5271e+05
-4.0000e-01   -8.2154e-07   4.8689e+05
-3.5000e-01   -9.1522e-07   3.8242e+05
-3.0000e-01   -6.4548e-07   4.6477e+05
-2.5000e-01   -5.4736e-07   4.5674e+05
-2.0000e-01   -4.1722e-07   4.7936e+05
-1.5000e-01   -2.8418e-07   5.2783e+05
-1.0000e-01   -1.8178e-07   5.5012e+05
-5.0000e-02   -1.4012e-07   3.5684e+05
0.0000e+00   2.3604e-10   0.0000e+00
