  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739913.602110                    0

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   -5.5300e-12   -0.0000e+00
5.0000e-02   3.5200e-12   1.4205e+10
1.0000e-01   1.0000e-14   1.0000e+13
1.5000e-01   1.2980e-11   1.1556e+10
2.0000e-01   -9.7400e-12   -2.0534e+10
2.5000e-01   -2.0200e-12   -1.2376e+11
3.0000e-01   4.9000e-12   6.1224e+10
3.5000e-01   5.0000e-14   7.0000e+12
4.0000e-01   5.7900e-12   6.9085e+10
4.5000e-01   -1.0830e-11   -4.1551e+10
5.0000e-01   9.6700e-12   5.1706e+10
5.5000e-01   5.3400e-12   1.0300e+11
6.0000e-01   3.2300e-12   1.8576e+11
6.5000e-01   5.3900e-12   1.2059e+11
7.0000e-01   -4.0000e-14   -1.7500e+13
7.5000e-01   1.6590e-11   4.5208e+10
8.0000e-01   -2.6400e-12   -3.0303e+11
8.5000e-01   2.1000e-12   4.0476e+11
9.0000e-01   7.6000e-12   1.1842e+11
9.5000e-01   8.2800e-12   1.1473e+11
1.0000e+00   1.0710e-11   9.3371e+10
1.0500e+00   -3.5300e-12   -2.9745e+11
1.1000e+00   9.4500e-12   1.1640e+11
1.1500e+00   9.7500e-12   1.1795e+11
1.2000e+00   4.8400e-12   2.4793e+11
1.2500e+00   1.1470e-11   1.0898e+11
1.3000e+00   2.5000e-12   5.2000e+11
1.3500e+00   1.7560e-11   7.6879e+10
1.4000e+00   2.0910e-11   6.6954e+10
1.4500e+00   6.9440e-11   2.0881e+10
1.5000e+00   2.9606e-07   5.0665e+06
1.5500e+00   1.1532e-07   1.3441e+07
1.6000e+00   1.8424e-07   8.6843e+06
1.6500e+00   1.8746e-07   8.8019e+06
1.7000e+00   1.6868e-07   1.0078e+07
1.7500e+00   1.5592e-07   1.1224e+07
1.8000e+00   1.5350e-07   1.1726e+07
