  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739912.866529                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -1.1020e-11   -0.0000e+00
5.0000e-02   6.8900e-12   7.2569e+09
1.0000e-01   3.5200e-12   2.8409e+10
1.5000e-01   5.5900e-12   2.6834e+10
2.0000e-01   9.5500e-12   2.0942e+10
2.5000e-01   -7.2500e-12   -3.4483e+10
3.0000e-01   9.8600e-12   3.0426e+10
3.5000e-01   1.5800e-12   2.2152e+11
4.0000e-01   5.8000e-12   6.8966e+10
4.5000e-01   6.7500e-12   6.6667e+10
5.0000e-01   1.4500e-12   3.4483e+11
5.5000e-01   4.4883e-10   1.2254e+09
6.0000e-01   1.3264e-07   4.5235e+06
6.5000e-01   1.7024e-07   3.8181e+06
7.0000e-01   1.8992e-07   3.6858e+06
7.5000e-01   2.3940e-07   3.1328e+06
8.0000e-01   3.2278e-07   2.4785e+06
8.5000e-01   3.9668e-07   2.1428e+06
9.0000e-01   6.2800e-07   1.4331e+06
9.5000e-01   7.0902e-07   1.3399e+06
1.0000e+00   1.0000e-06   1.0000e+06
1.0500e+00   1.0000e-06   1.0500e+06
1.1000e+00   9.9996e-07   1.1000e+06
1.1500e+00   9.9998e-07   1.1500e+06
1.2000e+00   9.9998e-07   1.2000e+06
1.2500e+00   9.9998e-07   1.2500e+06
1.3000e+00   9.9998e-07   1.3000e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.4000e+00   9.9996e-07   1.4001e+06
1.4500e+00   9.9994e-07   1.4501e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.4500e+00   9.9998e-07   1.4500e+06
1.4000e+00   9.9998e-07   1.4000e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.2500e+00   9.9996e-07   1.2501e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.1500e+00   9.9998e-07   1.1500e+06
1.1000e+00   9.9998e-07   1.1000e+06
1.0500e+00   9.9998e-07   1.0500e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   9.9996e-07   9.0004e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9588e-07   7.0290e+05
6.5000e-01   8.2080e-07   7.9191e+05
6.0000e-01   6.1640e-07   9.7339e+05
5.5000e-01   5.7214e-07   9.6130e+05
5.0000e-01   3.5566e-07   1.4058e+06
4.5000e-01   2.5794e-07   1.7446e+06
4.0000e-01   1.7574e-07   2.2761e+06
3.5000e-01   1.3250e-07   2.6415e+06
3.0000e-01   9.6860e-08   3.0973e+06
2.5000e-01   7.5619e-08   3.3060e+06
2.0000e-01   4.6416e-08   4.3089e+06
1.5000e-01   2.7129e-08   5.5292e+06
1.0000e-01   6.7126e-09   1.4897e+07
5.0000e-02   -4.4400e-12   -1.1261e+10
0.0000e+00   1.4300e-12   0.0000e+00
0.0000e+00   1.3490e-11   0.0000e+00
-5.0000e-02   -4.2100e-12   1.1876e+10
-1.0000e-01   -3.5200e-12   2.8409e+10
-1.5000e-01   -4.3500e-12   3.4483e+10
-2.0000e-01   -4.8200e-12   4.1494e+10
-2.5000e-01   2.0500e-12   -1.2195e+11
-3.0000e-01   -1.2530e-11   2.3943e+10
-3.5000e-01   -3.4900e-12   1.0029e+11
-4.0000e-01   -5.0000e-12   8.0000e+10
-4.5000e-01   -1.0670e-11   4.2174e+10
-5.0000e-01   -6.0000e-14   8.3333e+12
-5.5000e-01   -1.7120e-11   3.2126e+10
-6.0000e-01   -8.0900e-12   7.4166e+10
-6.5000e-01   -1.2910e-11   5.0349e+10
-7.0000e-01   -1.2960e-11   5.4012e+10
-7.5000e-01   -8.2000e-12   9.1463e+10
-8.0000e-01   -2.7660e-11   2.8923e+10
-8.5000e-01   -1.4400e-11   5.9028e+10
-9.0000e-01   -2.7740e-11   3.2444e+10
-9.5000e-01   -2.5370e-11   3.7446e+10
-1.0000e+00   -2.8390e-11   3.5224e+10
-1.0000e+00   -1.9400e-11   5.1546e+10
-9.5000e-01   -2.6170e-11   3.6301e+10
-9.0000e-01   -1.6660e-11   5.4022e+10
-8.5000e-01   -1.4000e-11   6.0714e+10
-8.0000e-01   -1.7230e-11   4.6431e+10
-7.5000e-01   3.8800e-12   -1.9330e+11
-7.0000e-01   -1.2270e-11   5.7050e+10
-6.5000e-01   -4.9400e-12   1.3158e+11
-6.0000e-01   -6.9200e-12   8.6705e+10
-5.5000e-01   -4.3500e-12   1.2644e+11
-5.0000e-01   6.4500e-12   -7.7519e+10
-4.5000e-01   -1.1600e-11   3.8793e+10
-4.0000e-01   6.1800e-12   -6.4725e+10
-3.5000e-01   2.4100e-12   -1.4523e+11
-3.0000e-01   1.9300e-12   -1.5544e+11
-2.5000e-01   5.0400e-12   -4.9603e+10
-2.0000e-01   -8.3500e-12   2.3952e+10
-1.5000e-01   8.5600e-12   -1.7523e+10
-1.0000e-01   -3.6000e-13   2.7778e+11
-5.0000e-02   4.7700e-12   -1.0482e+10
0.0000e+00   3.2400e-12   0.0000e+00
