  Measurement Number     Measurement type
                   3        DC IV I sweep

      Measurement ID             SeriesID
       739912.863867                    0

         MeasureMode                Bias1                Bias2
                   2                1e-06               -1e-06

                Step  Positive compliance  Negative compliance
               1e-08                    1                    1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
3.0300e-03   0.0000e+00   Inf
9.0710e-02   1.0000e-08   9.0710e+06
3.5141e-01   2.0000e-08   1.7571e+07
8.2740e-01   3.0000e-08   2.7580e+07
1.0001e+00   4.0000e-08   2.5003e+07
5.8628e-01   5.0000e-08   1.1726e+07
5.4352e-01   6.0000e-08   9.0587e+06
6.2128e-01   7.0000e-08   8.8754e+06
7.3160e-01   8.0000e-08   9.1450e+06
8.2888e-01   9.0000e-08   9.2098e+06
9.0604e-01   1.0000e-07   9.0604e+06
8.6512e-01   1.1000e-07   7.8647e+06
8.0672e-01   1.2000e-07   6.7227e+06
5.3512e-01   1.3000e-07   4.1163e+06
8.2336e-01   1.4000e-07   5.8811e+06
6.2084e-01   1.5000e-07   4.1389e+06
7.3884e-01   1.6000e-07   4.6178e+06
7.3760e-01   1.7000e-07   4.3388e+06
5.6544e-01   1.8000e-07   3.1413e+06
6.2520e-01   1.9000e-07   3.2905e+06
7.0752e-01   2.0000e-07   3.5376e+06
6.8044e-01   2.1000e-07   3.2402e+06
6.2272e-01   2.2000e-07   2.8305e+06
6.1892e-01   2.3000e-07   2.6910e+06
6.2916e-01   2.4000e-07   2.6215e+06
6.1756e-01   2.5000e-07   2.4702e+06
7.1776e-01   2.6000e-07   2.7606e+06
7.8784e-01   2.7000e-07   2.9179e+06
4.3788e-01   2.8000e-07   1.5639e+06
4.3786e-01   2.9000e-07   1.5099e+06
4.7096e-01   3.0000e-07   1.5699e+06
4.9589e-01   3.1000e-07   1.5996e+06
4.8281e-01   3.2000e-07   1.5088e+06
5.6628e-01   3.3000e-07   1.7160e+06
5.5088e-01   3.4000e-07   1.6202e+06
6.0136e-01   3.5000e-07   1.7182e+06
6.2744e-01   3.6000e-07   1.7429e+06
6.2508e-01   3.7000e-07   1.6894e+06
6.1096e-01   3.8000e-07   1.6078e+06
4.9139e-01   3.9000e-07   1.2600e+06
5.0735e-01   4.0000e-07   1.2684e+06
4.8164e-01   4.1000e-07   1.1747e+06
5.1829e-01   4.2000e-07   1.2340e+06
5.1042e-01   4.3000e-07   1.1870e+06
5.7996e-01   4.4000e-07   1.3181e+06
5.5684e-01   4.5000e-07   1.2374e+06
5.7616e-01   4.6000e-07   1.2525e+06
5.8584e-01   4.7000e-07   1.2465e+06
6.5436e-01   4.8000e-07   1.3633e+06
6.3988e-01   4.9000e-07   1.3059e+06
6.0532e-01   5.0000e-07   1.2106e+06
6.5976e-01   5.1000e-07   1.2936e+06
6.3320e-01   5.2000e-07   1.2177e+06
6.0476e-01   5.3000e-07   1.1411e+06
6.1560e-01   5.4000e-07   1.1400e+06
6.0468e-01   5.5000e-07   1.0994e+06
6.1276e-01   5.6000e-07   1.0942e+06
5.8776e-01   5.7000e-07   1.0312e+06
6.4208e-01   5.8000e-07   1.1070e+06
6.5880e-01   5.9000e-07   1.1166e+06
6.4212e-01   6.0000e-07   1.0702e+06
6.3960e-01   6.1000e-07   1.0485e+06
6.2716e-01   6.2000e-07   1.0115e+06
6.5704e-01   6.3000e-07   1.0429e+06
