  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739912.870067                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.7800e-12   0.0000e+00
5.0000e-02   -1.4100e-12   -3.5461e+10
1.0000e-01   9.7600e-12   1.0246e+10
1.5000e-01   -2.6100e-12   -5.7471e+10
2.0000e-01   7.7800e-12   2.5707e+10
2.5000e-01   3.6200e-12   6.9061e+10
3.0000e-01   6.3100e-12   4.7544e+10
3.5000e-01   1.5240e-11   2.2966e+10
4.0000e-01   -1.9200e-12   -2.0833e+11
4.5000e-01   1.4270e-11   3.1535e+10
5.0000e-01   5.3300e-12   9.3809e+10
5.5000e-01   6.2900e-12   8.7440e+10
6.0000e-01   1.2370e-11   4.8504e+10
6.5000e-01   7.6900e-12   8.4525e+10
7.0000e-01   9.9990e-07   7.0007e+05
7.5000e-01   9.9998e-07   7.5002e+05
8.0000e-01   9.9998e-07   8.0002e+05
8.5000e-01   9.9996e-07   8.5003e+05
9.0000e-01   9.9996e-07   9.0004e+05
9.5000e-01   9.9996e-07   9.5004e+05
1.0000e+00   9.9998e-07   1.0000e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   9.9996e-07   9.0004e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9996e-07   7.0003e+05
6.5000e-01   9.9996e-07   6.5003e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.5000e-01   9.6136e-07   5.7211e+05
5.0000e-01   8.6666e-07   5.7693e+05
4.5000e-01   7.5966e-07   5.9237e+05
4.0000e-01   7.2434e-07   5.5223e+05
3.5000e-01   6.4714e-07   5.4084e+05
3.0000e-01   4.2852e-07   7.0008e+05
2.5000e-01   3.3586e-07   7.4436e+05
2.0000e-01   2.6374e-07   7.5832e+05
1.5000e-01   1.4376e-07   1.0434e+06
1.0000e-01   4.5330e-08   2.2060e+06
5.0000e-02   5.9600e-12   8.3893e+09
0.0000e+00   -8.9700e-12   -0.0000e+00
0.0000e+00   -2.3700e-12   -0.0000e+00
-5.0000e-02   3.9000e-13   -1.2821e+11
-1.0000e-01   7.5000e-13   -1.3333e+11
-1.5000e-01   -5.4200e-12   2.7675e+10
-2.0000e-01   9.0400e-12   -2.2124e+10
-2.5000e-01   -1.1420e-11   2.1891e+10
-3.0000e-01   -2.3200e-12   1.2931e+11
-3.5000e-01   -5.2300e-12   6.6922e+10
-4.0000e-01   -7.8500e-12   5.0955e+10
-4.5000e-01   -2.8000e-13   1.6071e+12
-5.0000e-01   -1.6250e-11   3.0769e+10
-5.5000e-01   -2.4700e-12   2.2267e+11
-6.0000e-01   -6.2200e-12   9.6463e+10
-6.5000e-01   -8.1500e-12   7.9755e+10
-7.0000e-01   -2.2500e-12   3.1111e+11
-7.5000e-01   -2.1950e-11   3.4169e+10
-8.0000e-01   -7.6200e-12   1.0499e+11
-8.5000e-01   -1.6630e-11   5.1112e+10
-9.0000e-01   -1.4720e-11   6.1141e+10
-9.5000e-01   -1.2460e-11   7.6244e+10
-1.0000e+00   -3.5880e-11   2.7871e+10
-1.0000e+00   -2.3800e-11   4.2017e+10
-9.5000e-01   -1.5910e-11   5.9711e+10
-9.0000e-01   -9.1400e-12   9.8468e+10
-8.5000e-01   -2.0100e-11   4.2289e+10
-8.0000e-01   -1.7200e-12   4.6512e+11
-7.5000e-01   -9.7100e-12   7.7240e+10
-7.0000e-01   -3.5200e-12   1.9886e+11
-6.5000e-01   -3.2300e-12   2.0124e+11
-6.0000e-01   -5.3200e-12   1.1278e+11
-5.5000e-01   1.0000e-11   -5.5000e+10
-5.0000e-01   -8.8200e-12   5.6689e+10
-4.5000e-01   3.5900e-12   -1.2535e+11
-4.0000e-01   4.0000e-14   -1.0000e+13
-3.5000e-01   9.9000e-13   -3.5354e+11
-3.0000e-01   7.4400e-12   -4.0323e+10
-2.5000e-01   -4.1000e-12   6.0976e+10
-2.0000e-01   1.4050e-11   -1.4235e+10
-1.5000e-01   2.7600e-12   -5.4348e+10
-1.0000e-01   3.6400e-12   -2.7473e+10
-5.0000e-02   4.6800e-12   -1.0684e+10
0.0000e+00   -3.2200e-12   -0.0000e+00
