  Measurement Number     Measurement type
                  27        DC IV I sweep

      Measurement ID             SeriesID
       739912.875748                    0

         MeasureMode                Bias1                Bias2
                   1                1e-10                    0

                Step  Positive compliance  Negative compliance
               1e-12                    1                    1

  RealMeasuredPoints
                 202

        Bias        Current     Resistance
1.0550e-02   1.0000e-10   1.0550e+08
2.1930e-02   9.9000e-11   2.2152e+08
3.3200e-02   9.8000e-11   3.3878e+08
4.4070e-02   9.7000e-11   4.5433e+08
5.5120e-02   9.6000e-11   5.7417e+08
6.5740e-02   9.5000e-11   6.9200e+08
7.6350e-02   9.4000e-11   8.1223e+08
8.6930e-02   9.3000e-11   9.3473e+08
9.7170e-02   9.2000e-11   1.0562e+09
1.0757e-01   9.1000e-11   1.1821e+09
1.1763e-01   9.0000e-11   1.3070e+09
1.2759e-01   8.9000e-11   1.4336e+09
1.3759e-01   8.8000e-11   1.5635e+09
1.4716e-01   8.7000e-11   1.6915e+09
1.5691e-01   8.6000e-11   1.8245e+09
1.6637e-01   8.5000e-11   1.9573e+09
1.7565e-01   8.4000e-11   2.0911e+09
1.8499e-01   8.3000e-11   2.2288e+09
1.9385e-01   8.2000e-11   2.3640e+09
2.0294e-01   8.1000e-11   2.5054e+09
2.1181e-01   8.0000e-11   2.6476e+09
2.2045e-01   7.9000e-11   2.7905e+09
2.2913e-01   7.8000e-11   2.9376e+09
2.3742e-01   7.7000e-11   3.0834e+09
2.4570e-01   7.6000e-11   3.2329e+09
2.5396e-01   7.5000e-11   3.3861e+09
2.6184e-01   7.4000e-11   3.5384e+09
2.6987e-01   7.3000e-11   3.6968e+09
2.7741e-01   7.2000e-11   3.8529e+09
2.8485e-01   7.1000e-11   4.0120e+09
2.9232e-01   7.0000e-11   4.1760e+09
2.9933e-01   6.9000e-11   4.3381e+09
3.0662e-01   6.8000e-11   4.5091e+09
3.1367e-01   6.7000e-11   4.6816e+09
3.2057e-01   6.6000e-11   4.8571e+09
3.2730e-01   6.5000e-11   5.0354e+09
3.3357e-01   6.4000e-11   5.2120e+09
3.3997e-01   6.3000e-11   5.3963e+09
3.4610e-01   6.2000e-11   5.5823e+09
3.5202e-01   6.1000e-11   5.7708e+09
3.5810e-01   6.0000e-11   5.9683e+09
3.6394e-01   5.9000e-11   6.1685e+09
3.6994e-01   5.8000e-11   6.3783e+09
3.7562e-01   5.7000e-11   6.5898e+09
3.8113e-01   5.6000e-11   6.8059e+09
3.8676e-01   5.5000e-11   7.0320e+09
3.9196e-01   5.4000e-11   7.2585e+09
3.9733e-01   5.3000e-11   7.4968e+09
4.0255e-01   5.2000e-11   7.7413e+09
4.0741e-01   5.1000e-11   7.9884e+09
4.1247e-01   5.0000e-11   8.2494e+09
4.1704e-01   4.9000e-11   8.5110e+09
4.2164e-01   4.8000e-11   8.7842e+09
4.2621e-01   4.7000e-11   9.0683e+09
4.3040e-01   4.6000e-11   9.3565e+09
4.3473e-01   4.5000e-11   9.6607e+09
4.3873e-01   4.4000e-11   9.9711e+09
4.4262e-01   4.3000e-11   1.0293e+10
4.4654e-01   4.2000e-11   1.0632e+10
4.5000e-01   4.1000e-11   1.0976e+10
4.5356e-01   4.0000e-11   1.1339e+10
4.5685e-01   3.9000e-11   1.1714e+10
4.5998e-01   3.8000e-11   1.2105e+10
4.6316e-01   3.7000e-11   1.2518e+10
4.6594e-01   3.6000e-11   1.2943e+10
4.6892e-01   3.5000e-11   1.3398e+10
4.7164e-01   3.4000e-11   1.3872e+10
4.7426e-01   3.3000e-11   1.4372e+10
4.7689e-01   3.2000e-11   1.4903e+10
4.7914e-01   3.1000e-11   1.5456e+10
4.8108e-01   3.0000e-11   1.6036e+10
4.8282e-01   2.9000e-11   1.6649e+10
4.8415e-01   2.8000e-11   1.7291e+10
4.8615e-01   2.7000e-11   1.8006e+10
4.8772e-01   2.6000e-11   1.8758e+10
4.8925e-01   2.5000e-11   1.9570e+10
4.9051e-01   2.4000e-11   2.0438e+10
4.9132e-01   2.3000e-11   2.1362e+10
4.9246e-01   2.2000e-11   2.2385e+10
4.9349e-01   2.1000e-11   2.3500e+10
4.9444e-01   2.0000e-11   2.4722e+10
4.9531e-01   1.9000e-11   2.6069e+10
4.9588e-01   1.8000e-11   2.7549e+10
4.9662e-01   1.7000e-11   2.9213e+10
4.9713e-01   1.6000e-11   3.1071e+10
4.9748e-01   1.5000e-11   3.3165e+10
4.9797e-01   1.4000e-11   3.5569e+10
4.9765e-01   1.3000e-11   3.8281e+10
4.9731e-01   1.2000e-11   4.1442e+10
4.9690e-01   1.1000e-11   4.5173e+10
4.9608e-01   1.0000e-11   4.9608e+10
4.9485e-01   9.0000e-12   5.4983e+10
4.9345e-01   8.0000e-12   6.1681e+10
4.9204e-01   7.0000e-12   7.0291e+10
4.9045e-01   6.0000e-12   8.1742e+10
4.8901e-01   5.0000e-12   9.7802e+10
4.8756e-01   4.0000e-12   1.2189e+11
4.8565e-01   3.0000e-12   1.6188e+11
4.8359e-01   2.0000e-12   2.4180e+11
4.8166e-01   1.0000e-12   4.8166e+11
4.7942e-01   0.0000e+00   Inf
4.7929e-01   0.0000e+00   Inf
4.7747e-01   1.0000e-12   4.7747e+11
4.7551e-01   2.0000e-12   2.3776e+11
4.7398e-01   3.0000e-12   1.5799e+11
4.7276e-01   4.0000e-12   1.1819e+11
4.7144e-01   5.0000e-12   9.4288e+10
4.7072e-01   6.0000e-12   7.8453e+10
4.7004e-01   7.0000e-12   6.7149e+10
4.6933e-01   8.0000e-12   5.8666e+10
4.6890e-01   9.0000e-12   5.2100e+10
4.6842e-01   1.0000e-11   4.6842e+10
4.6818e-01   1.1000e-11   4.2562e+10
4.6827e-01   1.2000e-11   3.9022e+10
4.6779e-01   1.3000e-11   3.5984e+10
4.6756e-01   1.4000e-11   3.3397e+10
4.6739e-01   1.5000e-11   3.1159e+10
4.6719e-01   1.6000e-11   2.9199e+10
4.6729e-01   1.7000e-11   2.7488e+10
4.6718e-01   1.8000e-11   2.5954e+10
4.6756e-01   1.9000e-11   2.4608e+10
4.6772e-01   2.0000e-11   2.3386e+10
4.6781e-01   2.1000e-11   2.2277e+10
4.6849e-01   2.2000e-11   2.1295e+10
4.6885e-01   2.3000e-11   2.0385e+10
4.7033e-01   2.4000e-11   1.9597e+10
4.7215e-01   2.5000e-11   1.8886e+10
4.7366e-01   2.6000e-11   1.8218e+10
4.7508e-01   2.7000e-11   1.7596e+10
4.7614e-01   2.8000e-11   1.7005e+10
4.7762e-01   2.9000e-11   1.6470e+10
