  Measurement Number     Measurement type
                  45        DC IV I sweep

      Measurement ID             SeriesID
       739912.880168                   13

         MeasureMode                Bias1                Bias2
                   1                1e-10                    0

                Step  Positive compliance  Negative compliance
               1e-12                    1                    1

  RealMeasuredPoints
                 202

        Bias        Current     Resistance
1.0590e-02   1.0000e-10   1.0590e+08
2.1930e-02   9.9000e-11   2.2152e+08
3.3290e-02   9.8000e-11   3.3969e+08
4.4180e-02   9.7000e-11   4.5546e+08
5.5220e-02   9.6000e-11   5.7521e+08
6.5940e-02   9.5000e-11   6.9411e+08
7.6540e-02   9.4000e-11   8.1426e+08
8.7220e-02   9.3000e-11   9.3785e+08
9.7430e-02   9.2000e-11   1.0590e+09
1.0775e-01   9.1000e-11   1.1841e+09
1.1789e-01   9.0000e-11   1.3099e+09
1.2780e-01   8.9000e-11   1.4360e+09
1.3780e-01   8.8000e-11   1.5659e+09
1.4737e-01   8.7000e-11   1.6939e+09
1.5712e-01   8.6000e-11   1.8270e+09
1.6657e-01   8.5000e-11   1.9596e+09
1.7573e-01   8.4000e-11   2.0920e+09
1.8505e-01   8.3000e-11   2.2295e+09
1.9403e-01   8.2000e-11   2.3662e+09
2.0295e-01   8.1000e-11   2.5056e+09
2.1183e-01   8.0000e-11   2.6479e+09
2.2038e-01   7.9000e-11   2.7896e+09
2.2912e-01   7.8000e-11   2.9374e+09
2.3731e-01   7.7000e-11   3.0819e+09
2.4545e-01   7.6000e-11   3.2296e+09
2.5362e-01   7.5000e-11   3.3816e+09
2.6140e-01   7.4000e-11   3.5324e+09
2.6937e-01   7.3000e-11   3.6900e+09
2.7697e-01   7.2000e-11   3.8468e+09
2.8443e-01   7.1000e-11   4.0061e+09
2.9189e-01   7.0000e-11   4.1699e+09
2.9897e-01   6.9000e-11   4.3329e+09
3.0620e-01   6.8000e-11   4.5029e+09
3.1314e-01   6.7000e-11   4.6737e+09
3.1998e-01   6.6000e-11   4.8482e+09
3.2694e-01   6.5000e-11   5.0298e+09
3.3348e-01   6.4000e-11   5.2106e+09
3.4007e-01   6.3000e-11   5.3979e+09
3.4621e-01   6.2000e-11   5.5840e+09
3.5211e-01   6.1000e-11   5.7723e+09
3.5813e-01   6.0000e-11   5.9688e+09
5.4290e-02   5.9000e-11   9.2017e+08
4.6350e-02   5.8000e-11   7.9914e+08
5.3470e-02   5.7000e-11   9.3807e+08
6.0080e-02   5.6000e-11   1.0729e+09
6.6720e-02   5.5000e-11   1.2131e+09
7.2870e-02   5.4000e-11   1.3494e+09
7.9020e-02   5.3000e-11   1.4909e+09
8.5070e-02   5.2000e-11   1.6360e+09
9.0720e-02   5.1000e-11   1.7788e+09
9.6550e-02   5.0000e-11   1.9310e+09
1.0199e-01   4.9000e-11   2.0814e+09
1.0738e-01   4.8000e-11   2.2371e+09
1.1277e-01   4.7000e-11   2.3994e+09
1.1780e-01   4.6000e-11   2.5609e+09
1.2298e-01   4.5000e-11   2.7329e+09
1.2785e-01   4.4000e-11   2.9057e+09
1.3262e-01   4.3000e-11   3.0842e+09
1.3741e-01   4.2000e-11   3.2717e+09
1.4178e-01   4.1000e-11   3.4580e+09
1.4633e-01   4.0000e-11   3.6582e+09
1.5062e-01   3.9000e-11   3.8621e+09
1.5472e-01   3.8000e-11   4.0716e+09
1.5891e-01   3.7000e-11   4.2949e+09
1.6276e-01   3.6000e-11   4.5211e+09
1.6669e-01   3.5000e-11   4.7626e+09
1.7039e-01   3.4000e-11   5.0115e+09
1.7386e-01   3.3000e-11   5.2685e+09
1.7751e-01   3.2000e-11   5.5472e+09
1.8073e-01   3.1000e-11   5.8300e+09
1.8396e-01   3.0000e-11   6.1320e+09
1.8712e-01   2.9000e-11   6.4524e+09
1.8993e-01   2.8000e-11   6.7832e+09
1.9294e-01   2.7000e-11   7.1459e+09
1.9558e-01   2.6000e-11   7.5223e+09
1.9822e-01   2.5000e-11   7.9288e+09
2.0083e-01   2.4000e-11   8.3679e+09
2.0305e-01   2.3000e-11   8.8283e+09
2.0538e-01   2.2000e-11   9.3355e+09
2.0744e-01   2.1000e-11   9.8781e+09
2.0934e-01   2.0000e-11   1.0467e+10
2.1124e-01   1.9000e-11   1.1118e+10
2.1281e-01   1.8000e-11   1.1823e+10
2.1454e-01   1.7000e-11   1.2620e+10
2.1592e-01   1.6000e-11   1.3495e+10
2.1731e-01   1.5000e-11   1.4487e+10
2.1885e-01   1.4000e-11   1.5632e+10
2.1996e-01   1.3000e-11   1.6920e+10
6.9100e-02   1.2000e-11   5.7583e+09
7.0700e-02   1.1000e-11   6.4273e+09
7.1950e-02   1.0000e-11   7.1950e+09
7.3230e-02   9.0000e-12   8.1367e+09
7.4040e-02   8.0000e-12   9.2550e+09
7.4900e-02   7.0000e-12   1.0700e+10
7.5670e-02   6.0000e-12   1.2612e+10
7.6140e-02   5.0000e-12   1.5228e+10
7.6750e-02   4.0000e-12   1.9188e+10
7.6920e-02   3.0000e-12   2.5640e+10
7.7220e-02   2.0000e-12   3.8610e+10
7.7420e-02   1.0000e-12   7.7420e+10
7.7240e-02   0.0000e+00   Inf
7.7250e-02   0.0000e+00   Inf
7.7420e-02   1.0000e-12   7.7420e+10
7.7630e-02   2.0000e-12   3.8815e+10
7.7860e-02   3.0000e-12   2.5953e+10
7.8430e-02   4.0000e-12   1.9608e+10
7.8810e-02   5.0000e-12   1.5762e+10
7.9490e-02   6.0000e-12   1.3248e+10
8.0340e-02   7.0000e-12   1.1477e+10
8.1080e-02   8.0000e-12   1.0135e+10
8.2210e-02   9.0000e-12   9.1344e+09
8.3150e-02   1.0000e-11   8.3150e+09
8.4390e-02   1.1000e-11   7.6718e+09
8.5820e-02   1.2000e-11   7.1517e+09
8.7090e-02   1.3000e-11   6.6992e+09
8.8760e-02   1.4000e-11   6.3400e+09
9.0310e-02   1.5000e-11   6.0207e+09
9.2080e-02   1.6000e-11   5.7550e+09
9.4140e-02   1.7000e-11   5.5376e+09
9.5950e-02   1.8000e-11   5.3306e+09
9.8180e-02   1.9000e-11   5.1674e+09
1.0031e-01   2.0000e-11   5.0155e+09
1.0260e-01   2.1000e-11   4.8857e+09
1.0522e-01   2.2000e-11   4.7827e+09
1.0762e-01   2.3000e-11   4.6791e+09
1.1042e-01   2.4000e-11   4.6008e+09
1.1316e-01   2.5000e-11   4.5264e+09
1.1595e-01   2.6000e-11   4.4596e+09
1.1910e-01   2.7000e-11   4.4111e+09
1.2206e-01   2.8000e-11   4.3593e+09
1.2535e-01   2.9000e-11   4.3224e+09
