  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739912.870440                   82

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -5.9200e-12   -0.0000e+00
5.0000e-02   1.2330e-11   4.0552e+09
1.0000e-01   -1.7500e-12   -5.7143e+10
1.5000e-01   4.3100e-12   3.4803e+10
2.0000e-01   5.3900e-12   3.7106e+10
2.5000e-01   2.1700e-12   1.1521e+11
3.0000e-01   1.1820e-11   2.5381e+10
3.5000e-01   1.0000e-14   3.5000e+13
4.0000e-01   1.7010e-11   2.3516e+10
4.5000e-01   1.6620e-11   2.7076e+10
5.0000e-01   1.7650e-11   2.8329e+10
5.5000e-01   2.5470e-11   2.1594e+10
6.0000e-01   9.9998e-07   6.0001e+05
6.5000e-01   9.9996e-07   6.5003e+05
7.0000e-01   9.9996e-07   7.0003e+05
7.5000e-01   9.9998e-07   7.5002e+05
8.0000e-01   9.9996e-07   8.0003e+05
8.5000e-01   9.9998e-07   8.5002e+05
9.0000e-01   9.9996e-07   9.0004e+05
9.5000e-01   9.9996e-07   9.5004e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   9.9994e-07   9.0005e+05
8.5000e-01   9.9996e-07   8.5003e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9996e-07   6.5003e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.5000e-01   9.6672e-07   5.6893e+05
5.0000e-01   8.7306e-07   5.7270e+05
4.5000e-01   7.3882e-07   6.0908e+05
4.0000e-01   6.3248e-07   6.3243e+05
3.5000e-01   4.6348e-07   7.5516e+05
3.0000e-01   3.9220e-07   7.6492e+05
2.5000e-01   2.7756e-07   9.0071e+05
2.0000e-01   1.7414e-07   1.1485e+06
1.5000e-01   1.1830e-07   1.2680e+06
1.0000e-01   5.3957e-08   1.8533e+06
5.0000e-02   -3.9900e-12   -1.2531e+10
0.0000e+00   6.6000e-13   0.0000e+00
0.0000e+00   1.9000e-12   0.0000e+00
-5.0000e-02   -5.4200e-12   9.2251e+09
-1.0000e-01   9.9500e-12   -1.0050e+10
-1.5000e-01   -5.0800e-12   2.9528e+10
-2.0000e-01   -2.9000e-12   6.8966e+10
-2.5000e-01   -6.7200e-12   3.7202e+10
-3.0000e-01   -8.0200e-12   3.7406e+10
-3.5000e-01   3.7000e-13   -9.4595e+11
-4.0000e-01   -1.3490e-11   2.9652e+10
-4.5000e-01   -3.4200e-12   1.3158e+11
-5.0000e-01   -7.5400e-12   6.6313e+10
-5.5000e-01   -9.3400e-12   5.8887e+10
-6.0000e-01   -1.4600e-12   4.1096e+11
-6.5000e-01   -2.6590e-11   2.4445e+10
-7.0000e-01   -1.0890e-11   6.4279e+10
-7.5000e-01   -1.8140e-11   4.1345e+10
-8.0000e-01   -1.0830e-11   7.3869e+10
-8.5000e-01   -1.5780e-11   5.3866e+10
-9.0000e-01   -2.3270e-11   3.8676e+10
-9.5000e-01   -1.0970e-11   8.6600e+10
-1.0000e+00   -2.8680e-11   3.4868e+10
-1.0000e+00   -2.4050e-11   4.1580e+10
-9.5000e-01   -2.3600e-11   4.0254e+10
-9.0000e-01   -5.2200e-12   1.7241e+11
-8.5000e-01   -2.0090e-11   4.2310e+10
-8.0000e-01   -6.3900e-12   1.2520e+11
-7.5000e-01   -6.5800e-12   1.1398e+11
-7.0000e-01   -6.1700e-12   1.1345e+11
-6.5000e-01   2.0400e-12   -3.1863e+11
-6.0000e-01   -1.5440e-11   3.8860e+10
-5.5000e-01   4.7000e-13   -1.1702e+12
-5.0000e-01   -2.7400e-12   1.8248e+11
-4.5000e-01   -2.2200e-12   2.0270e+11
-4.0000e-01   4.8200e-12   -8.2988e+10
-3.5000e-01   -9.3700e-12   3.7353e+10
-3.0000e-01   6.5300e-12   -4.5942e+10
-2.5000e-01   1.5400e-12   -1.6234e+11
-2.0000e-01   -4.3000e-13   4.6512e+11
-1.5000e-01   5.9300e-12   -2.5295e+10
-1.0000e-01   -5.8000e-13   1.7241e+11
-5.0000e-02   1.2000e-11   -4.1667e+09
0.0000e+00   3.9000e-12   0.0000e+00
