  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739912.861681                    0

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   1.0210e-11   0.0000e+00
5.0000e-02   -7.0000e-13   -7.1429e+10
1.0000e-01   7.6600e-12   1.3055e+10
1.5000e-01   4.4900e-12   3.3408e+10
2.0000e-01   4.1800e-12   4.7847e+10
2.5000e-01   1.7450e-11   1.4327e+10
3.0000e-01   3.6800e-12   8.1522e+10
3.5000e-01   2.2210e-11   1.5759e+10
4.0000e-01   1.7670e-11   2.2637e+10
4.5000e-01   2.1630e-11   2.0804e+10
5.0000e-01   2.7840e-11   1.7960e+10
5.5000e-01   1.5210e-11   3.6160e+10
6.0000e-01   3.2550e-11   1.8433e+10
6.5000e-01   2.6870e-11   2.4191e+10
7.0000e-01   2.7870e-11   2.5117e+10
7.5000e-01   3.9130e-11   1.9167e+10
8.0000e-01   2.7550e-11   2.9038e+10
8.5000e-01   5.0080e-11   1.6973e+10
9.0000e-01   4.2380e-11   2.1236e+10
9.5000e-01   5.5400e-11   1.7148e+10
1.0000e+00   5.1080e-11   1.9577e+10
1.0500e+00   5.4630e-11   1.9220e+10
1.1000e+00   6.1380e-11   1.7921e+10
1.1500e+00   6.4230e-11   1.7904e+10
1.2000e+00   8.6360e-11   1.3895e+10
1.2500e+00   7.5180e-11   1.6627e+10
1.3000e+00   8.9520e-11   1.4522e+10
1.3500e+00   8.8820e-11   1.5199e+10
1.4000e+00   1.0616e-10   1.3188e+10
1.4500e+00   1.1721e-10   1.2371e+10
1.5000e+00   1.1312e-10   1.3260e+10
1.5500e+00   1.3263e-10   1.1687e+10
1.6000e+00   1.3688e-10   1.1689e+10
1.6500e+00   1.5664e-10   1.0534e+10
1.7000e+00   2.1948e-10   7.7456e+09
1.7500e+00   8.9401e-10   1.9575e+09
1.8000e+00   1.8069e-08   9.9620e+07
