  Measurement Number     Measurement type
                   8        DC IV I sweep

      Measurement ID             SeriesID
       739912.862341                    0

         MeasureMode                Bias1                Bias2
                   2                1e-06               -1e-06

                Step  Positive compliance  Negative compliance
               1e-08                    3                    3

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-4.9000e-04   0.0000e+00   -Inf
-4.0000e-04   1.0000e-08   -4.0000e+04
-3.2000e-04   2.0000e-08   -1.6000e+04
-2.7000e-04   3.0000e-08   -9.0000e+03
-2.0000e-04   4.0000e-08   -5.0000e+03
-1.3000e-04   5.0000e-08   -2.6000e+03
-1.0000e-04   6.0000e-08   -1.6667e+03
-2.0000e-05   7.0000e-08   -2.8571e+02
2.0000e-05   8.0000e-08   2.5000e+02
1.0000e-04   9.0000e-08   1.1111e+03
1.7000e-04   1.0000e-07   1.7000e+03
2.4000e-04   1.1000e-07   2.1818e+03
3.1000e-04   1.2000e-07   2.5833e+03
3.7000e-04   1.3000e-07   2.8462e+03
4.5000e-04   1.4000e-07   3.2143e+03
5.0000e-04   1.5000e-07   3.3333e+03
5.8000e-04   1.6000e-07   3.6250e+03
6.6000e-04   1.7000e-07   3.8824e+03
7.1000e-04   1.8000e-07   3.9444e+03
7.8000e-04   1.9000e-07   4.1053e+03
8.3000e-04   2.0000e-07   4.1500e+03
9.1000e-04   2.1000e-07   4.3333e+03
9.7000e-04   2.2000e-07   4.4091e+03
1.0500e-03   2.3000e-07   4.5652e+03
1.1000e-03   2.4000e-07   4.5833e+03
1.1800e-03   2.5000e-07   4.7200e+03
1.2400e-03   2.6000e-07   4.7692e+03
1.2900e-03   2.7000e-07   4.7778e+03
1.3500e-03   2.8000e-07   4.8214e+03
1.4100e-03   2.9000e-07   4.8621e+03
1.4900e-03   3.0000e-07   4.9667e+03
1.5500e-03   3.1000e-07   5.0000e+03
1.6200e-03   3.2000e-07   5.0625e+03
1.6700e-03   3.3000e-07   5.0606e+03
1.7500e-03   3.4000e-07   5.1471e+03
1.8200e-03   3.5000e-07   5.2000e+03
1.8500e-03   3.6000e-07   5.1389e+03
1.9200e-03   3.7000e-07   5.1892e+03
1.9800e-03   3.8000e-07   5.2105e+03
2.0400e-03   3.9000e-07   5.2308e+03
2.1000e-03   4.0000e-07   5.2500e+03
2.1900e-03   4.1000e-07   5.3415e+03
2.2700e-03   4.2000e-07   5.4048e+03
2.3100e-03   4.3000e-07   5.3721e+03
2.3900e-03   4.4000e-07   5.4318e+03
2.4400e-03   4.5000e-07   5.4222e+03
2.5000e-03   4.6000e-07   5.4348e+03
2.5700e-03   4.7000e-07   5.4681e+03
2.6700e-03   4.8000e-07   5.5625e+03
2.6700e-03   4.9000e-07   5.4490e+03
2.7600e-03   5.0000e-07   5.5200e+03
2.8500e-03   5.1000e-07   5.5882e+03
2.9200e-03   5.2000e-07   5.6154e+03
2.9800e-03   5.3000e-07   5.6226e+03
3.0300e-03   5.4000e-07   5.6111e+03
3.1200e-03   5.5000e-07   5.6727e+03
3.2000e-03   5.6000e-07   5.7143e+03
3.2500e-03   5.7000e-07   5.7018e+03
3.3200e-03   5.8000e-07   5.7241e+03
3.3800e-03   5.9000e-07   5.7288e+03
3.4300e-03   6.0000e-07   5.7167e+03
3.5200e-03   6.1000e-07   5.7705e+03
3.5600e-03   6.2000e-07   5.7419e+03
