  Measurement Number     Measurement type
                  11        DC IV I sweep

      Measurement ID             SeriesID
       739912.859629                    0

         MeasureMode                Bias1                Bias2
                   2                1e-06               -1e-06

                Step  Positive compliance  Negative compliance
               1e-08                    3                    3

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-4.0000e-05   0.0000e+00   -Inf
0.0000e+00   1.0000e-08   0.0000e+00
5.0000e-05   2.0000e-08   2.5000e+03
6.0000e-05   3.0000e-08   2.0000e+03
1.4000e-04   4.0000e-08   3.5000e+03
1.9000e-04   5.0000e-08   3.8000e+03
2.0000e-04   6.0000e-08   3.3333e+03
2.6000e-04   7.0000e-08   3.7143e+03
3.3000e-04   8.0000e-08   4.1250e+03
3.7000e-04   9.0000e-08   4.1111e+03
4.1000e-04   1.0000e-07   4.1000e+03
4.9000e-04   1.1000e-07   4.4545e+03
5.3000e-04   1.2000e-07   4.4167e+03
5.7000e-04   1.3000e-07   4.3846e+03
6.6000e-04   1.4000e-07   4.7143e+03
6.8000e-04   1.5000e-07   4.5333e+03
7.1000e-04   1.6000e-07   4.4375e+03
7.7000e-04   1.7000e-07   4.5294e+03
8.3000e-04   1.8000e-07   4.6111e+03
8.4000e-04   1.9000e-07   4.4211e+03
9.0000e-04   2.0000e-07   4.5000e+03
9.7000e-04   2.1000e-07   4.6190e+03
9.7000e-04   2.2000e-07   4.4091e+03
1.0300e-03   2.3000e-07   4.4783e+03
1.0800e-03   2.4000e-07   4.5000e+03
1.1300e-03   2.5000e-07   4.5200e+03
1.1500e-03   2.6000e-07   4.4231e+03
1.2100e-03   2.7000e-07   4.4815e+03
1.2600e-03   2.8000e-07   4.5000e+03
1.3200e-03   2.9000e-07   4.5517e+03
1.3600e-03   3.0000e-07   4.5333e+03
1.4000e-03   3.1000e-07   4.5161e+03
1.4700e-03   3.2000e-07   4.5938e+03
1.5200e-03   3.3000e-07   4.6061e+03
1.5400e-03   3.4000e-07   4.5294e+03
1.5800e-03   3.5000e-07   4.5143e+03
1.6400e-03   3.6000e-07   4.5556e+03
1.6900e-03   3.7000e-07   4.5676e+03
1.7300e-03   3.8000e-07   4.5526e+03
1.7900e-03   3.9000e-07   4.5897e+03
1.8600e-03   4.0000e-07   4.6500e+03
1.9000e-03   4.1000e-07   4.6341e+03
1.9400e-03   4.2000e-07   4.6190e+03
1.9700e-03   4.3000e-07   4.5814e+03
2.0400e-03   4.4000e-07   4.6364e+03
2.0800e-03   4.5000e-07   4.6222e+03
2.1200e-03   4.6000e-07   4.6087e+03
2.1900e-03   4.7000e-07   4.6596e+03
2.2300e-03   4.8000e-07   4.6458e+03
2.2800e-03   4.9000e-07   4.6531e+03
2.3200e-03   5.0000e-07   4.6400e+03
2.3700e-03   5.1000e-07   4.6471e+03
2.3900e-03   5.2000e-07   4.5962e+03
2.4300e-03   5.3000e-07   4.5849e+03
2.4900e-03   5.4000e-07   4.6111e+03
2.5200e-03   5.5000e-07   4.5818e+03
2.5900e-03   5.6000e-07   4.6250e+03
2.6200e-03   5.7000e-07   4.5965e+03
2.6700e-03   5.8000e-07   4.6034e+03
2.7200e-03   5.9000e-07   4.6102e+03
2.7600e-03   6.0000e-07   4.6000e+03
2.8100e-03   6.1000e-07   4.6066e+03
2.8800e-03   6.2000e-07   4.6452e+03
2.9200e-03   6.3000e-07   4.6349e+03
