  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739912.856525                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   4.8000e-13   0.0000e+00
5.0000e-02   2.2400e-12   2.2321e+10
1.0000e-01   -5.3100e-12   -1.8832e+10
1.5000e-01   9.4700e-12   1.5839e+10
2.0000e-01   -2.3500e-12   -8.5106e+10
2.5000e-01   4.9100e-12   5.0916e+10
3.0000e-01   3.6300e-12   8.2645e+10
3.5000e-01   -2.0000e-14   -1.7500e+13
4.0000e-01   9.3800e-12   4.2644e+10
4.5000e-01   -5.3200e-12   -8.4586e+10
5.0000e-01   7.7300e-12   6.4683e+10
5.5000e-01   5.1700e-12   1.0638e+11
6.0000e-01   9.8600e-12   6.0852e+10
6.5000e-01   1.5330e-11   4.2401e+10
7.0000e-01   3.7400e-12   1.8717e+11
7.5000e-01   2.0150e-11   3.7221e+10
8.0000e-01   5.5600e-12   1.4388e+11
8.5000e-01   1.5160e-11   5.6069e+10
9.0000e-01   2.2970e-11   3.9182e+10
9.5000e-01   2.1700e-11   4.3779e+10
1.0000e+00   4.1850e-11   2.3895e+10
1.0500e+00   2.7170e-11   3.8646e+10
1.1000e+00   5.0370e-11   2.1838e+10
1.1500e+00   5.1800e-11   2.2201e+10
1.2000e+00   6.5460e-11   1.8332e+10
1.2500e+00   8.1950e-11   1.5253e+10
1.3000e+00   7.5520e-11   1.7214e+10
1.3500e+00   1.0035e-10   1.3453e+10
1.4000e+00   1.1541e-10   1.2131e+10
1.4500e+00   1.2874e-10   1.1263e+10
1.5000e+00   1.4288e-10   1.0498e+10
1.5500e+00   1.4785e-10   1.0484e+10
1.6000e+00   1.7964e-10   8.9067e+09
1.6500e+00   1.9575e-10   8.4291e+09
1.7000e+00   2.2314e-10   7.6185e+09
1.7500e+00   2.4673e-10   7.0928e+09
1.8000e+00   1.4793e-10   1.2168e+10
1.8500e+00   3.0504e-10   6.0648e+09
1.9000e+00   3.3780e-10   5.6246e+09
1.9500e+00   3.9771e-10   4.9031e+09
2.0000e+00   4.8032e-10   4.1639e+09
2.0500e+00   2.6338e-09   7.7834e+08
2.1000e+00   2.3721e-09   8.8529e+08
2.1500e+00   2.7881e-09   7.7113e+08
2.2000e+00   3.0719e-09   7.1617e+08
2.2500e+00   3.0999e-09   7.2583e+08
2.3000e+00   4.7397e-09   4.8526e+08
2.3500e+00   1.0794e-08   2.1772e+08
2.4000e+00   1.6757e-08   1.4322e+08
2.4500e+00   2.5680e-08   9.5405e+07
2.5000e+00   2.1416e-07   1.1674e+07
2.5500e+00   1.0000e-06   2.5499e+06
2.6000e+00   9.9996e-07   2.6001e+06
2.6500e+00   9.9996e-07   2.6501e+06
2.7000e+00   9.9996e-07   2.7001e+06
2.7500e+00   9.9996e-07   2.7501e+06
2.8000e+00   9.9996e-07   2.8001e+06
2.8500e+00   9.9998e-07   2.8501e+06
2.9000e+00   9.9998e-07   2.9001e+06
2.9500e+00   9.9996e-07   2.9501e+06
3.0000e+00   9.9996e-07   3.0001e+06
3.0000e+00   9.9992e-07   3.0002e+06
2.9500e+00   9.9998e-07   2.9501e+06
2.9000e+00   9.9998e-07   2.9001e+06
2.8500e+00   9.9996e-07   2.8501e+06
2.8000e+00   9.9996e-07   2.8001e+06
2.7500e+00   9.9998e-07   2.7501e+06
2.7000e+00   9.9998e-07   2.7001e+06
2.6500e+00   9.9996e-07   2.6501e+06
2.6000e+00   9.9998e-07   2.6001e+06
2.5500e+00   9.9996e-07   2.5501e+06
2.5000e+00   9.9996e-07   2.5001e+06
2.4500e+00   9.9996e-07   2.4501e+06
2.4000e+00   9.9994e-07   2.4001e+06
2.3500e+00   9.9996e-07   2.3501e+06
2.3000e+00   9.9998e-07   2.3000e+06
2.2500e+00   9.9998e-07   2.2500e+06
2.2000e+00   9.9998e-07   2.2000e+06
2.1500e+00   9.9996e-07   2.1501e+06
2.1000e+00   9.9996e-07   2.1001e+06
2.0500e+00   9.9994e-07   2.0501e+06
2.0000e+00   9.9996e-07   2.0001e+06
1.9500e+00   9.9996e-07   1.9501e+06
1.9000e+00   9.9996e-07   1.9001e+06
1.8500e+00   9.9994e-07   1.8501e+06
1.8000e+00   9.9998e-07   1.8000e+06
1.7500e+00   9.9996e-07   1.7501e+06
1.7000e+00   9.9998e-07   1.7000e+06
1.6500e+00   9.9996e-07   1.6501e+06
1.6000e+00   9.9998e-07   1.6000e+06
1.5500e+00   9.9998e-07   1.5500e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.4500e+00   9.9996e-07   1.4501e+06
1.4000e+00   9.9996e-07   1.4001e+06
1.3500e+00   9.9998e-07   1.3500e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.2500e+00   9.9998e-07   1.2500e+06
1.2000e+00   9.9994e-07   1.2001e+06
1.1500e+00   9.9996e-07   1.1500e+06
1.1000e+00   9.9994e-07   1.1001e+06
1.0500e+00   9.9996e-07   1.0500e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.5000e-01   9.9996e-07   5.5002e+05
5.0000e-01   9.9998e-07   5.0001e+05
4.5000e-01   9.9996e-07   4.5002e+05
4.0000e-01   9.9996e-07   4.0002e+05
3.5000e-01   9.8906e-07   3.5387e+05
3.0000e-01   8.2070e-07   3.6554e+05
2.5000e-01   5.1926e-07   4.8145e+05
2.0000e-01   4.0174e-07   4.9783e+05
1.5000e-01   2.6984e-07   5.5588e+05
1.0000e-01   1.5172e-07   6.5911e+05
5.0000e-02   1.3256e-09   3.7719e+07
0.0000e+00   -1.6470e-11   -0.0000e+00
0.0000e+00   -2.9700e-12   -0.0000e+00
-5.0000e-02   -3.1900e-12   1.5674e+10
-1.0000e-01   6.2400e-12   -1.6026e+10
-1.5000e-01   -1.2750e-11   1.1765e+10
-2.0000e-01   8.5000e-13   -2.3529e+11
-2.5000e-01   -7.0800e-12   3.5311e+10
-3.0000e-01   -6.5600e-12   4.5732e+10
-3.5000e-01   -3.0500e-12   1.1475e+11
-4.0000e-01   -1.3530e-11   2.9564e+10
-4.5000e-01   3.1100e-12   -1.4469e+11
-5.0000e-01   -1.4250e-11   3.5088e+10
-5.5000e-01   -1.0660e-11   5.1595e+10
-6.0000e-01   -1.3030e-11   4.6048e+10
-6.5000e-01   -2.2720e-11   2.8609e+10
-7.0000e-01   -1.0320e-11   6.7829e+10
-7.5000e-01   -2.6890e-11   2.7891e+10
-8.0000e-01   -2.9170e-11   2.7425e+10
-8.5000e-01   -4.2000e-11   2.0238e+10
-9.0000e-01   -5.6110e-11   1.6040e+10
-9.5000e-01   -5.5560e-11   1.7099e+10
-1.0000e+00   -9.2320e-11   1.0832e+10
-1.0000e+00   -8.1280e-11   1.2303e+10
-9.5000e-01   -6.5380e-11   1.4530e+10
-9.0000e-01   -3.8830e-11   2.3178e+10
-8.5000e-01   -4.1600e-11   2.0433e+10
-8.0000e-01   -2.4820e-11   3.2232e+10
-7.5000e-01   -2.5890e-11   2.8969e+10
-7.0000e-01   -1.5340e-11   4.5632e+10
-6.5000e-01   -3.2000e-12   2.0313e+11
-6.0000e-01   -1.7920e-11   3.3482e+10
-5.5000e-01   -2.2600e-12   2.4336e+11
-5.0000e-01   -7.1300e-12   7.0126e+10
-4.5000e-01   -4.7600e-12   9.4538e+10
-4.0000e-01   4.1300e-12   -9.6852e+10
-3.5000e-01   -8.6200e-12   4.0603e+10
-3.0000e-01   7.3600e-12   -4.0761e+10
-2.5000e-01   -1.8000e-13   1.3889e+12
-2.0000e-01   2.8700e-12   -6.9686e+10
-1.5000e-01   5.0900e-12   -2.9470e+10
-1.0000e-01   -1.6900e-12   5.9172e+10
-5.0000e-02   1.0700e-11   -4.6729e+09
0.0000e+00   -4.7600e-12   -0.0000e+00
