  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739912.840656                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   5.9300e-12   0.0000e+00
5.0000e-02   4.8587e-09   1.0291e+07
1.0000e-01   1.0594e-08   9.4393e+06
1.5000e-01   1.5629e-08   9.5977e+06
2.0000e-01   2.1293e-08   9.3927e+06
2.5000e-01   2.7156e-08   9.2061e+06
3.0000e-01   3.5316e-08   8.4948e+06
3.5000e-01   4.1202e-08   8.4948e+06
4.0000e-01   4.6652e-08   8.5741e+06
4.5000e-01   5.5664e-08   8.0842e+06
5.0000e-01   6.3159e-08   7.9165e+06
5.5000e-01   7.4263e-08   7.4061e+06
6.0000e-01   8.6301e-08   6.9524e+06
6.5000e-01   9.6034e-08   6.7684e+06
7.0000e-01   1.1382e-07   6.1501e+06
7.5000e-01   1.2516e-07   5.9923e+06
8.0000e-01   1.3762e-07   5.8131e+06
8.5000e-01   1.5142e-07   5.6135e+06
9.0000e-01   1.7298e-07   5.2029e+06
9.5000e-01   1.9258e-07   4.9330e+06
1.0000e+00   2.1384e-07   4.6764e+06
1.0500e+00   2.3522e-07   4.4639e+06
1.1000e+00   2.6200e-07   4.1985e+06
1.1500e+00   2.7612e-07   4.1649e+06
1.2000e+00   3.0412e-07   3.9458e+06
1.2500e+00   3.2908e-07   3.7985e+06
1.3000e+00   3.8294e-07   3.3948e+06
1.3500e+00   4.0786e-07   3.3100e+06
1.4000e+00   4.5108e-07   3.1037e+06
1.4500e+00   5.0774e-07   2.8558e+06
1.5000e+00   5.1580e-07   2.9081e+06
1.5500e+00   6.6114e-07   2.3444e+06
1.6000e+00   1.0974e-06   1.4580e+06
1.6500e+00   8.7928e-07   1.8765e+06
1.7000e+00   1.0216e-06   1.6640e+06
1.7500e+00   2.3201e-06   7.5428e+05
1.8000e+00   2.5306e-06   7.1129e+05
1.8500e+00   3.0452e-06   6.0751e+05
1.9000e+00   3.2542e-06   5.8386e+05
1.9500e+00   4.1123e-06   4.7419e+05
2.0000e+00   4.2646e-06   4.6898e+05
2.0000e+00   4.4846e-06   4.4597e+05
1.9500e+00   4.6508e-06   4.1928e+05
1.9000e+00   4.5940e-06   4.1358e+05
1.8500e+00   4.1148e-06   4.4960e+05
1.8000e+00   4.1428e-06   4.3449e+05
1.7500e+00   3.1871e-06   5.4909e+05
1.7000e+00   3.1262e-06   5.4379e+05
1.6500e+00   2.9493e-06   5.5945e+05
