  Measurement Number     Measurement type
                  24                DC IV

      Measurement ID             SeriesID
       739694.702172                   97

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   1.8600e-12   0.0000e+00
5.0000e-02   6.8900e-12   7.2569e+09
1.0000e-01   7.3100e-12   1.3680e+10
1.5000e-01   2.6400e-12   5.6818e+10
2.0000e-01   2.1500e-12   9.3023e+10
2.5000e-01   9.9500e-12   2.5126e+10
3.0000e-01   1.6830e-11   1.7825e+10
3.5000e-01   3.4910e-11   1.0026e+10
4.0000e-01   1.2751e-10   3.1370e+09
4.5000e-01   2.0525e-10   2.1924e+09
5.0000e-01   5.9931e-10   8.3429e+08
5.5000e-01   1.4781e-09   3.7210e+08
6.0000e-01   6.3983e-09   9.3775e+07
6.5000e-01   1.6546e-08   3.9284e+07
7.0000e-01   2.8147e-08   2.4869e+07
7.5000e-01   1.7522e-07   4.2803e+06
8.0000e-01   2.0092e-07   3.9817e+06
8.5000e-01   2.0584e-07   4.1294e+06
9.0000e-01   1.3642e-07   6.5973e+06
9.5000e-01   1.1170e-07   8.5049e+06
1.0000e+00   9.3236e-07   1.0725e+06
1.0500e+00   1.7061e-06   6.1544e+05
1.1000e+00   1.6143e-06   6.8141e+05
1.1500e+00   1.6608e-06   6.9244e+05
1.2000e+00   1.6949e-06   7.0801e+05
1.2500e+00   1.8801e-06   6.6486e+05
1.3000e+00   1.5639e-06   8.3126e+05
1.3500e+00   6.0972e-06   2.2141e+05
1.4000e+00   9.9982e-06   1.4003e+05
1.4500e+00   1.0001e-05   1.4498e+05
1.5000e+00   1.0001e-05   1.4998e+05
1.5000e+00   9.9994e-06   1.5001e+05
1.4500e+00   1.0001e-05   1.4499e+05
1.4000e+00   1.0000e-05   1.4000e+05
1.3500e+00   9.9995e-06   1.3501e+05
1.3000e+00   9.9989e-06   1.3001e+05
1.2500e+00   1.0001e-05   1.2499e+05
1.2000e+00   9.9989e-06   1.2001e+05
1.1500e+00   9.9982e-06   1.1502e+05
1.1000e+00   9.9994e-06   1.1001e+05
1.0500e+00   9.9998e-06   1.0500e+05
1.0000e+00   9.9995e-06   1.0001e+05
9.5000e-01   1.0001e-05   9.4988e+04
9.0000e-01   9.9995e-06   9.0005e+04
8.5000e-01   9.8794e-06   8.6038e+04
8.0000e-01   7.8075e-06   1.0247e+05
7.5000e-01   7.7576e-06   9.6679e+04
7.0000e-01   6.6144e-06   1.0583e+05
6.5000e-01   4.5645e-06   1.4240e+05
6.0000e-01   3.7652e-06   1.5935e+05
5.5000e-01   2.0663e-06   2.6618e+05
5.0000e-01   1.8269e-06   2.7369e+05
4.5000e-01   1.5060e-06   2.9880e+05
4.0000e-01   1.1398e-06   3.5094e+05
3.5000e-01   2.9146e-07   1.2009e+06
3.0000e-01   4.5738e-07   6.5591e+05
2.5000e-01   3.5524e-07   7.0375e+05
2.0000e-01   1.9184e-07   1.0425e+06
1.5000e-01   1.5630e-07   9.5969e+05
1.0000e-01   8.2020e-08   1.2192e+06
5.0000e-02   3.1342e-08   1.5953e+06
0.0000e+00   -1.4430e-11   -0.0000e+00
0.0000e+00   3.5700e-12   0.0000e+00
-5.0000e-02   -7.3300e-12   6.8213e+09
-1.0000e-01   -9.8900e-12   1.0111e+10
-1.5000e-01   -5.1100e-12   2.9354e+10
-2.0000e-01   -3.5600e-12   5.6180e+10
-2.5000e-01   -8.8100e-12   2.8377e+10
-3.0000e-01   -1.8960e-11   1.5823e+10
-3.5000e-01   -2.2460e-11   1.5583e+10
-4.0000e-01   -2.4180e-11   1.6543e+10
-4.5000e-01   -2.7560e-11   1.6328e+10
-5.0000e-01   -3.5630e-11   1.4033e+10
-5.5000e-01   -5.0350e-11   1.0924e+10
-6.0000e-01   -6.4730e-11   9.2693e+09
-6.5000e-01   -7.4440e-11   8.7319e+09
-7.0000e-01   -8.8450e-11   7.9141e+09
-7.5000e-01   -1.1237e-10   6.6744e+09
-8.0000e-01   -1.3957e-10   5.7319e+09
-8.5000e-01   -1.7382e-10   4.8901e+09
-9.0000e-01   -2.8442e-10   3.1643e+09
-9.5000e-01   -3.3891e-10   2.8031e+09
-1.0000e+00   -3.3668e-10   2.9702e+09
-1.0000e+00   -4.1263e-10   2.4235e+09
-9.5000e-01   -2.7703e-10   3.4292e+09
-9.0000e-01   -2.8943e-10   3.1096e+09
-8.5000e-01   -1.5813e-10   5.3753e+09
-8.0000e-01   -1.2298e-10   6.5051e+09
-7.5000e-01   -1.0404e-10   7.2088e+09
-7.0000e-01   -8.9360e-11   7.8335e+09
-6.5000e-01   -6.9050e-11   9.4135e+09
-6.0000e-01   -5.1860e-11   1.1570e+10
-5.5000e-01   -2.9960e-11   1.8358e+10
-5.0000e-01   -3.2290e-11   1.5485e+10
-4.5000e-01   -2.4550e-11   1.8330e+10
-4.0000e-01   -1.8580e-11   2.1529e+10
-3.5000e-01   -7.4000e-12   4.7297e+10
-3.0000e-01   -4.3800e-12   6.8493e+10
-2.5000e-01   -1.1420e-11   2.1891e+10
-2.0000e-01   -4.9600e-12   4.0323e+10
-1.5000e-01   1.4400e-12   -1.0417e+11
-1.0000e-01   7.1100e-12   -1.4065e+10
-5.0000e-02   2.6900e-12   -1.8587e+10
0.0000e+00   -1.5600e-12   -0.0000e+00
