  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739694.700265                   96

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   3.9200e-12   0.0000e+00
5.0000e-02   -2.1700e-12   -2.3041e+10
1.0000e-01   -9.5000e-13   -1.0526e+11
1.5000e-01   3.7100e-12   4.0431e+10
2.0000e-01   8.4900e-12   2.3557e+10
2.5000e-01   1.3650e-11   1.8315e+10
3.0000e-01   1.0500e-11   2.8571e+10
3.5000e-01   1.1510e-11   3.0408e+10
4.0000e-01   1.9860e-11   2.0141e+10
4.5000e-01   2.7800e-11   1.6187e+10
5.0000e-01   3.4980e-11   1.4294e+10
5.5000e-01   3.7200e-11   1.4785e+10
6.0000e-01   4.6070e-11   1.3024e+10
6.5000e-01   6.4930e-11   1.0011e+10
7.0000e-01   8.0580e-11   8.6870e+09
7.5000e-01   9.6140e-11   7.8011e+09
8.0000e-01   1.1306e-10   7.0759e+09
8.5000e-01   1.4201e-10   5.9855e+09
9.0000e-01   5.1490e-10   1.7479e+09
9.5000e-01   6.1715e-10   1.5393e+09
1.0000e+00   2.2939e-09   4.3594e+08
1.0000e+00   2.1143e-09   4.7297e+08
9.5000e-01   2.6792e-09   3.5458e+08
9.0000e-01   2.7818e-07   3.2353e+06
8.5000e-01   2.3526e-07   3.6130e+06
8.0000e-01   2.6658e-07   3.0010e+06
7.5000e-01   2.4834e-07   3.0201e+06
7.0000e-01   1.9278e-07   3.6311e+06
6.5000e-01   1.6970e-07   3.8303e+06
6.0000e-01   1.5962e-07   3.7589e+06
5.5000e-01   1.3126e-07   4.1902e+06
5.0000e-01   1.2000e-07   4.1667e+06
4.5000e-01   1.0542e-07   4.2686e+06
4.0000e-01   8.3320e-08   4.8008e+06
3.5000e-01   6.8075e-08   5.1414e+06
3.0000e-01   2.9326e-08   1.0230e+07
2.5000e-01   3.4778e-10   7.1885e+08
2.0000e-01   5.5600e-12   3.5971e+10
1.5000e-01   -9.1000e-13   -1.6484e+11
1.0000e-01   -3.1600e-12   -3.1646e+10
5.0000e-02   -5.3000e-12   -9.4340e+09
0.0000e+00   -1.0130e-11   -0.0000e+00
0.0000e+00   -2.4200e-12   -0.0000e+00
-5.0000e-02   -7.6000e-12   6.5789e+09
-1.0000e-01   -3.6500e-12   2.7397e+10
-1.5000e-01   -1.9000e-13   7.8947e+11
-2.0000e-01   -1.4800e-12   1.3514e+11
-2.5000e-01   -1.0290e-11   2.4295e+10
-3.0000e-01   -1.7670e-11   1.6978e+10
-3.5000e-01   -1.7960e-11   1.9488e+10
-4.0000e-01   -1.5860e-11   2.5221e+10
-4.5000e-01   -2.4620e-11   1.8278e+10
-5.0000e-01   -3.6240e-11   1.3797e+10
-5.5000e-01   -5.3610e-11   1.0259e+10
-6.0000e-01   -5.8600e-11   1.0239e+10
-6.5000e-01   -6.5630e-11   9.9040e+09
-7.0000e-01   -9.2520e-11   7.5659e+09
-7.5000e-01   -1.6000e-10   4.6875e+09
-8.0000e-01   -1.3285e-10   6.0218e+09
-8.5000e-01   -1.6271e-10   5.2240e+09
-9.0000e-01   -2.6103e-10   3.4479e+09
-9.5000e-01   -2.6951e-10   3.5249e+09
-1.0000e+00   -3.3286e-10   3.0043e+09
-1.0000e+00   -3.6665e-10   2.7274e+09
-9.5000e-01   -2.9483e-10   3.2222e+09
-9.0000e-01   -1.9777e-10   4.5507e+09
-8.5000e-01   -1.5982e-10   5.3185e+09
-8.0000e-01   -1.2813e-10   6.2437e+09
-7.5000e-01   -1.2294e-10   6.1005e+09
-7.0000e-01   -8.5420e-11   8.1948e+09
-6.5000e-01   -7.0940e-11   9.1627e+09
-6.0000e-01   -5.4170e-11   1.1076e+10
-5.5000e-01   -3.7070e-11   1.4837e+10
-5.0000e-01   -2.6950e-11   1.8553e+10
-4.5000e-01   -2.3170e-11   1.9422e+10
-4.0000e-01   -1.9830e-11   2.0171e+10
-3.5000e-01   -9.9600e-12   3.5141e+10
-3.0000e-01   -1.2000e-13   2.5000e+12
-2.5000e-01   -2.5400e-12   9.8425e+10
-2.0000e-01   -6.0700e-12   3.2949e+10
-1.5000e-01   -6.3700e-12   2.3548e+10
-1.0000e-01   1.7700e-12   -5.6497e+10
-5.0000e-02   4.1800e-12   -1.1962e+10
0.0000e+00   1.7000e-12   0.0000e+00
