  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739694.710065                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.9300e-12   0.0000e+00
5.0000e-02   1.4100e-12   3.5461e+10
1.0000e-01   1.3000e-12   7.6923e+10
1.5000e-01   2.0900e-12   7.1770e+10
2.0000e-01   3.8000e-12   5.2632e+10
2.5000e-01   6.2900e-12   3.9746e+10
3.0000e-01   5.9600e-12   5.0336e+10
3.5000e-01   8.4700e-12   4.1322e+10
4.0000e-01   1.4480e-11   2.7624e+10
4.5000e-01   2.0410e-11   2.2048e+10
5.0000e-01   2.5170e-11   1.9865e+10
5.5000e-01   3.2530e-11   1.6907e+10
6.0000e-01   4.1820e-11   1.4347e+10
6.5000e-01   5.2450e-11   1.2393e+10
7.0000e-01   5.9190e-11   1.1826e+10
7.5000e-01   6.7020e-11   1.1191e+10
8.0000e-01   7.7640e-11   1.0304e+10
8.5000e-01   8.9980e-11   9.4465e+09
9.0000e-01   1.0002e-10   8.9982e+09
9.5000e-01   1.1116e-10   8.5462e+09
1.0000e+00   1.2242e-10   8.1686e+09
1.0500e+00   1.3888e-10   7.5605e+09
1.1000e+00   1.5628e-10   7.0386e+09
1.1500e+00   1.6976e-10   6.7743e+09
1.2000e+00   1.8901e-10   6.3489e+09
1.2500e+00   2.0573e-10   6.0759e+09
1.3000e+00   2.7626e-10   4.7057e+09
1.3500e+00   2.9687e-10   4.5474e+09
1.4000e+00   3.2507e-10   4.3068e+09
1.4500e+00   2.3802e-10   6.0919e+09
1.5000e+00   3.2438e-10   4.6242e+09
1.5500e+00   3.5851e-10   4.3234e+09
1.6000e+00   4.0332e-10   3.9671e+09
1.6500e+00   5.7797e-10   2.8548e+09
1.7000e+00   5.3253e-10   3.1923e+09
1.7500e+00   1.1914e-09   1.4689e+09
1.8000e+00   1.6565e-09   1.0866e+09
1.8500e+00   1.8610e-09   9.9409e+08
1.9000e+00   2.1685e-09   8.7618e+08
1.9500e+00   2.6621e-09   7.3250e+08
2.0000e+00   3.9109e-09   5.1139e+08
2.0000e+00   3.1496e-09   6.3500e+08
1.9500e+00   2.2833e-09   8.5403e+08
1.9000e+00   2.0056e-09   9.4735e+08
1.8500e+00   1.3909e-09   1.3301e+09
1.8000e+00   1.1238e-09   1.6017e+09
1.7500e+00   9.1711e-10   1.9082e+09
1.7000e+00   7.5235e-10   2.2596e+09
1.6500e+00   6.3601e-10   2.5943e+09
