  Measurement Number     Measurement type
                  65                DC IV

      Measurement ID             SeriesID
       739694.694840                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.0971e-09   0.0000e+00
5.0000e-02   3.8801e-06   1.2886e+04
1.0000e-01   7.9570e-06   1.2568e+04
1.5000e-01   1.0000e-05   1.5000e+04
2.0000e-01   1.0000e-05   2.0000e+04
2.5000e-01   9.9999e-06   2.5000e+04
3.0000e-01   1.0000e-05   3.0000e+04
3.5000e-01   1.0000e-05   3.5000e+04
4.0000e-01   9.9999e-06   4.0000e+04
4.5000e-01   1.0000e-05   4.5000e+04
5.0000e-01   9.9998e-06   5.0001e+04
5.5000e-01   9.9998e-06   5.5001e+04
6.0000e-01   1.0000e-05   6.0000e+04
6.5000e-01   1.0000e-05   6.5000e+04
7.0000e-01   9.9999e-06   7.0001e+04
7.5000e-01   9.9999e-06   7.5001e+04
8.0000e-01   9.9998e-06   8.0002e+04
8.5000e-01   1.0000e-05   8.4999e+04
9.0000e-01   1.0000e-05   9.0000e+04
9.5000e-01   1.0000e-05   9.5000e+04
1.0000e+00   9.9999e-06   1.0000e+05
1.0000e+00   9.9998e-06   1.0000e+05
9.5000e-01   9.9998e-06   9.5002e+04
9.0000e-01   1.0000e-05   9.0000e+04
8.5000e-01   1.0000e-05   8.5000e+04
8.0000e-01   9.9999e-06   8.0001e+04
7.5000e-01   9.9997e-06   7.5002e+04
7.0000e-01   1.0000e-05   6.9999e+04
6.5000e-01   1.0000e-05   6.5000e+04
6.0000e-01   1.0000e-05   6.0000e+04
5.5000e-01   1.0000e-05   5.5000e+04
5.0000e-01   1.0000e-05   5.0000e+04
4.5000e-01   9.9999e-06   4.5000e+04
4.0000e-01   1.0000e-05   4.0000e+04
3.5000e-01   9.9998e-06   3.5001e+04
3.0000e-01   9.9998e-06   3.0001e+04
2.5000e-01   9.9999e-06   2.5000e+04
2.0000e-01   9.9998e-06   2.0000e+04
1.5000e-01   9.9999e-06   1.5000e+04
1.0000e-01   7.9687e-06   1.2549e+04
5.0000e-02   3.8977e-06   1.2828e+04
0.0000e+00   1.1481e-09   0.0000e+00
0.0000e+00   1.1921e-09   0.0000e+00
-5.0000e-02   -3.9946e-06   1.2517e+04
-1.0000e-01   -8.3028e-06   1.2044e+04
-1.5000e-01   -1.0000e-05   1.5000e+04
-2.0000e-01   -1.0000e-05   2.0000e+04
-2.5000e-01   -1.0000e-05   2.5000e+04
-3.0000e-01   -1.0000e-05   2.9999e+04
-3.5000e-01   -1.0000e-05   3.4999e+04
-4.0000e-01   -1.0000e-05   4.0000e+04
-4.5000e-01   -1.0000e-05   4.5000e+04
-5.0000e-01   -1.0000e-05   4.9999e+04
-5.5000e-01   -1.0000e-05   5.4998e+04
-6.0000e-01   -1.0000e-05   5.9998e+04
-6.5000e-01   -1.0000e-05   6.4997e+04
-7.0000e-01   -1.0000e-05   6.9999e+04
-7.5000e-01   -1.0000e-05   7.4998e+04
-8.0000e-01   -1.0000e-05   7.9998e+04
-8.5000e-01   -1.0000e-05   8.4997e+04
-9.0000e-01   -1.0000e-05   8.9997e+04
-9.5000e-01   -1.0000e-05   9.4997e+04
-1.0000e+00   -1.0000e-05   9.9997e+04
-1.0000e+00   -1.0000e-05   9.9998e+04
-9.5000e-01   -1.0000e-05   9.4996e+04
-9.0000e-01   -1.0000e-05   8.9997e+04
-8.5000e-01   -1.0000e-05   8.4997e+04
-8.0000e-01   -1.0000e-05   7.9998e+04
-7.5000e-01   -1.0000e-05   7.4999e+04
-7.0000e-01   -1.0000e-05   6.9998e+04
-6.5000e-01   -1.0000e-05   6.4997e+04
-6.0000e-01   -1.0000e-05   5.9998e+04
-5.5000e-01   -1.0000e-05   5.4998e+04
-5.0000e-01   -1.0000e-05   4.9999e+04
-4.5000e-01   -1.0000e-05   4.5000e+04
-4.0000e-01   -1.0000e-05   3.9999e+04
-3.5000e-01   -1.0000e-05   3.4999e+04
-3.0000e-01   -1.0000e-05   3.0000e+04
-2.5000e-01   -1.0000e-05   2.4999e+04
-2.0000e-01   -1.0000e-05   1.9999e+04
-1.5000e-01   -1.0000e-05   1.5000e+04
-1.0000e-01   -8.1109e-06   1.2329e+04
-5.0000e-02   -3.9848e-06   1.2548e+04
0.0000e+00   1.0863e-09   0.0000e+00
