  Measurement Number     Measurement type
                  26                DC IV

      Measurement ID             SeriesID
       739694.721122                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -8.0200e-12   -0.0000e+00
5.0000e-02   5.5700e-12   8.9767e+09
1.0000e-01   2.0200e-11   4.9505e+09
1.5000e-01   2.8290e-11   5.3022e+09
2.0000e-01   3.8730e-11   5.1640e+09
2.5000e-01   7.4740e-11   3.3449e+09
3.0000e-01   1.1909e-10   2.5191e+09
3.5000e-01   1.7142e-10   2.0418e+09
4.0000e-01   2.2922e-10   1.7450e+09
4.5000e-01   4.1776e-10   1.0772e+09
5.0000e-01   3.9394e-09   1.2692e+08
5.5000e-01   8.0365e-08   6.8438e+06
6.0000e-01   1.0430e-07   5.7526e+06
6.5000e-01   1.1846e-07   5.4871e+06
7.0000e-01   1.2894e-07   5.4289e+06
7.5000e-01   1.5928e-07   4.7087e+06
8.0000e-01   1.7476e-07   4.5777e+06
8.5000e-01   2.4526e-07   3.4657e+06
9.0000e-01   3.2612e-07   2.7597e+06
9.5000e-01   5.4580e-07   1.7406e+06
1.0000e+00   7.3766e-07   1.3556e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   9.9998e-07   9.5002e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   1.0000e-06   7.9998e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   8.6624e-07   8.0809e+05
6.5000e-01   8.1096e-07   8.0152e+05
6.0000e-01   6.6890e-07   8.9700e+05
5.5000e-01   5.8190e-07   9.4518e+05
5.0000e-01   5.5990e-07   8.9302e+05
4.5000e-01   4.6438e-07   9.6903e+05
4.0000e-01   3.8544e-07   1.0378e+06
3.5000e-01   2.4766e-07   1.4132e+06
3.0000e-01   2.0898e-07   1.4355e+06
2.5000e-01   1.4504e-07   1.7237e+06
2.0000e-01   8.5191e-08   2.3477e+06
1.5000e-01   5.8094e-08   2.5820e+06
1.0000e-01   3.2802e-08   3.0486e+06
5.0000e-02   1.3551e-08   3.6897e+06
0.0000e+00   -3.8130e-11   -0.0000e+00
0.0000e+00   -1.1380e-11   -0.0000e+00
-5.0000e-02   -6.2220e-11   8.0360e+08
-1.0000e-01   -1.2605e-10   7.9334e+08
-1.5000e-01   -2.3172e-10   6.4733e+08
-2.0000e-01   -5.4710e-11   3.6556e+09
-2.5000e-01   -9.6450e-11   2.5920e+09
-3.0000e-01   -1.2315e-10   2.4361e+09
-3.5000e-01   -1.6405e-10   2.1335e+09
-4.0000e-01   -2.3578e-10   1.6965e+09
-4.5000e-01   -3.2476e-10   1.3856e+09
-5.0000e-01   -4.1137e-10   1.2155e+09
-5.5000e-01   -5.2982e-10   1.0381e+09
-6.0000e-01   -6.4376e-10   9.3202e+08
-6.5000e-01   -8.0692e-10   8.0553e+08
-7.0000e-01   -1.0054e-09   6.9624e+08
-7.5000e-01   -1.1890e-09   6.3078e+08
-8.0000e-01   -1.4509e-09   5.5138e+08
-8.5000e-01   -1.7382e-09   4.8901e+08
-9.0000e-01   -2.0646e-09   4.3592e+08
-9.5000e-01   -2.4345e-09   3.9022e+08
-1.0000e+00   -2.8519e-09   3.5064e+08
-1.0000e+00   -2.8747e-09   3.4786e+08
-9.5000e-01   -2.4241e-09   3.9190e+08
-9.0000e-01   -2.0783e-09   4.3305e+08
-8.5000e-01   -1.7318e-09   4.9082e+08
-8.0000e-01   -1.4653e-09   5.4596e+08
-7.5000e-01   -1.2244e-09   6.1254e+08
-7.0000e-01   -9.9890e-10   7.0077e+08
-6.5000e-01   -8.0377e-10   8.0869e+08
-6.0000e-01   -6.3166e-10   9.4988e+08
-5.5000e-01   -5.1012e-10   1.0782e+09
-5.0000e-01   -4.0235e-10   1.2427e+09
-4.5000e-01   -3.1303e-10   1.4376e+09
-4.0000e-01   -2.3404e-10   1.7091e+09
-3.5000e-01   -1.5953e-10   2.1939e+09
-3.0000e-01   -1.0797e-10   2.7785e+09
-2.5000e-01   -7.7260e-11   3.2358e+09
-2.0000e-01   -5.1060e-11   3.9170e+09
-1.5000e-01   -2.0360e-11   7.3674e+09
-1.0000e-01   -3.1500e-12   3.1746e+10
-5.0000e-02   -3.1700e-12   1.5773e+10
0.0000e+00   -5.7000e-12   -0.0000e+00
