  Measurement Number     Measurement type
                  37                DC IV

      Measurement ID             SeriesID
       739694.721910                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   7.0200e-12   0.0000e+00
5.0000e-02   2.9100e-12   1.7182e+10
1.0000e-01   5.4300e-12   1.8416e+10
1.5000e-01   2.7150e-11   5.5249e+09
2.0000e-01   5.6160e-11   3.5613e+09
2.5000e-01   7.7540e-11   3.2241e+09
3.0000e-01   1.0875e-10   2.7586e+09
3.5000e-01   1.5792e-10   2.2163e+09
4.0000e-01   2.3465e-10   1.7047e+09
4.5000e-01   3.3251e-10   1.3533e+09
5.0000e-01   4.2434e-10   1.1783e+09
5.5000e-01   8.4496e-10   6.5092e+08
6.0000e-01   1.3172e-09   4.5551e+08
6.5000e-01   1.6809e-09   3.8670e+08
7.0000e-01   2.0182e-09   3.4684e+08
7.5000e-01   3.3157e-08   2.2620e+07
8.0000e-01   4.1272e-08   1.9384e+07
8.5000e-01   4.2469e-08   2.0015e+07
9.0000e-01   4.9274e-08   1.8265e+07
9.5000e-01   6.5942e-08   1.4407e+07
1.0000e+00   8.4633e-08   1.1816e+07
1.0000e+00   9.1788e-08   1.0895e+07
9.5000e-01   9.2819e-08   1.0235e+07
9.0000e-01   9.4334e-08   9.5406e+06
8.5000e-01   7.7127e-08   1.1021e+07
8.0000e-01   6.1529e-08   1.3002e+07
7.5000e-01   6.0394e-08   1.2418e+07
7.0000e-01   5.1627e-08   1.3559e+07
6.5000e-01   4.9051e-08   1.3251e+07
6.0000e-01   4.3541e-08   1.3780e+07
5.5000e-01   3.8188e-08   1.4402e+07
5.0000e-01   3.3295e-08   1.5017e+07
4.5000e-01   2.7244e-08   1.6517e+07
4.0000e-01   2.4053e-08   1.6630e+07
3.5000e-01   1.5787e-08   2.2170e+07
3.0000e-01   5.4450e-09   5.5096e+07
2.5000e-01   3.4706e-09   7.2034e+07
2.0000e-01   7.0670e-10   2.8301e+08
1.5000e-01   2.2511e-10   6.6634e+08
1.0000e-01   8.2700e-11   1.2092e+09
5.0000e-02   1.7780e-11   2.8121e+09
0.0000e+00   -3.6100e-12   -0.0000e+00
0.0000e+00   -1.9200e-12   -0.0000e+00
-5.0000e-02   -7.1600e-12   6.9832e+09
-1.0000e-01   -1.9760e-11   5.0607e+09
-1.5000e-01   -3.3960e-11   4.4170e+09
-2.0000e-01   -6.3410e-11   3.1541e+09
-2.5000e-01   -8.4500e-11   2.9586e+09
-3.0000e-01   -1.1545e-10   2.5985e+09
-3.5000e-01   -1.6294e-10   2.1480e+09
-4.0000e-01   -2.3700e-10   1.6878e+09
-4.5000e-01   -3.2653e-10   1.3781e+09
-5.0000e-01   -4.0808e-10   1.2252e+09
-5.5000e-01   -5.0713e-10   1.0845e+09
-6.0000e-01   -6.5300e-10   9.1884e+08
-6.5000e-01   -8.2096e-10   7.9176e+08
-7.0000e-01   -9.8120e-10   7.1341e+08
-7.5000e-01   -1.2062e-09   6.2179e+08
-8.0000e-01   -1.4496e-09   5.5188e+08
-8.5000e-01   -1.7456e-09   4.8694e+08
-9.0000e-01   -2.0471e-09   4.3965e+08
-9.5000e-01   -2.3993e-09   3.9595e+08
-1.0000e+00   -2.8332e-09   3.5296e+08
-1.0000e+00   -2.8549e-09   3.5027e+08
-9.5000e-01   -2.4182e-09   3.9285e+08
-9.0000e-01   -2.0395e-09   4.4128e+08
-8.5000e-01   -1.7296e-09   4.9144e+08
-8.0000e-01   -1.4269e-09   5.6066e+08
-7.5000e-01   -1.2089e-09   6.2040e+08
-7.0000e-01   -9.7160e-10   7.2046e+08
-6.5000e-01   -8.0924e-10   8.0322e+08
-6.0000e-01   -6.3804e-10   9.4038e+08
-5.5000e-01   -4.9550e-10   1.1100e+09
-5.0000e-01   -4.0262e-10   1.2419e+09
-4.5000e-01   -3.2105e-10   1.4017e+09
-4.0000e-01   -2.3653e-10   1.6911e+09
-3.5000e-01   -1.7145e-10   2.0414e+09
-3.0000e-01   -1.0449e-10   2.8711e+09
-2.5000e-01   -7.3850e-11   3.3852e+09
-2.0000e-01   -5.3960e-11   3.7064e+09
-1.5000e-01   -2.4400e-11   6.1475e+09
-1.0000e-01   -2.4600e-12   4.0650e+10
-5.0000e-02   -5.4000e-13   9.2593e+10
0.0000e+00   -8.1900e-12   -0.0000e+00
