  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.714143                   49

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -6.3200e-11   -0.0000e+00
5.0000e-02   6.3202e-07   7.9111e+04
1.0000e-01   1.3232e-06   7.5574e+04
1.5000e-01   2.1955e-06   6.8322e+04
2.0000e-01   3.1521e-06   6.3450e+04
2.5000e-01   4.0577e-06   6.1611e+04
3.0000e-01   5.3799e-06   5.5763e+04
3.5000e-01   7.0783e-06   4.9447e+04
4.0000e-01   9.9759e-06   4.0097e+04
4.5000e-01   1.0000e-05   4.5000e+04
5.0000e-01   1.0000e-05   4.9998e+04
5.5000e-01   9.9993e-06   5.5004e+04
6.0000e-01   9.9998e-06   6.0001e+04
6.5000e-01   1.0000e-05   6.5000e+04
7.0000e-01   9.9999e-06   7.0001e+04
7.5000e-01   9.9999e-06   7.5001e+04
8.0000e-01   9.9997e-06   8.0002e+04
8.5000e-01   1.0000e-05   8.5000e+04
9.0000e-01   9.9997e-06   9.0003e+04
9.5000e-01   9.9997e-06   9.5003e+04
1.0000e+00   9.9998e-06   1.0000e+05
1.0000e+00   9.9998e-06   1.0000e+05
9.5000e-01   9.9997e-06   9.5003e+04
9.0000e-01   9.9998e-06   9.0002e+04
8.5000e-01   9.9998e-06   8.5002e+04
8.0000e-01   9.9998e-06   8.0002e+04
7.5000e-01   9.9998e-06   7.5002e+04
7.0000e-01   9.9999e-06   7.0001e+04
6.5000e-01   9.9998e-06   6.5001e+04
6.0000e-01   9.9997e-06   6.0002e+04
5.5000e-01   1.0000e-05   5.5000e+04
5.0000e-01   1.0000e-05   5.0000e+04
4.5000e-01   9.9998e-06   4.5001e+04
4.0000e-01   9.9998e-06   4.0001e+04
3.5000e-01   9.9997e-06   3.5001e+04
3.0000e-01   9.9999e-06   3.0000e+04
2.5000e-01   9.9998e-06   2.5001e+04
2.0000e-01   8.0182e-06   2.4943e+04
1.5000e-01   5.6166e-06   2.6707e+04
1.0000e-01   3.3893e-06   2.9505e+04
5.0000e-02   1.6067e-06   3.1120e+04
0.0000e+00   -7.0850e-11   -0.0000e+00
0.0000e+00   -1.7967e-10   -0.0000e+00
-5.0000e-02   -6.9550e-07   7.1891e+04
-1.0000e-01   -1.4708e-06   6.7990e+04
-1.5000e-01   -2.2860e-06   6.5617e+04
-2.0000e-01   -3.1378e-06   6.3739e+04
-2.5000e-01   -4.1570e-06   6.0140e+04
-3.0000e-01   -5.3723e-06   5.5842e+04
-3.5000e-01   -6.9886e-06   5.0082e+04
-4.0000e-01   -8.1469e-06   4.9098e+04
-4.5000e-01   -9.2959e-06   4.8408e+04
-5.0000e-01   -1.0000e-05   5.0000e+04
-5.5000e-01   -1.0000e-05   5.4999e+04
-6.0000e-01   -1.0000e-05   5.9999e+04
-6.5000e-01   -1.0000e-05   6.4999e+04
-7.0000e-01   -1.0000e-05   6.9999e+04
-7.5000e-01   -1.0000e-05   7.4999e+04
-8.0000e-01   -1.0000e-05   7.9998e+04
-8.5000e-01   -1.0000e-05   8.5000e+04
-9.0000e-01   -1.0000e-05   8.9998e+04
-9.5000e-01   -1.0000e-05   9.4999e+04
-1.0000e+00   -1.0000e-05   1.0000e+05
-1.0000e+00   -1.0000e-05   9.9998e+04
-9.5000e-01   -1.0000e-05   9.5000e+04
-9.0000e-01   -1.0000e-05   8.9997e+04
-8.5000e-01   -1.0000e-05   8.5000e+04
-8.0000e-01   -1.0000e-05   7.9999e+04
-7.5000e-01   -1.0000e-05   7.4999e+04
-7.0000e-01   -1.0000e-05   6.9998e+04
-6.5000e-01   -1.0000e-05   6.4999e+04
-6.0000e-01   -1.0000e-05   6.0000e+04
-5.5000e-01   -1.0000e-05   5.5000e+04
-5.0000e-01   -8.7468e-06   5.7164e+04
-4.5000e-01   -7.7081e-06   5.8380e+04
-4.0000e-01   -6.7487e-06   5.9271e+04
-3.5000e-01   -5.5197e-06   6.3409e+04
-3.0000e-01   -4.5553e-06   6.5857e+04
-2.5000e-01   -3.6667e-06   6.8181e+04
-2.0000e-01   -2.8142e-06   7.1068e+04
-1.5000e-01   -1.9830e-06   7.5643e+04
-1.0000e-01   -1.2006e-06   8.3292e+04
-5.0000e-02   -4.8694e-07   1.0268e+05
0.0000e+00   -3.3380e-11   -0.0000e+00
