  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739694.715321                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   6.5800e-12   0.0000e+00
5.0000e-02   2.0970e-10   2.3844e+08
1.0000e-01   4.4328e-10   2.2559e+08
1.5000e-01   7.6961e-10   1.9490e+08
2.0000e-01   1.1037e-09   1.8121e+08
2.5000e-01   1.4513e-09   1.7226e+08
3.0000e-01   2.1064e-09   1.4242e+08
3.5000e-01   2.3662e-09   1.4792e+08
4.0000e-01   2.7285e-09   1.4660e+08
4.5000e-01   3.3058e-09   1.3612e+08
5.0000e-01   3.9913e-09   1.2527e+08
5.5000e-01   4.3903e-09   1.2528e+08
6.0000e-01   3.9210e-09   1.5302e+08
6.5000e-01   4.2418e-09   1.5324e+08
7.0000e-01   6.1377e-09   1.1405e+08
7.5000e-01   7.2797e-09   1.0303e+08
8.0000e-01   9.6093e-09   8.3253e+07
8.5000e-01   1.0095e-08   8.4197e+07
9.0000e-01   4.2342e-08   2.1256e+07
9.5000e-01   3.4180e-08   2.7794e+07
1.0000e+00   4.4940e-08   2.2252e+07
1.0000e+00   4.1398e-08   2.4156e+07
9.5000e-01   3.6145e-08   2.6283e+07
9.0000e-01   2.9014e-08   3.1020e+07
8.5000e-01   2.1219e-08   4.0058e+07
8.0000e-01   1.9061e-08   4.1971e+07
7.5000e-01   1.7166e-08   4.3690e+07
7.0000e-01   1.2658e-08   5.5299e+07
6.5000e-01   1.1474e-08   5.6652e+07
6.0000e-01   9.9500e-09   6.0302e+07
5.5000e-01   8.6826e-09   6.3345e+07
5.0000e-01   7.4856e-09   6.6795e+07
4.5000e-01   5.9600e-09   7.5503e+07
4.0000e-01   3.7988e-09   1.0530e+08
3.5000e-01   2.2136e-09   1.5811e+08
3.0000e-01   1.0832e-09   2.7696e+08
2.5000e-01   5.2967e-10   4.7199e+08
2.0000e-01   2.8529e-10   7.0104e+08
1.5000e-01   1.6500e-10   9.0909e+08
1.0000e-01   1.1133e-10   8.9823e+08
5.0000e-02   3.5660e-11   1.4021e+09
0.0000e+00   -6.1900e-12   -0.0000e+00
0.0000e+00   1.2100e-12   0.0000e+00
-5.0000e-02   -1.7310e-11   2.8885e+09
-1.0000e-01   -3.5290e-11   2.8337e+09
-1.5000e-01   -2.1760e-10   6.8934e+08
-2.0000e-01   -1.5818e-10   1.2644e+09
-2.5000e-01   -3.2230e-10   7.7567e+08
-3.0000e-01   -5.7944e-10   5.1774e+08
-3.5000e-01   -6.4017e-10   5.4673e+08
-4.0000e-01   -8.6310e-10   4.6345e+08
-4.5000e-01   -9.4000e-10   4.7872e+08
-5.0000e-01   -7.4090e-10   6.7485e+08
-5.5000e-01   -2.2955e-10   2.3960e+09
-6.0000e-01   -3.7953e-10   1.5809e+09
-6.5000e-01   -4.6618e-10   1.3943e+09
-7.0000e-01   -7.7554e-10   9.0260e+08
-7.5000e-01   -9.3731e-10   8.0016e+08
-8.0000e-01   -1.0374e-09   7.7116e+08
-8.5000e-01   -1.3384e-09   6.3509e+08
-9.0000e-01   -1.2447e-09   7.2307e+08
-9.5000e-01   -1.9150e-09   4.9608e+08
-1.0000e+00   -2.2105e-09   4.5239e+08
-1.0000e+00   -2.1862e-09   4.5741e+08
-9.5000e-01   -1.3369e-09   7.1060e+08
-9.0000e-01   -1.2454e-09   7.2266e+08
-8.5000e-01   -1.0595e-09   8.0227e+08
-8.0000e-01   -8.3106e-10   9.6263e+08
-7.5000e-01   -8.6411e-10   8.6795e+08
-7.0000e-01   -7.3511e-10   9.5224e+08
-6.5000e-01   -5.0330e-10   1.2915e+09
-6.0000e-01   -4.1518e-10   1.4452e+09
-5.5000e-01   -3.1604e-10   1.7403e+09
-5.0000e-01   -2.3311e-10   2.1449e+09
-4.5000e-01   -1.6114e-10   2.7926e+09
-4.0000e-01   -1.1228e-10   3.5625e+09
-3.5000e-01   -6.8770e-11   5.0894e+09
-3.0000e-01   -7.3340e-11   4.0905e+09
-2.5000e-01   -3.1110e-11   8.0360e+09
-2.0000e-01   -1.9540e-11   1.0235e+10
-1.5000e-01   2.4300e-12   -6.1728e+10
-1.0000e-01   -6.5000e-13   1.5385e+11
-5.0000e-02   -1.6800e-12   2.9762e+10
0.0000e+00   4.2800e-12   0.0000e+00
