  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739694.674571                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                 -1.5

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   5.7000e-12   0.0000e+00
5.0000e-02   3.0330e-11   1.6485e+09
1.0000e-01   6.4220e-11   1.5571e+09
1.5000e-01   1.1885e-10   1.2621e+09
2.0000e-01   1.7980e-10   1.1123e+09
2.5000e-01   2.2094e-10   1.1315e+09
3.0000e-01   1.1184e-09   2.6824e+08
3.5000e-01   2.5738e-09   1.3599e+08
4.0000e-01   2.9851e-09   1.3400e+08
4.5000e-01   3.3745e-09   1.3335e+08
5.0000e-01   3.8871e-09   1.2863e+08
5.5000e-01   4.2104e-09   1.3063e+08
6.0000e-01   4.7114e-09   1.2735e+08
6.5000e-01   4.3160e-09   1.5060e+08
7.0000e-01   4.6200e-09   1.5152e+08
7.5000e-01   5.1440e-09   1.4580e+08
8.0000e-01   5.5571e-09   1.4396e+08
8.5000e-01   7.4611e-09   1.1392e+08
9.0000e-01   7.6136e-09   1.1821e+08
9.5000e-01   9.2231e-09   1.0300e+08
1.0000e+00   1.0087e-08   9.9141e+07
1.0500e+00   1.1127e-08   9.4363e+07
1.1000e+00   1.2128e-08   9.0698e+07
1.1500e+00   1.3212e-08   8.7041e+07
1.2000e+00   1.4329e-08   8.3744e+07
1.2500e+00   1.5516e-08   8.0560e+07
1.3000e+00   1.6597e-08   7.8329e+07
1.3500e+00   1.8030e-08   7.4874e+07
1.4000e+00   1.9162e-08   7.3060e+07
1.4500e+00   2.0584e-08   7.0442e+07
1.5000e+00   2.2110e-08   6.7841e+07
1.5000e+00   2.2180e-08   6.7630e+07
1.4500e+00   2.0485e-08   7.0784e+07
1.4000e+00   1.8856e-08   7.4245e+07
1.3500e+00   1.8968e-08   7.1173e+07
1.3000e+00   1.7361e-08   7.4881e+07
1.2500e+00   1.5845e-08   7.8888e+07
1.2000e+00   1.4450e-08   8.3044e+07
1.1500e+00   1.3137e-08   8.7539e+07
1.1000e+00   1.2141e-08   9.0599e+07
1.0500e+00   1.1240e-08   9.3420e+07
1.0000e+00   1.0352e-08   9.6600e+07
9.5000e-01   9.6830e-09   9.8110e+07
9.0000e-01   8.8254e-09   1.0198e+08
8.5000e-01   8.0282e-09   1.0588e+08
8.0000e-01   7.1785e-09   1.1144e+08
7.5000e-01   6.5633e-09   1.1427e+08
7.0000e-01   6.0177e-09   1.1632e+08
6.5000e-01   5.0643e-09   1.2835e+08
6.0000e-01   4.5531e-09   1.3178e+08
5.5000e-01   4.0573e-09   1.3556e+08
5.0000e-01   3.7015e-09   1.3508e+08
4.5000e-01   3.0961e-09   1.4534e+08
4.0000e-01   2.7631e-09   1.4476e+08
3.5000e-01   2.3817e-09   1.4695e+08
3.0000e-01   1.9497e-09   1.5387e+08
2.5000e-01   1.5518e-09   1.6110e+08
2.0000e-01   1.2564e-09   1.5918e+08
1.5000e-01   8.5595e-10   1.7524e+08
1.0000e-01   5.1180e-10   1.9539e+08
5.0000e-02   2.6057e-10   1.9189e+08
0.0000e+00   -5.6000e-12   -0.0000e+00
0.0000e+00   -3.2000e-12   -0.0000e+00
-5.0000e-02   -2.9301e-10   1.7064e+08
