  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739694.674353                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   6.0000e-13   0.0000e+00
5.0000e-02   3.1410e-11   1.5918e+09
1.0000e-01   7.6180e-11   1.3127e+09
1.5000e-01   1.2219e-10   1.2276e+09
2.0000e-01   1.6978e-10   1.1780e+09
2.5000e-01   2.0297e-10   1.2317e+09
3.0000e-01   1.1568e-09   2.5934e+08
3.5000e-01   2.2539e-09   1.5529e+08
4.0000e-01   2.4484e-09   1.6337e+08
4.5000e-01   2.7738e-09   1.6223e+08
5.0000e-01   3.2501e-09   1.5384e+08
5.5000e-01   3.4472e-09   1.5955e+08
6.0000e-01   3.9902e-09   1.5037e+08
6.5000e-01   4.2962e-09   1.5130e+08
7.0000e-01   5.0079e-09   1.3978e+08
7.5000e-01   5.6949e-09   1.3170e+08
8.0000e-01   6.1558e-09   1.2996e+08
8.5000e-01   7.2469e-09   1.1729e+08
9.0000e-01   7.7657e-09   1.1589e+08
9.5000e-01   8.2866e-09   1.1464e+08
1.0000e+00   9.1465e-09   1.0933e+08
1.0500e+00   1.0175e-08   1.0319e+08
1.1000e+00   1.1423e-08   9.6295e+07
1.1500e+00   1.2432e-08   9.2502e+07
1.2000e+00   1.3632e-08   8.8029e+07
1.2500e+00   1.6044e-08   7.7911e+07
1.3000e+00   1.7313e-08   7.5086e+07
1.3500e+00   1.9312e-08   6.9905e+07
1.4000e+00   2.0521e-08   6.8221e+07
1.4500e+00   2.2633e-08   6.4066e+07
1.5000e+00   2.4321e-08   6.1675e+07
1.5000e+00   2.4195e-08   6.1997e+07
1.4500e+00   2.1778e-08   6.6582e+07
1.4000e+00   2.0014e-08   6.9951e+07
1.3500e+00   1.8644e-08   7.2409e+07
1.3000e+00   1.7256e-08   7.5337e+07
1.2500e+00   1.5738e-08   7.9425e+07
1.2000e+00   1.4321e-08   8.3794e+07
1.1500e+00   1.1356e-08   1.0126e+08
1.1000e+00   1.0445e-08   1.0532e+08
1.0500e+00   9.4696e-09   1.1088e+08
1.0000e+00   8.6361e-09   1.1579e+08
9.5000e-01   7.9027e-09   1.2021e+08
9.0000e-01   7.0700e-09   1.2730e+08
8.5000e-01   6.7881e-09   1.2522e+08
8.0000e-01   5.9212e-09   1.3511e+08
7.5000e-01   5.6979e-09   1.3163e+08
7.0000e-01   5.1632e-09   1.3557e+08
6.5000e-01   4.6916e-09   1.3855e+08
6.0000e-01   4.1340e-09   1.4514e+08
5.5000e-01   3.7660e-09   1.4604e+08
5.0000e-01   3.3907e-09   1.4746e+08
4.5000e-01   2.8477e-09   1.5802e+08
4.0000e-01   2.4972e-09   1.6018e+08
3.5000e-01   2.0488e-09   1.7083e+08
3.0000e-01   1.5887e-09   1.8883e+08
2.5000e-01   1.3212e-09   1.8922e+08
2.0000e-01   1.0304e-09   1.9410e+08
1.5000e-01   6.5293e-10   2.2973e+08
1.0000e-01   3.9835e-10   2.5104e+08
5.0000e-02   1.9452e-10   2.5704e+08
0.0000e+00   -4.4000e-12   -0.0000e+00
0.0000e+00   -1.1400e-11   -0.0000e+00
-5.0000e-02   -2.6009e-10   1.9224e+08
-1.0000e-01   -5.2661e-10   1.8989e+08
-1.5000e-01   -8.8149e-10   1.7017e+08
-2.0000e-01   -9.9260e-10   2.0149e+08
-2.5000e-01   -1.3705e-09   1.8242e+08
-3.0000e-01   -1.5968e-09   1.8788e+08
-3.5000e-01   -1.9174e-09   1.8254e+08
-4.0000e-01   -2.4767e-09   1.6151e+08
-4.5000e-01   -3.0044e-09   1.4978e+08
-5.0000e-01   -3.6708e-09   1.3621e+08
-5.5000e-01   -4.1741e-09   1.3176e+08
-6.0000e-01   -4.0946e-09   1.4653e+08
-6.5000e-01   -4.3339e-09   1.4998e+08
-7.0000e-01   -5.8053e-09   1.2058e+08
-7.5000e-01   -6.2730e-09   1.1956e+08
-8.0000e-01   -8.1492e-09   9.8169e+07
-8.5000e-01   -7.7191e-09   1.1012e+08
-9.0000e-01   -9.5598e-09   9.4144e+07
-9.5000e-01   -1.2319e-08   7.7119e+07
-1.0000e+00   -1.1192e-08   8.9348e+07
-1.0000e+00   -1.0598e-08   9.4357e+07
-9.5000e-01   -9.9086e-09   9.5876e+07
-9.0000e-01   -8.3244e-09   1.0812e+08
-8.5000e-01   -7.4795e-09   1.1364e+08
-8.0000e-01   -7.0220e-09   1.1393e+08
-7.5000e-01   -6.1397e-09   1.2216e+08
-7.0000e-01   -5.3766e-09   1.3019e+08
-6.5000e-01   -4.3802e-09   1.4840e+08
-6.0000e-01   -4.7101e-09   1.2739e+08
-5.5000e-01   -3.6331e-09   1.5139e+08
-5.0000e-01   -3.5570e-09   1.4057e+08
-4.5000e-01   -2.4868e-09   1.8096e+08
-4.0000e-01   -2.2212e-09   1.8008e+08
-3.5000e-01   -1.8100e-09   1.9337e+08
-3.0000e-01   -1.5613e-09   1.9215e+08
-2.5000e-01   -1.2007e-09   2.0821e+08
-2.0000e-01   -1.0310e-09   1.9399e+08
-1.5000e-01   -1.2802e-10   1.1717e+09
-1.0000e-01   -8.2130e-11   1.2176e+09
-5.0000e-02   -2.8870e-11   1.7319e+09
0.0000e+00   1.0360e-11   0.0000e+00
