  Measurement Number     Measurement type
                 120                DC IV

      Measurement ID             SeriesID
       739694.681304                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.3900e-12   -0.0000e+00
5.0000e-02   2.8040e-09   1.7832e+07
1.0000e-01   5.9819e-09   1.6717e+07
1.5000e-01   9.5841e-09   1.5651e+07
2.0000e-01   1.3044e-08   1.5333e+07
2.5000e-01   1.6934e-08   1.4763e+07
3.0000e-01   2.0944e-08   1.4324e+07
3.5000e-01   2.5085e-08   1.3952e+07
4.0000e-01   2.9634e-08   1.3498e+07
4.5000e-01   3.3366e-08   1.3487e+07
5.0000e-01   3.7823e-08   1.3220e+07
5.5000e-01   4.3586e-08   1.2619e+07
6.0000e-01   5.2561e-08   1.1415e+07
6.5000e-01   8.5215e-06   7.6278e+04
7.0000e-01   9.0251e-06   7.7561e+04
7.5000e-01   9.9995e-06   7.5004e+04
8.0000e-01   9.9988e-06   8.0010e+04
8.5000e-01   9.9998e-06   8.5002e+04
9.0000e-01   9.9999e-06   9.0001e+04
9.5000e-01   9.9995e-06   9.5005e+04
1.0000e+00   9.9994e-06   1.0001e+05
1.0000e+00   9.9996e-06   1.0000e+05
9.5000e-01   1.0000e-05   9.4996e+04
9.0000e-01   9.9998e-06   9.0002e+04
8.5000e-01   9.9997e-06   8.5003e+04
8.0000e-01   1.0000e-05   8.0000e+04
7.5000e-01   1.0000e-05   7.4998e+04
7.0000e-01   9.9994e-06   7.0004e+04
6.5000e-01   9.4868e-06   6.8516e+04
6.0000e-01   8.1293e-06   7.3807e+04
5.5000e-01   7.0836e-06   7.7644e+04
5.0000e-01   6.3186e-06   7.9131e+04
4.5000e-01   5.4353e-06   8.2792e+04
4.0000e-01   3.3372e-06   1.1986e+05
3.5000e-01   2.5348e-06   1.3808e+05
3.0000e-01   2.2535e-06   1.3313e+05
2.5000e-01   1.5955e-06   1.5669e+05
2.0000e-01   1.1715e-06   1.7072e+05
1.5000e-01   6.7068e-07   2.2365e+05
1.0000e-01   4.2014e-07   2.3802e+05
5.0000e-02   1.0748e-07   4.6520e+05
0.0000e+00   -6.6390e-11   -0.0000e+00
0.0000e+00   -6.3970e-11   -0.0000e+00
-5.0000e-02   -6.6991e-08   7.4637e+05
-1.0000e-01   -8.1568e-08   1.2260e+06
-1.5000e-01   -8.9871e-08   1.6691e+06
-2.0000e-01   -1.2558e-07   1.5926e+06
-2.5000e-01   -1.7082e-07   1.4635e+06
-3.0000e-01   -1.6468e-07   1.8217e+06
-3.5000e-01   -1.2546e-07   2.7897e+06
-4.0000e-01   -1.2990e-07   3.0793e+06
-4.5000e-01   -1.2056e-07   3.7326e+06
-5.0000e-01   -1.1716e-07   4.2677e+06
-5.5000e-01   -1.1718e-07   4.6936e+06
-6.0000e-01   -3.2426e-07   1.8504e+06
-6.5000e-01   -3.8968e-07   1.6680e+06
-7.0000e-01   -4.5344e-07   1.5438e+06
-7.5000e-01   -5.2972e-07   1.4158e+06
-8.0000e-01   -5.9354e-07   1.3478e+06
-8.5000e-01   -6.8662e-07   1.2379e+06
-9.0000e-01   -7.5076e-07   1.1988e+06
-9.5000e-01   -9.8458e-07   9.6488e+05
-1.0000e+00   -1.9064e-06   5.2455e+05
-1.0000e+00   -2.5349e-06   3.9449e+05
-9.5000e-01   -2.8825e-06   3.2958e+05
-9.0000e-01   -2.6458e-06   3.4016e+05
-8.5000e-01   -1.8647e-06   4.5584e+05
-8.0000e-01   -1.7283e-06   4.6288e+05
-7.5000e-01   -1.4699e-06   5.1024e+05
-7.0000e-01   -1.1292e-06   6.1991e+05
-6.5000e-01   -9.8360e-07   6.6084e+05
-6.0000e-01   -8.7040e-07   6.8934e+05
-5.5000e-01   -6.6516e-07   8.2687e+05
-5.0000e-01   -5.2596e-07   9.5064e+05
-4.5000e-01   -3.7968e-07   1.1852e+06
-4.0000e-01   -2.1444e-07   1.8653e+06
-3.5000e-01   -2.6662e-07   1.3127e+06
-3.0000e-01   -2.2342e-07   1.3428e+06
-2.5000e-01   -7.8619e-08   3.1799e+06
-2.0000e-01   -3.9724e-08   5.0348e+06
-1.5000e-01   -2.0956e-08   7.1580e+06
-1.0000e-01   -8.9150e-09   1.1217e+07
-5.0000e-02   -3.2010e-09   1.5620e+07
0.0000e+00   1.9060e-11   0.0000e+00
