  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739694.676126                   91

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.6440e-11   0.0000e+00
5.0000e-02   8.2991e-09   6.0247e+06
1.0000e-01   1.7587e-08   5.6860e+06
1.5000e-01   2.7032e-08   5.5490e+06
2.0000e-01   3.7028e-08   5.4013e+06
2.5000e-01   4.9744e-08   5.0258e+06
3.0000e-01   6.2188e-08   4.8241e+06
3.5000e-01   7.8836e-08   4.4396e+06
4.0000e-01   8.8689e-08   4.5102e+06
4.5000e-01   1.0960e-07   4.1058e+06
5.0000e-01   1.2418e-07   4.0264e+06
5.5000e-01   1.4172e-07   3.8809e+06
6.0000e-01   1.6080e-07   3.7313e+06
6.5000e-01   1.7684e-07   3.6756e+06
7.0000e-01   2.1698e-07   3.2261e+06
7.5000e-01   3.1570e-07   2.3757e+06
8.0000e-01   5.5400e-07   1.4440e+06
8.5000e-01   9.0698e-07   9.3718e+05
9.0000e-01   9.9998e-07   9.0002e+05
9.5000e-01   9.9998e-07   9.5002e+05
1.0000e+00   9.9998e-07   1.0000e+06
1.0000e+00   1.0000e-06   1.0000e+06
9.5000e-01   9.9998e-07   9.5002e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.8320e-07   6.1025e+05
5.5000e-01   9.0192e-07   6.0981e+05
5.0000e-01   8.1938e-07   6.1022e+05
4.5000e-01   7.2876e-07   6.1749e+05
4.0000e-01   6.3454e-07   6.3038e+05
3.5000e-01   5.3256e-07   6.5720e+05
3.0000e-01   4.1542e-07   7.2216e+05
2.5000e-01   3.2030e-07   7.8052e+05
2.0000e-01   2.4204e-07   8.2631e+05
1.5000e-01   1.6026e-07   9.3598e+05
1.0000e-01   1.0392e-07   9.6228e+05
5.0000e-02   4.8666e-08   1.0274e+06
0.0000e+00   8.0110e-11   0.0000e+00
0.0000e+00   3.5100e-11   0.0000e+00
-5.0000e-02   -1.9066e-08   2.6224e+06
-1.0000e-01   -3.9164e-08   2.5534e+06
-1.5000e-01   -5.9669e-08   2.5139e+06
-2.0000e-01   -8.6281e-08   2.3180e+06
-2.5000e-01   -7.3841e-08   3.3857e+06
-3.0000e-01   -9.8297e-08   3.0520e+06
-3.5000e-01   -1.2614e-07   2.7747e+06
-4.0000e-01   -1.4680e-07   2.7248e+06
-4.5000e-01   -1.6746e-07   2.6872e+06
-5.0000e-01   -1.6276e-07   3.0720e+06
-5.5000e-01   -2.3114e-07   2.3795e+06
-6.0000e-01   -2.7854e-07   2.1541e+06
-6.5000e-01   -3.2004e-07   2.0310e+06
-7.0000e-01   -3.8518e-07   1.8173e+06
-7.5000e-01   -4.2324e-07   1.7720e+06
-8.0000e-01   -4.8216e-07   1.6592e+06
-8.5000e-01   -5.5184e-07   1.5403e+06
-9.0000e-01   -5.8654e-07   1.5344e+06
-9.5000e-01   -5.9854e-07   1.5872e+06
-1.0000e+00   -5.8256e-07   1.7166e+06
-1.0000e+00   -5.3178e-07   1.8805e+06
-9.5000e-01   -4.6774e-07   2.0310e+06
-9.0000e-01   -4.1956e-07   2.1451e+06
-8.5000e-01   -3.8854e-07   2.1877e+06
-8.0000e-01   -3.4280e-07   2.3337e+06
-7.5000e-01   -2.9306e-07   2.5592e+06
-7.0000e-01   -2.5704e-07   2.7233e+06
-6.5000e-01   -2.3456e-07   2.7711e+06
-6.0000e-01   -2.0624e-07   2.9092e+06
-5.5000e-01   -1.8046e-07   3.0478e+06
-5.0000e-01   -1.5772e-07   3.1702e+06
-4.5000e-01   -1.3168e-07   3.4174e+06
-4.0000e-01   -1.1414e-07   3.5045e+06
-3.5000e-01   -9.4103e-08   3.7193e+06
-3.0000e-01   -7.4040e-08   4.0519e+06
-2.5000e-01   -5.8601e-08   4.2661e+06
-2.0000e-01   -4.3981e-08   4.5474e+06
-1.5000e-01   -3.1242e-08   4.8012e+06
-1.0000e-01   -2.0015e-08   4.9962e+06
-5.0000e-02   -1.0520e-08   4.7527e+06
0.0000e+00   6.9500e-12   0.0000e+00
