	 h	 k	 l	   d	  I
	 0	 0	 2	3.2400	   5
	 1	 0	 1	2.9500	  40
	 0	 1	 2	2.7900	 100
	 1	 1	 1	2.6030	  50
	 1	 1	 2	2.1400	   5
	 1	 2	 0	2.1400	   5
	 1	 2	 1	2.0250	  40
	 1	 0	 3	1.8060	  25
	 1	 1	 3	1.7140	  10
	 2	 0	 0	1.6530	  10
	 0	 3	 2	1.6080	  20
	 1	 3	 1	1.5660	  15
	 1	 2	 3	1.5130	  15
	 2	 1	 2	1.4220	  15
	 2	 2	 0	1.4220	  15
	 0	 2	 4	1.3940	  10
	 1	 1	 5	1.1760	   5
	 2	 1	 4	1.1330	  15
	 1	 4	 3	1.0980	   5
	 3	 1	 0	1.0870	   5
	 2	 4	 0	1.0630	  20
	 0	 4	 4	1.0510	   5
	 0	 5	 2	1.0510	   5
	 1	 5	 1	1.0380	  10
	 2	 4	 2	1.0100	  10
	 1	 3	 5	1.0100	  10
	 2	 3	 4	0.9802	   5
