  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739694.697332                   55

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.8900e-12   0.0000e+00
5.0000e-02   7.6200e-12   6.5617e+09
1.0000e-01   1.6850e-11   5.9347e+09
1.5000e-01   4.2890e-11   3.4973e+09
2.0000e-01   6.4930e-11   3.0802e+09
2.5000e-01   9.5790e-11   2.6099e+09
3.0000e-01   1.1246e-10   2.6676e+09
3.5000e-01   1.5177e-10   2.3061e+09
4.0000e-01   2.0860e-10   1.9175e+09
4.5000e-01   2.8028e-10   1.6055e+09
5.0000e-01   3.5686e-10   1.4011e+09
5.5000e-01   4.7027e-10   1.1695e+09
6.0000e-01   6.7385e-10   8.9041e+08
6.5000e-01   8.1564e-10   7.9692e+08
7.0000e-01   9.1100e-10   7.6839e+08
7.5000e-01   1.1406e-09   6.5755e+08
8.0000e-01   1.4340e-09   5.5788e+08
8.5000e-01   1.6542e-09   5.1384e+08
9.0000e-01   1.9806e-09   4.5441e+08
9.5000e-01   1.6072e-08   5.9108e+07
1.0000e+00   1.3275e-08   7.5328e+07
1.0000e+00   1.1450e-08   8.7338e+07
9.5000e-01   1.1632e-08   8.1673e+07
9.0000e-01   1.8468e-08   4.8732e+07
8.5000e-01   2.4793e-08   3.4283e+07
8.0000e-01   2.4011e-08   3.3318e+07
7.5000e-01   1.9540e-08   3.8383e+07
7.0000e-01   1.6874e-08   4.1484e+07
6.5000e-01   1.5259e-08   4.2599e+07
6.0000e-01   1.2857e-08   4.6667e+07
5.5000e-01   1.1184e-08   4.9176e+07
5.0000e-01   7.5972e-09   6.5814e+07
4.5000e-01   5.2966e-09   8.4960e+07
4.0000e-01   4.5785e-09   8.7365e+07
3.5000e-01   3.5875e-09   9.7561e+07
3.0000e-01   3.3510e-09   8.9526e+07
2.5000e-01   1.7327e-09   1.4428e+08
2.0000e-01   9.6000e-10   2.0833e+08
1.5000e-01   2.8202e-10   5.3188e+08
1.0000e-01   8.3120e-11   1.2031e+09
5.0000e-02   2.8910e-11   1.7295e+09
0.0000e+00   -1.7200e-12   -0.0000e+00
0.0000e+00   6.4700e-12   0.0000e+00
-5.0000e-02   -1.0500e-11   4.7619e+09
-1.0000e-01   -3.0390e-11   3.2906e+09
-1.5000e-01   -5.3630e-11   2.7969e+09
-2.0000e-01   -6.5770e-11   3.0409e+09
-2.5000e-01   -8.8430e-11   2.8271e+09
-3.0000e-01   -1.2767e-10   2.3498e+09
-3.5000e-01   -1.8061e-10   1.9379e+09
-4.0000e-01   -2.3350e-10   1.7131e+09
-4.5000e-01   -2.8653e-10   1.5705e+09
-5.0000e-01   -3.8419e-10   1.3014e+09
-5.5000e-01   -5.9724e-10   9.2090e+08
-6.0000e-01   -6.2261e-10   9.6369e+08
-6.5000e-01   -7.7367e-10   8.4015e+08
-7.0000e-01   -9.4722e-10   7.3900e+08
-7.5000e-01   -1.2023e-09   6.2380e+08
-8.0000e-01   -1.4744e-09   5.4259e+08
-8.5000e-01   -1.7680e-09   4.8077e+08
-9.0000e-01   -1.9779e-09   4.5503e+08
-9.5000e-01   -2.3356e-09   4.0675e+08
-1.0000e+00   -2.7514e-09   3.6345e+08
-1.0000e+00   -2.7534e-09   3.6319e+08
-9.5000e-01   -2.3767e-09   3.9971e+08
-9.0000e-01   -2.2703e-09   3.9642e+08
-8.5000e-01   -1.7171e-09   4.9502e+08
-8.0000e-01   -1.4405e-09   5.5536e+08
-7.5000e-01   -1.4116e-09   5.3131e+08
-7.0000e-01   -1.1444e-09   6.1167e+08
-6.5000e-01   -7.6776e-10   8.4662e+08
-6.0000e-01   -6.2087e-10   9.6639e+08
-5.5000e-01   -4.8409e-10   1.1362e+09
-5.0000e-01   -3.9191e-10   1.2758e+09
-4.5000e-01   -2.9640e-10   1.5182e+09
-4.0000e-01   -2.3031e-10   1.7368e+09
-3.5000e-01   -1.5859e-10   2.2069e+09
-3.0000e-01   -1.2705e-10   2.3613e+09
-2.5000e-01   -9.3920e-11   2.6618e+09
-2.0000e-01   -6.7210e-11   2.9757e+09
-1.5000e-01   -3.6740e-11   4.0827e+09
-1.0000e-01   -1.7790e-11   5.6211e+09
-5.0000e-02   -1.1510e-11   4.3440e+09
0.0000e+00   -7.1500e-12   -0.0000e+00
