  Measurement Number     Measurement type
                  19                DC IV

      Measurement ID             SeriesID
       739694.701476                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   4.2700e-12   0.0000e+00
5.0000e-02   7.8400e-12   6.3776e+09
1.0000e-01   4.8500e-12   2.0619e+10
1.5000e-01   1.3000e-13   1.1538e+12
2.0000e-01   4.1400e-12   4.8309e+10
2.5000e-01   1.1180e-11   2.2361e+10
3.0000e-01   2.1370e-11   1.4038e+10
3.5000e-01   1.7810e-11   1.9652e+10
4.0000e-01   2.0080e-11   1.9920e+10
4.5000e-01   2.3250e-11   1.9355e+10
5.0000e-01   3.4500e-11   1.4493e+10
5.5000e-01   4.6880e-11   1.1732e+10
6.0000e-01   5.2730e-11   1.1379e+10
6.5000e-01   6.1480e-11   1.0573e+10
7.0000e-01   7.7990e-11   8.9755e+09
7.5000e-01   1.0345e-10   7.2499e+09
8.0000e-01   1.2516e-10   6.3918e+09
8.5000e-01   1.5048e-10   5.6486e+09
9.0000e-01   1.7258e-10   5.2150e+09
9.5000e-01   2.1367e-10   4.4461e+09
1.0000e+00   2.6160e-10   3.8226e+09
1.0500e+00   2.9830e-10   3.5199e+09
1.1000e+00   3.5397e-10   3.1076e+09
1.1500e+00   9.4742e-10   1.2138e+09
1.2000e+00   1.7040e-09   7.0423e+08
1.2500e+00   2.5464e-09   4.9089e+08
1.3000e+00   3.7297e-09   3.4855e+08
1.3500e+00   3.1277e-08   4.3163e+07
1.4000e+00   4.1737e-08   3.3543e+07
1.4500e+00   5.0840e-08   2.8521e+07
1.5000e+00   8.4620e-08   1.7726e+07
1.5000e+00   8.9332e-08   1.6791e+07
1.4500e+00   6.3071e-08   2.2990e+07
1.4000e+00   6.1347e-08   2.2821e+07
1.3500e+00   4.3616e-08   3.0952e+07
1.3000e+00   3.9950e-08   3.2541e+07
1.2500e+00   3.5739e-08   3.4975e+07
1.2000e+00   3.7715e-08   3.1818e+07
1.1500e+00   2.8738e-08   4.0017e+07
1.1000e+00   2.6250e-08   4.1905e+07
1.0500e+00   2.3479e-08   4.4720e+07
1.0000e+00   1.9066e-08   5.2450e+07
9.5000e-01   1.6303e-08   5.8272e+07
9.0000e-01   1.5728e-08   5.7222e+07
8.5000e-01   1.2878e-08   6.6004e+07
8.0000e-01   1.0832e-08   7.3857e+07
7.5000e-01   9.6218e-09   7.7948e+07
7.0000e-01   8.4472e-09   8.2868e+07
6.5000e-01   6.6822e-09   9.7273e+07
6.0000e-01   4.7976e-09   1.2506e+08
5.5000e-01   3.5684e-09   1.5413e+08
5.0000e-01   2.9545e-09   1.6923e+08
4.5000e-01   2.5376e-09   1.7733e+08
4.0000e-01   1.9641e-09   2.0366e+08
3.5000e-01   1.1884e-09   2.9451e+08
3.0000e-01   8.2690e-10   3.6280e+08
2.5000e-01   8.6900e-12   2.8769e+10
2.0000e-01   4.7400e-12   4.2194e+10
1.5000e-01   6.3900e-12   2.3474e+10
1.0000e-01   5.0000e-14   2.0000e+12
5.0000e-02   -3.5000e-12   -1.4286e+10
0.0000e+00   -9.5800e-12   -0.0000e+00
0.0000e+00   3.4300e-12   0.0000e+00
-5.0000e-02   -4.1500e-12   1.2048e+10
-1.0000e-01   -1.3510e-11   7.4019e+09
-1.5000e-01   -8.2900e-12   1.8094e+10
-2.0000e-01   -4.7300e-12   4.2283e+10
-2.5000e-01   -1.3380e-11   1.8685e+10
-3.0000e-01   -2.0170e-11   1.4874e+10
-3.5000e-01   -1.6400e-11   2.1341e+10
-4.0000e-01   -1.9400e-11   2.0619e+10
-4.5000e-01   -2.9370e-11   1.5322e+10
-5.0000e-01   -3.5580e-11   1.4053e+10
-5.5000e-01   -5.1930e-11   1.0591e+10
-6.0000e-01   -5.3360e-11   1.1244e+10
-6.5000e-01   -6.1700e-11   1.0535e+10
-7.0000e-01   -9.3160e-11   7.5140e+09
-7.5000e-01   -1.1083e-10   6.7671e+09
-8.0000e-01   -1.3427e-10   5.9581e+09
-8.5000e-01   -1.6434e-10   5.1722e+09
-9.0000e-01   -2.4204e-10   3.7184e+09
-9.5000e-01   -3.0792e-10   3.0852e+09
-1.0000e+00   -2.9220e-10   3.4223e+09
-1.0000e+00   -2.7955e-10   3.5772e+09
-9.5000e-01   -2.3891e-10   3.9764e+09
-9.0000e-01   -1.9102e-10   4.7115e+09
-8.5000e-01   -1.5499e-10   5.4842e+09
-8.0000e-01   -1.3204e-10   6.0588e+09
-7.5000e-01   -1.0532e-10   7.1212e+09
-7.0000e-01   -8.6120e-11   8.1282e+09
-6.5000e-01   -7.1280e-11   9.1190e+09
-6.0000e-01   -5.0490e-11   1.1884e+10
-5.5000e-01   -3.6570e-11   1.5040e+10
-5.0000e-01   -2.4420e-11   2.0475e+10
-4.5000e-01   -2.3220e-11   1.9380e+10
-4.0000e-01   -2.1000e-11   1.9048e+10
-3.5000e-01   -1.3200e-11   2.6515e+10
-3.0000e-01   -5.6300e-12   5.3286e+10
-2.5000e-01   4.5100e-12   -5.5432e+10
-2.0000e-01   -1.4200e-12   1.4085e+11
-1.5000e-01   -2.4600e-12   6.0976e+10
-1.0000e-01   -3.7700e-12   2.6525e+10
-5.0000e-02   3.8200e-12   -1.3089e+10
0.0000e+00   1.0030e-11   0.0000e+00
