  Measurement Number     Measurement type
                  35                DC IV

      Measurement ID             SeriesID
       739694.703164                   97

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   4.1800e-12   0.0000e+00
5.0000e-02   5.8200e-12   8.5911e+09
1.0000e-01   1.1200e-12   8.9286e+10
1.5000e-01   -2.1100e-12   -7.1090e+10
2.0000e-01   3.4800e-12   5.7471e+10
2.5000e-01   1.3730e-11   1.8208e+10
3.0000e-01   1.3960e-11   2.1490e+10
3.5000e-01   1.2310e-11   2.8432e+10
4.0000e-01   2.2280e-11   1.7953e+10
4.5000e-01   3.3780e-11   1.3321e+10
5.0000e-01   3.8420e-11   1.3014e+10
5.5000e-01   4.6370e-11   1.1861e+10
6.0000e-01   5.6510e-11   1.0618e+10
6.5000e-01   6.4730e-11   1.0042e+10
7.0000e-01   8.3230e-11   8.4104e+09
7.5000e-01   1.0818e-10   6.9329e+09
8.0000e-01   1.2634e-10   6.3321e+09
8.5000e-01   1.4929e-10   5.6936e+09
9.0000e-01   1.7129e-10   5.2542e+09
9.5000e-01   2.0992e-10   4.5255e+09
1.0000e+00   2.5163e-10   3.9741e+09
1.0500e+00   3.0658e-10   3.4249e+09
1.1000e+00   3.4551e-10   3.1837e+09
1.1500e+00   2.2188e-08   5.1830e+07
1.2000e+00   2.6098e-08   4.5981e+07
1.2500e+00   2.9557e-08   4.2291e+07
1.3000e+00   3.4575e-08   3.7600e+07
1.3500e+00   3.6394e-08   3.7094e+07
1.4000e+00   3.8604e-08   3.6265e+07
1.4500e+00   4.6902e-08   3.0915e+07
1.5000e+00   4.8876e-08   3.0690e+07
1.5000e+00   5.9488e-08   2.5215e+07
1.4500e+00   4.5752e-08   3.1692e+07
1.4000e+00   4.1865e-08   3.3441e+07
1.3500e+00   3.9996e-08   3.3753e+07
1.3000e+00   4.7717e-08   2.7244e+07
1.2500e+00   4.9169e-08   2.5422e+07
1.2000e+00   4.1030e-08   2.9247e+07
1.1500e+00   3.4433e-08   3.3399e+07
1.1000e+00   3.1092e-08   3.5379e+07
1.0500e+00   2.4949e-08   4.2087e+07
1.0000e+00   2.1834e-08   4.5800e+07
9.5000e-01   1.4391e-08   6.6014e+07
9.0000e-01   1.5353e-08   5.8621e+07
8.5000e-01   1.3019e-08   6.5288e+07
8.0000e-01   1.1744e-08   6.8118e+07
7.5000e-01   1.0046e-08   7.4654e+07
7.0000e-01   9.4392e-09   7.4159e+07
6.5000e-01   8.1791e-09   7.9471e+07
6.0000e-01   5.7446e-09   1.0445e+08
5.5000e-01   4.2894e-09   1.2822e+08
5.0000e-01   3.7578e-09   1.3306e+08
4.5000e-01   2.8106e-09   1.6011e+08
4.0000e-01   2.0022e-09   1.9978e+08
3.5000e-01   1.2940e-09   2.7048e+08
3.0000e-01   6.7200e-10   4.4643e+08
2.5000e-01   2.5678e-10   9.7360e+08
2.0000e-01   1.1848e-10   1.6880e+09
1.5000e-01   1.0180e-11   1.4735e+10
1.0000e-01   3.4000e-13   2.9412e+11
5.0000e-02   -6.2000e-13   -8.0645e+10
0.0000e+00   -3.3300e-12   -0.0000e+00
0.0000e+00   4.4300e-12   0.0000e+00
-5.0000e-02   -4.3300e-12   1.1547e+10
-1.0000e-01   -1.1420e-11   8.7566e+09
-1.5000e-01   -1.2750e-11   1.1765e+10
-2.0000e-01   -1.0460e-11   1.9120e+10
-2.5000e-01   -1.0760e-11   2.3234e+10
-3.0000e-01   -1.7830e-11   1.6826e+10
-3.5000e-01   -2.4600e-11   1.4228e+10
-4.0000e-01   -3.3920e-11   1.1792e+10
-4.5000e-01   -3.2250e-11   1.3953e+10
-5.0000e-01   -3.6470e-11   1.3710e+10
-5.5000e-01   -4.3760e-11   1.2569e+10
-6.0000e-01   -6.2780e-11   9.5572e+09
-6.5000e-01   -7.3130e-11   8.8883e+09
-7.0000e-01   -9.3140e-11   7.5156e+09
-7.5000e-01   -1.1420e-10   6.5674e+09
-8.0000e-01   -2.1314e-10   3.7534e+09
-8.5000e-01   -1.5871e-10   5.3557e+09
-9.0000e-01   -1.9655e-10   4.5790e+09
-9.5000e-01   -3.3821e-10   2.8089e+09
-1.0000e+00   -3.9825e-10   2.5110e+09
-1.0000e+00   -4.0344e-10   2.4787e+09
-9.5000e-01   -2.8576e-10   3.3245e+09
-9.0000e-01   -3.0524e-10   2.9485e+09
-8.5000e-01   -2.4195e-10   3.5131e+09
-8.0000e-01   -1.5014e-10   5.3284e+09
-7.5000e-01   -9.8590e-11   7.6073e+09
-7.0000e-01   -9.3240e-11   7.5075e+09
-6.5000e-01   -7.1930e-11   9.0366e+09
-6.0000e-01   -5.0860e-11   1.1797e+10
-5.5000e-01   -3.6850e-11   1.4925e+10
-5.0000e-01   -2.7760e-11   1.8012e+10
-4.5000e-01   -2.6640e-11   1.6892e+10
-4.0000e-01   -2.6410e-11   1.5146e+10
-3.5000e-01   -1.3970e-11   2.5054e+10
-3.0000e-01   -5.3200e-12   5.6391e+10
-2.5000e-01   -4.0400e-12   6.1881e+10
-2.0000e-01   -4.9900e-12   4.0080e+10
-1.5000e-01   -5.9500e-12   2.5210e+10
-1.0000e-01   6.1000e-13   -1.6393e+11
-5.0000e-02   8.4400e-12   -5.9242e+09
0.0000e+00   4.1200e-12   0.0000e+00
