  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.708916                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   8.2500e-12   0.0000e+00
5.0000e-02   8.2700e-12   6.0459e+09
1.0000e-01   1.0700e-11   9.3458e+09
1.5000e-01   1.7940e-11   8.3612e+09
2.0000e-01   3.6790e-11   5.4363e+09
2.5000e-01   5.0850e-11   4.9164e+09
3.0000e-01   5.7110e-11   5.2530e+09
3.5000e-01   7.3120e-11   4.7867e+09
4.0000e-01   1.1521e-10   3.4719e+09
4.5000e-01   1.6853e-10   2.6701e+09
5.0000e-01   2.1981e-10   2.2747e+09
5.5000e-01   2.6955e-10   2.0404e+09
6.0000e-01   3.5364e-10   1.6966e+09
6.5000e-01   4.4631e-10   1.4564e+09
7.0000e-01   5.7050e-10   1.2270e+09
7.5000e-01   6.8397e-10   1.0965e+09
8.0000e-01   8.3463e-10   9.5851e+08
8.5000e-01   9.9570e-10   8.5367e+08
9.0000e-01   1.1988e-09   7.5075e+08
9.5000e-01   2.0944e-09   4.5359e+08
1.0000e+00   2.4892e-09   4.0174e+08
1.0000e+00   2.6025e-09   3.8425e+08
9.5000e-01   2.2934e-09   4.1423e+08
9.0000e-01   1.9203e-09   4.6868e+08
8.5000e-01   1.7277e-09   4.9198e+08
8.0000e-01   1.4491e-09   5.5207e+08
7.5000e-01   1.0360e-09   7.2394e+08
7.0000e-01   7.3734e-10   9.4936e+08
6.5000e-01   7.9300e-10   8.1967e+08
6.0000e-01   6.2379e-10   9.6186e+08
5.5000e-01   4.5735e-10   1.2026e+09
5.0000e-01   3.6266e-10   1.3787e+09
4.5000e-01   2.6780e-10   1.6804e+09
4.0000e-01   2.0941e-10   1.9101e+09
3.5000e-01   1.4468e-10   2.4191e+09
3.0000e-01   1.1022e-10   2.7218e+09
2.5000e-01   6.2680e-11   3.9885e+09
2.0000e-01   4.6660e-11   4.2863e+09
1.5000e-01   3.2980e-11   4.5482e+09
1.0000e-01   1.9760e-11   5.0607e+09
5.0000e-02   -4.2100e-12   -1.1876e+10
0.0000e+00   -6.6500e-12   -0.0000e+00
0.0000e+00   1.2000e-13   0.0000e+00
-5.0000e-02   -1.9700e-12   2.5381e+10
-1.0000e-01   -1.5600e-11   6.4103e+09
-1.5000e-01   -2.6170e-11   5.7318e+09
-2.0000e-01   -2.4290e-11   8.2338e+09
-2.5000e-01   -3.1010e-11   8.0619e+09
-3.0000e-01   -5.6480e-11   5.3116e+09
-3.5000e-01   -8.2640e-11   4.2352e+09
-4.0000e-01   -1.1661e-10   3.4302e+09
-4.5000e-01   -1.4194e-10   3.1704e+09
-5.0000e-01   -1.8951e-10   2.6384e+09
-5.5000e-01   -2.1637e-10   2.5419e+09
-6.0000e-01   -3.1311e-10   1.9163e+09
-6.5000e-01   -3.9819e-10   1.6324e+09
-7.0000e-01   -4.9031e-10   1.4277e+09
-7.5000e-01   -5.9099e-10   1.2691e+09
-8.0000e-01   -7.8224e-10   1.0227e+09
-8.5000e-01   -9.8070e-10   8.6673e+08
-9.0000e-01   -1.2380e-09   7.2698e+08
-9.5000e-01   -1.5384e-09   6.1752e+08
-1.0000e+00   -1.7848e-09   5.6029e+08
-1.0000e+00   -1.7764e-09   5.6294e+08
-9.5000e-01   -1.4394e-09   6.6000e+08
-9.0000e-01   -1.1620e-09   7.7453e+08
-8.5000e-01   -9.1884e-10   9.2508e+08
-8.0000e-01   -7.2892e-10   1.0975e+09
-7.5000e-01   -5.9350e-10   1.2637e+09
-7.0000e-01   -4.5774e-10   1.5293e+09
-6.5000e-01   -3.5877e-10   1.8117e+09
-6.0000e-01   -3.0328e-10   1.9784e+09
-5.5000e-01   -2.3130e-10   2.3779e+09
-5.0000e-01   -1.8844e-10   2.6534e+09
-4.5000e-01   -1.4236e-10   3.1610e+09
-4.0000e-01   -1.1010e-10   3.6331e+09
-3.5000e-01   -7.5940e-11   4.6089e+09
-3.0000e-01   -4.3430e-11   6.9077e+09
-2.5000e-01   -3.2960e-11   7.5850e+09
-2.0000e-01   -2.4650e-11   8.1136e+09
-1.5000e-01   -2.2400e-11   6.6964e+09
-1.0000e-01   -6.3000e-12   1.5873e+10
-5.0000e-02   7.3000e-12   -6.8493e+09
0.0000e+00   1.3100e-11   0.0000e+00
