  Measurement Number     Measurement type
                  17                DC IV

      Measurement ID             SeriesID
       739694.719636                   43

         MeasureMode                Bias1                Bias2
                   2                    1                 -0.5

                Step  Positive compliance  Negative compliance
                0.01                1e-06                1e-06

  RealMeasuredPoints
                 304

        Bias        Current     Resistance
0.0000e+00   -8.7800e-12   -0.0000e+00
1.0000e-02   6.7700e-12   1.4771e+09
2.0000e-02   1.0580e-11   1.8904e+09
3.0000e-02   6.5800e-12   4.5593e+09
4.0000e-02   2.0000e-12   2.0000e+10
5.0000e-02   9.2400e-12   5.4113e+09
6.0000e-02   1.7200e-11   3.4884e+09
7.0000e-02   7.3000e-12   9.5890e+09
8.0000e-02   4.6200e-12   1.7316e+10
9.0000e-02   1.2980e-11   6.9337e+09
1.0000e-01   2.2380e-11   4.4683e+09
1.1000e-01   1.0890e-11   1.0101e+10
1.2000e-01   1.0880e-11   1.1029e+10
1.3000e-01   2.3060e-11   5.6375e+09
1.4000e-01   3.5890e-11   3.9008e+09
1.5000e-01   3.0240e-11   4.9603e+09
1.6000e-01   2.6880e-11   5.9524e+09
1.7000e-01   4.1400e-11   4.1063e+09
1.8000e-01   4.0940e-11   4.3967e+09
1.9000e-01   4.0990e-11   4.6353e+09
2.0000e-01   3.9550e-11   5.0569e+09
2.1000e-01   5.5350e-11   3.7940e+09
2.2000e-01   6.0160e-11   3.6569e+09
2.3000e-01   5.9500e-11   3.8655e+09
2.4000e-01   7.3040e-11   3.2859e+09
2.5000e-01   8.5830e-11   2.9127e+09
2.6000e-01   7.8300e-11   3.3206e+09
2.7000e-01   8.3730e-11   3.2247e+09
2.8000e-01   1.0473e-10   2.6735e+09
2.9000e-01   1.0413e-10   2.7850e+09
3.0000e-01   1.1096e-10   2.7037e+09
3.1000e-01   1.3479e-10   2.2999e+09
3.2000e-01   1.4421e-10   2.2190e+09
3.3000e-01   1.4074e-10   2.3447e+09
3.4000e-01   1.4649e-10   2.3210e+09
3.5000e-01   1.7608e-10   1.9877e+09
3.6000e-01   1.9614e-10   1.8354e+09
3.7000e-01   2.0082e-10   1.8424e+09
3.8000e-01   2.0627e-10   1.8422e+09
3.9000e-01   2.3539e-10   1.6568e+09
4.0000e-01   2.7030e-10   1.4798e+09
4.1000e-01   4.6170e-07   8.8802e+05
4.2000e-01   4.9346e-07   8.5113e+05
4.3000e-01   5.0110e-07   8.5811e+05
4.4000e-01   5.3346e-07   8.2480e+05
4.5000e-01   5.5604e-07   8.0929e+05
4.6000e-01   6.0132e-07   7.6498e+05
4.7000e-01   6.0976e-07   7.7080e+05
4.8000e-01   6.6842e-07   7.1811e+05
4.9000e-01   6.6260e-07   7.3951e+05
5.0000e-01   1.9050e-07   2.6247e+06
5.1000e-01   6.6984e-07   7.6138e+05
5.2000e-01   4.3894e-07   1.1847e+06
5.3000e-01   3.8530e-07   1.3756e+06
5.4000e-01   3.9752e-07   1.3584e+06
5.5000e-01   6.7670e-07   8.1277e+05
5.6000e-01   7.2314e-07   7.7440e+05
5.7000e-01   5.9180e-07   9.6316e+05
5.8000e-01   2.9722e-07   1.9514e+06
5.9000e-01   7.3996e-07   7.9734e+05
6.0000e-01   5.8528e-07   1.0252e+06
6.1000e-01   5.8910e-07   1.0355e+06
6.2000e-01   6.2258e-07   9.9586e+05
6.3000e-01   6.8878e-07   9.1466e+05
6.4000e-01   9.9998e-07   6.4001e+05
6.5000e-01   9.2462e-07   7.0299e+05
6.6000e-01   8.1576e-07   8.0906e+05
6.7000e-01   7.8822e-07   8.5002e+05
6.8000e-01   8.9286e-07   7.6160e+05
6.9000e-01   8.5224e-07   8.0963e+05
7.0000e-01   8.5832e-07   8.1555e+05
7.1000e-01   9.1830e-07   7.7317e+05
7.2000e-01   9.6510e-07   7.4604e+05
7.3000e-01   1.0000e-06   7.3000e+05
7.4000e-01   1.0000e-06   7.3999e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.6000e-01   1.0000e-06   7.5998e+05
7.7000e-01   9.4256e-07   8.1692e+05
7.8000e-01   9.9808e-07   7.8150e+05
7.9000e-01   1.0000e-06   7.9000e+05
8.0000e-01   1.0000e-06   7.9998e+05
8.1000e-01   1.0000e-06   8.1000e+05
8.2000e-01   1.0000e-06   8.2000e+05
8.3000e-01   1.0000e-06   8.3000e+05
8.4000e-01   1.0000e-06   8.3998e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.6000e-01   1.0000e-06   8.5998e+05
