  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739694.714182                   49

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.8254e-10   0.0000e+00
5.0000e-02   4.7990e-07   1.0419e+05
1.0000e-01   1.0183e-06   9.8207e+04
1.5000e-01   1.6420e-06   9.1352e+04
2.0000e-01   2.4381e-06   8.2031e+04
2.5000e-01   3.2822e-06   7.6168e+04
3.0000e-01   4.5847e-06   6.5435e+04
3.5000e-01   5.8205e-06   6.0132e+04
4.0000e-01   9.9593e-06   4.0163e+04
4.5000e-01   9.9997e-06   4.5001e+04
5.0000e-01   9.9997e-06   5.0002e+04
5.5000e-01   9.9998e-06   5.5001e+04
6.0000e-01   9.9997e-06   6.0002e+04
6.5000e-01   9.9999e-06   6.5001e+04
7.0000e-01   9.9998e-06   7.0001e+04
7.5000e-01   9.9994e-06   7.5005e+04
8.0000e-01   1.0000e-05   8.0000e+04
8.5000e-01   9.9999e-06   8.5001e+04
9.0000e-01   9.9999e-06   9.0001e+04
9.5000e-01   9.9999e-06   9.5001e+04
1.0000e+00   1.0000e-05   1.0000e+05
1.0000e+00   9.9998e-06   1.0000e+05
9.5000e-01   1.0000e-05   9.5000e+04
9.0000e-01   9.9999e-06   9.0001e+04
8.5000e-01   9.9999e-06   8.5001e+04
8.0000e-01   1.0000e-05   7.9997e+04
7.5000e-01   9.9996e-06   7.5003e+04
7.0000e-01   1.0000e-05   6.9999e+04
6.5000e-01   1.0000e-05   6.5000e+04
6.0000e-01   9.9998e-06   6.0001e+04
5.5000e-01   9.9998e-06   5.5001e+04
5.0000e-01   9.9999e-06   5.0001e+04
4.5000e-01   9.9999e-06   4.5000e+04
4.0000e-01   9.9998e-06   4.0001e+04
3.5000e-01   9.9999e-06   3.5000e+04
3.0000e-01   1.0000e-05   3.0000e+04
2.5000e-01   9.9998e-06   2.5001e+04
2.0000e-01   8.2490e-06   2.4245e+04
1.5000e-01   5.5795e-06   2.6884e+04
1.0000e-01   3.2263e-06   3.0995e+04
5.0000e-02   1.5031e-06   3.3265e+04
0.0000e+00   1.5000e-11   0.0000e+00
0.0000e+00   1.7245e-10   0.0000e+00
-5.0000e-02   -7.9036e-07   6.3262e+04
-1.0000e-01   -1.6450e-06   6.0790e+04
-1.5000e-01   -2.6427e-06   5.6760e+04
-2.0000e-01   -3.7349e-06   5.3549e+04
-2.5000e-01   -4.9022e-06   5.0998e+04
-3.0000e-01   -6.1728e-06   4.8600e+04
-3.5000e-01   -7.7182e-06   4.5347e+04
-4.0000e-01   -9.1623e-06   4.3657e+04
-4.5000e-01   -9.9999e-06   4.5000e+04
-5.0000e-01   -1.0000e-05   5.0000e+04
-5.5000e-01   -1.0000e-05   5.4998e+04
-6.0000e-01   -1.0000e-05   5.9999e+04
-6.5000e-01   -1.0000e-05   6.4999e+04
-7.0000e-01   -1.0000e-05   6.9999e+04
-7.5000e-01   -1.0000e-05   7.4999e+04
-8.0000e-01   -1.0000e-05   7.9999e+04
-8.5000e-01   -1.0000e-05   8.4997e+04
-9.0000e-01   -1.0000e-05   8.9999e+04
-9.5000e-01   -1.0000e-05   9.4999e+04
-1.0000e+00   -1.0000e-05   9.9997e+04
-1.0000e+00   -1.0000e-05   9.9999e+04
-9.5000e-01   -1.0000e-05   9.4999e+04
-9.0000e-01   -9.9998e-06   9.0002e+04
-8.5000e-01   -9.9994e-06   8.5005e+04
-8.0000e-01   -1.0000e-05   7.9998e+04
-7.5000e-01   -1.0000e-05   7.4999e+04
-7.0000e-01   -1.0000e-05   7.0000e+04
-6.5000e-01   -9.9997e-06   6.5002e+04
-6.0000e-01   -1.0001e-05   5.9994e+04
-5.5000e-01   -1.0001e-05   5.4994e+04
-5.0000e-01   -1.0000e-05   5.0000e+04
-4.5000e-01   -8.7795e-06   5.1256e+04
-4.0000e-01   -7.0018e-06   5.7128e+04
-3.5000e-01   -5.8097e-06   6.0244e+04
-3.0000e-01   -4.7634e-06   6.2980e+04
-2.5000e-01   -3.7486e-06   6.6692e+04
-2.0000e-01   -2.8768e-06   6.9522e+04
-1.5000e-01   -2.0874e-06   7.1860e+04
-1.0000e-01   -1.3098e-06   7.6348e+04
-5.0000e-02   -6.2384e-07   8.0149e+04
0.0000e+00   -8.3180e-11   -0.0000e+00
