  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739694.715862                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   8.1900e-12   0.0000e+00
5.0000e-02   5.1900e-12   9.6339e+09
1.0000e-01   1.3000e-12   7.6923e+10
1.5000e-01   1.2660e-11   1.1848e+10
2.0000e-01   2.0850e-11   9.5923e+09
2.5000e-01   3.1370e-11   7.9694e+09
3.0000e-01   5.3670e-11   5.5897e+09
3.5000e-01   7.8880e-11   4.4371e+09
4.0000e-01   1.2010e-10   3.3306e+09
4.5000e-01   1.6605e-10   2.7100e+09
5.0000e-01   2.0590e-10   2.4284e+09
5.5000e-01   2.7572e-10   1.9948e+09
6.0000e-01   3.2854e-10   1.8263e+09
6.5000e-01   3.9474e-10   1.6467e+09
7.0000e-01   3.0200e-09   2.3179e+08
7.5000e-01   3.9324e-09   1.9072e+08
8.0000e-01   4.3512e-09   1.8386e+08
8.5000e-01   5.1382e-09   1.6543e+08
9.0000e-01   9.2531e-08   9.7265e+06
9.5000e-01   1.6744e-07   5.6737e+06
1.0000e+00   1.8162e-07   5.5060e+06
1.0000e+00   1.8846e-07   5.3062e+06
9.5000e-01   1.9474e-07   4.8783e+06
9.0000e-01   2.0018e-07   4.4960e+06
8.5000e-01   1.3456e-07   6.3169e+06
8.0000e-01   1.3910e-07   5.7513e+06
7.5000e-01   1.2284e-07   6.1055e+06
7.0000e-01   1.0674e-07   6.5580e+06
6.5000e-01   9.0149e-08   7.2103e+06
6.0000e-01   6.6036e-08   9.0860e+06
5.5000e-01   5.4884e-08   1.0021e+07
5.0000e-01   4.3692e-08   1.1444e+07
4.5000e-01   3.8618e-08   1.1652e+07
4.0000e-01   3.2913e-08   1.2153e+07
3.5000e-01   2.7249e-08   1.2844e+07
3.0000e-01   2.1853e-08   1.3728e+07
2.5000e-01   1.3987e-08   1.7874e+07
2.0000e-01   8.8022e-09   2.2722e+07
1.5000e-01   1.8552e-10   8.0854e+08
1.0000e-01   -3.6300e-12   -2.7548e+10
5.0000e-02   -1.0170e-11   -4.9164e+09
0.0000e+00   -9.7300e-12   -0.0000e+00
0.0000e+00   5.2600e-12   0.0000e+00
-5.0000e-02   4.6300e-12   -1.0799e+10
-1.0000e-01   -5.6100e-12   1.7825e+10
-1.5000e-01   -1.5850e-11   9.4637e+09
-2.0000e-01   -1.1250e-11   1.7778e+10
-2.5000e-01   -8.1600e-12   3.0637e+10
-3.0000e-01   -1.6610e-11   1.8061e+10
-3.5000e-01   -2.4030e-11   1.4565e+10
-4.0000e-01   -4.1240e-11   9.6993e+09
-4.5000e-01   -1.1282e-09   3.9887e+08
-5.0000e-01   -1.4047e-09   3.5595e+08
-5.5000e-01   -1.9176e-09   2.8682e+08
-6.0000e-01   -2.1243e-09   2.8245e+08
-6.5000e-01   -2.3178e-09   2.8044e+08
-7.0000e-01   -2.6926e-09   2.5997e+08
-7.5000e-01   -3.1149e-09   2.4078e+08
-8.0000e-01   -3.5804e-09   2.2344e+08
-8.5000e-01   -4.1516e-09   2.0474e+08
-9.0000e-01   -9.7017e-08   9.2768e+06
-9.5000e-01   -8.1118e-08   1.1711e+07
-1.0000e+00   -9.1361e-08   1.0946e+07
-1.0000e+00   -8.8162e-08   1.1343e+07
-9.5000e-01   -8.4891e-08   1.1191e+07
-9.0000e-01   -7.8163e-08   1.1514e+07
-8.5000e-01   -7.1762e-08   1.1845e+07
-8.0000e-01   -5.5475e-08   1.4421e+07
-7.5000e-01   -5.8943e-08   1.2724e+07
-7.0000e-01   -5.6402e-08   1.2411e+07
-6.5000e-01   -4.4466e-08   1.4618e+07
-6.0000e-01   -4.8044e-08   1.2489e+07
-5.5000e-01   -3.4375e-08   1.6000e+07
-5.0000e-01   -2.8745e-08   1.7394e+07
-4.5000e-01   -3.2173e-08   1.3987e+07
-4.0000e-01   -2.9580e-08   1.3523e+07
-3.5000e-01   -2.4475e-08   1.4301e+07
-3.0000e-01   -2.0702e-08   1.4491e+07
-2.5000e-01   -1.7481e-08   1.4301e+07
-2.0000e-01   -1.3004e-08   1.5380e+07
-1.5000e-01   -9.0054e-09   1.6657e+07
-1.0000e-01   -5.5606e-09   1.7984e+07
-5.0000e-02   -2.8570e-09   1.7501e+07
0.0000e+00   1.0570e-11   0.0000e+00
