  Measurement Number     Measurement type
                  18                DC IV

      Measurement ID             SeriesID
       739694.724541                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.7500e-12   0.0000e+00
5.0000e-02   3.5630e-11   1.4033e+09
1.0000e-01   7.6870e-11   1.3009e+09
1.5000e-01   1.2409e-10   1.2088e+09
2.0000e-01   1.6880e-10   1.1848e+09
2.5000e-01   2.0946e-10   1.1935e+09
3.0000e-01   2.7013e-10   1.1106e+09
3.5000e-01   5.3303e-10   6.5662e+08
4.0000e-01   6.7932e-10   5.8882e+08
4.5000e-01   8.0201e-10   5.6109e+08
5.0000e-01   1.0750e-09   4.6512e+08
5.5000e-01   1.2249e-09   4.4902e+08
6.0000e-01   1.3873e-09   4.3249e+08
6.5000e-01   1.6040e-09   4.0524e+08
7.0000e-01   1.8474e-09   3.7891e+08
7.5000e-01   2.1153e-09   3.5456e+08
8.0000e-01   2.3992e-09   3.3344e+08
8.5000e-01   2.7680e-09   3.0708e+08
9.0000e-01   3.4459e-09   2.6118e+08
9.5000e-01   4.0445e-09   2.3489e+08
1.0000e+00   4.7947e-09   2.0856e+08
1.0500e+00   5.4079e-09   1.9416e+08
1.1000e+00   5.9754e-09   1.8409e+08
1.1500e+00   6.5987e-09   1.7428e+08
1.2000e+00   7.5474e-09   1.5900e+08
1.2500e+00   7.6567e-09   1.6326e+08
1.3000e+00   1.0765e-08   1.2076e+08
1.3500e+00   1.0586e-08   1.2753e+08
1.4000e+00   1.2311e-08   1.1372e+08
1.4500e+00   1.3610e-08   1.0654e+08
1.5000e+00   1.7079e-08   8.7829e+07
1.5500e+00   1.8691e-08   8.2926e+07
1.6000e+00   2.0479e-08   7.8127e+07
1.6500e+00   2.2255e-08   7.4140e+07
1.7000e+00   2.4416e-08   6.9625e+07
1.7500e+00   2.6661e-08   6.5639e+07
1.8000e+00   3.1441e-08   5.7250e+07
1.8500e+00   3.6660e-08   5.0464e+07
1.9000e+00   9.9996e-07   1.9001e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0001e-06   1.9998e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   9.9992e-07   1.9002e+06
1.8500e+00   9.9998e-07   1.8500e+06
1.8000e+00   1.0001e-06   1.7999e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   9.9988e-07   1.7002e+06
1.6500e+00   9.9996e-07   1.6501e+06
