  Measurement Number     Measurement type
                 102                DC IV

      Measurement ID             SeriesID
       739694.680393                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.0430e-11   0.0000e+00
5.0000e-02   5.5208e-08   9.0566e+05
1.0000e-01   1.1548e-07   8.6595e+05
1.5000e-01   1.9096e-07   7.8550e+05
2.0000e-01   2.9496e-07   6.7806e+05
2.5000e-01   4.3198e-07   5.7873e+05
3.0000e-01   5.9402e-07   5.0503e+05
3.5000e-01   7.4372e-07   4.7061e+05
4.0000e-01   2.0982e-06   1.9064e+05
4.5000e-01   2.4937e-06   1.8045e+05
5.0000e-01   3.2319e-06   1.5471e+05
5.5000e-01   4.3535e-06   1.2634e+05
6.0000e-01   9.0007e-06   6.6661e+04
6.5000e-01   9.3800e-06   6.9296e+04
7.0000e-01   1.0000e-05   6.9999e+04
7.5000e-01   9.9993e-06   7.5005e+04
8.0000e-01   9.9998e-06   8.0002e+04
8.5000e-01   1.0000e-05   8.4997e+04
9.0000e-01   9.9999e-06   9.0001e+04
9.5000e-01   1.0000e-05   9.4999e+04
1.0000e+00   9.9997e-06   1.0000e+05
1.0000e+00   1.0000e-05   9.9999e+04
9.5000e-01   1.0000e-05   9.5000e+04
9.0000e-01   1.0000e-05   8.9999e+04
8.5000e-01   9.9998e-06   8.5002e+04
8.0000e-01   1.0001e-05   7.9992e+04
7.5000e-01   1.0000e-05   7.5000e+04
7.0000e-01   9.7509e-06   7.1788e+04
6.5000e-01   9.0214e-06   7.2051e+04
6.0000e-01   7.7713e-06   7.7207e+04
5.5000e-01   7.0919e-06   7.7553e+04
5.0000e-01   6.1847e-06   8.0845e+04
4.5000e-01   5.2167e-06   8.6261e+04
4.0000e-01   4.6113e-06   8.6743e+04
3.5000e-01   3.9432e-06   8.8760e+04
3.0000e-01   3.2765e-06   9.1561e+04
2.5000e-01   2.3020e-06   1.0860e+05
2.0000e-01   1.6091e-06   1.2429e+05
1.5000e-01   9.9510e-07   1.5074e+05
1.0000e-01   2.0002e-07   4.9995e+05
5.0000e-02   2.5871e-08   1.9327e+06
0.0000e+00   -2.4830e-11   -0.0000e+00
0.0000e+00   6.1800e-12   0.0000e+00
-5.0000e-02   -8.3288e-10   6.0033e+07
-1.0000e-01   -1.4536e-09   6.8795e+07
-1.5000e-01   -3.5242e-09   4.2563e+07
-2.0000e-01   -7.2367e-09   2.7637e+07
-2.5000e-01   -1.3729e-08   1.8209e+07
-3.0000e-01   -1.8126e-08   1.6551e+07
-3.5000e-01   -1.7967e-08   1.9480e+07
-4.0000e-01   -3.1059e-08   1.2879e+07
-4.5000e-01   -5.6656e-08   7.9427e+06
-5.0000e-01   -2.2272e-07   2.2450e+06
-5.5000e-01   -2.4680e-06   2.2285e+05
-6.0000e-01   -2.9194e-06   2.0552e+05
-6.5000e-01   -3.2630e-06   1.9920e+05
-7.0000e-01   -3.7392e-06   1.8721e+05
-7.5000e-01   -5.8466e-06   1.2828e+05
-8.0000e-01   -7.3939e-06   1.0820e+05
-8.5000e-01   -6.5576e-06   1.2962e+05
-9.0000e-01   -7.6675e-06   1.1738e+05
-9.5000e-01   -8.4937e-06   1.1185e+05
-1.0000e+00   -9.2050e-06   1.0864e+05
-1.0000e+00   -5.7790e-07   1.7304e+06
-9.5000e-01   -3.8028e-07   2.4982e+06
-9.0000e-01   -3.5298e-07   2.5497e+06
-8.5000e-01   -3.7474e-07   2.2682e+06
-8.0000e-01   -2.9880e-07   2.6774e+06
-7.5000e-01   -2.7834e-07   2.6945e+06
-7.0000e-01   -2.2658e-07   3.0894e+06
-6.5000e-01   -2.2800e-07   2.8509e+06
-6.0000e-01   -2.1102e-07   2.8433e+06
-5.5000e-01   -1.8898e-07   2.9104e+06
-5.0000e-01   -1.5472e-07   3.2316e+06
-4.5000e-01   -1.3210e-07   3.4065e+06
-4.0000e-01   -1.1178e-07   3.5785e+06
-3.5000e-01   -9.1244e-08   3.8359e+06
-3.0000e-01   -7.6785e-08   3.9070e+06
-2.5000e-01   -5.3355e-08   4.6856e+06
-2.0000e-01   -3.2664e-08   6.1229e+06
-1.5000e-01   -2.5013e-08   5.9969e+06
-1.0000e-01   -1.6788e-08   5.9566e+06
-5.0000e-02   -7.7340e-09   6.4650e+06
0.0000e+00   2.6200e-11   0.0000e+00
